Gene = Dhpr
index = 1134
Annotated 5SS: [331]
Annotated 3SS: [426]
SMsplice 5SS: [331]
SMsplice 3SS: [426]
top_k =  500
Partition function (log Z): -9.123449066422898

Sorted 5' Splice Sites (High to Low Probability):
Position 331: 0.98654133704572
Position 755: 0.014405631182723056
Position 596: 0.010094636330280312
Position 599: 0.007511510772564117
Position 113: 0.005329371829084254
Position 130: 0.0032598537142077585
Position 293: 0.0010677598255885016
Position 827: 0.0008359705311391555
Position 865: 0.0006486463976038345
Position 890: 0.0004016162816353399
Position 122: 0.0003247316959069326
Position 148: 0.0002976294446081785
Position 39: 0.0002482681332724439
Position 186: 0.00018311594669647975
Position 532: 0.0001620995155795674
Position 469: 0.00015086558557146182
Position 29: 0.0001366679632420328
Position 940: 0.0001284566752248033
Position 265: 0.00012581268083185652
Position 839: 0.0001153637012557495
Position 520: 0.00010403408564526809
Position 275: 0.00010285915441062353
Position 257: 6.893096846274666e-05
Position 426: 6.486191159691078e-05
Position 478: 4.4574626497762675e-05
Position 335: 4.236463624563012e-05
Position 194: 4.100155275522113e-05
Position 481: 3.78464154791395e-05
Position 497: 3.199460235209977e-05
Position 852: 1.970086019049333e-05
Position 639: 1.8338533995410376e-05
Position 304: 1.8107411842639136e-05
Position 17: 1.1890455869407224e-05
Position 212: 1.1048065585118342e-05
Position 188: 1.0447208108560949e-05
Position 262: 9.275436148008057e-06
Position 196: 8.99614616191593e-06
Position 302: 7.732660375225863e-06
Position 502: 3.7868997563811437e-06
Position 430: 1.9972759259662475e-08
Position 249: 1.5694649602166095e-08
Position 523: 7.41216939166795e-09
Position 381: 3.792935182694334e-09
Position 577: 2.2138328799493253e-09
Position 525: 2.07018501652699e-09
Position 393: 3.7033961226867343e-10
Position 652: 2.9510567007772274e-10
Position 850: 6.297614169300452e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 426: 0.7763405601690757
Position 437: 0.071931211813346
Position 910: 0.07161203691521995
Position 874: 0.07014377039394827
Position 1005: 0.013526597837030254
Position 212: 0.007526883943229313
Position 676: 0.007166637767686803
Position 960: 0.004742820369328159
Position 648: 0.0025269109959872127
Position 510: 0.0014683550906175926
Position 1032: 0.0009118965497463458
Position 238: 0.0007576086254329549
Position 1283: 0.0006101377644055921
Position 256: 0.0005567887432706638
Position 459: 0.00043304374219778856
Position 699: 0.000350543893346697
Position 116: 0.00029989216631591504
Position 970: 0.00027095650118779763
Position 1050: 0.0002460626165475771
Position 497: 0.0001837519455251934
Position 835: 0.00015436254464764508
Position 532: 0.00013080787317746044
Position 732: 0.00011570677492604566
Position 727: 9.652300835573734e-05
Position 462: 8.765906766728194e-05
Position 595: 7.350702583173095e-05
Position 645: 6.855825621122393e-05
Position 1274: 5.035190629639062e-05
Position 453: 4.244348229776857e-05
Position 784: 3.461464811566122e-05
Position 795: 3.350041457472611e-05
Position 473: 2.4770675311468626e-05
Position 975: 2.128034308484251e-05
Position 1260: 1.4727928372773457e-05
Position 143: 1.441265398069321e-05
Position 624: 1.1169604298203487e-05
Position 780: 9.937233499097817e-06
Position 612: 9.292387751295868e-06
Position 319: 7.143339604524014e-06
Position 1251: 6.705270916594811e-06
Position 690: 6.052087570210307e-06
Position 513: 4.944296960501013e-06
Position 155: 1.492002606955506e-06
Position 72: 4.136908067612324e-07
Position 283: 1.87307258927884e-07
Position 262: 1.3196335294170284e-07
Position 609: 2.512908078685005e-08
Position 286: 9.162875454448055e-12
Position 335: 3.94864343718258e-16
