Gene = Csas
index = 1109
Annotated 5SS: [ 87 330 591]
Annotated 3SS: [138 385 645]
SMsplice 5SS: [ 87 330 591]
SMsplice 3SS: [138 385 645]
top_k =  500
Partition function (log Z): -2.7385241042306188

Sorted 5' Splice Sites (High to Low Probability):
Position 591: 0.9327634000698992
Position 87: 0.8745327599707615
Position 330: 0.6434186941185557
Position 328: 0.15982833223994367
Position 531: 0.014823395775966326
Position 479: 0.006128777753360916
Position 93: 0.0055528938987438915
Position 572: 0.005056493776899041
Position 555: 0.00411085908303982
Position 72: 0.0025066963551113883
Position 287: 0.0014291233205634252
Position 219: 0.000756581461845556
Position 352: 0.0003446311873294713
Position 469: 0.0002919286960116293
Position 514: 0.00026850093865223343
Position 561: 0.0001769114687326893
Position 459: 0.0001471184012593463
Position 574: 0.00014585374419791072
Position 547: 0.00011893093585223393
Position 91: 0.00010719252631338763
Position 52: 8.025090824309998e-05
Position 897: 6.172902196544406e-05
Position 738: 3.43325926805972e-05
Position 96: 1.3663450897044748e-05
Position 746: 1.2084526570077292e-05
Position 389: 7.404531527720294e-06
Position 814: 6.227130625319379e-06
Position 678: 5.6697974148647e-06
Position 792: 4.605825190963108e-06
Position 110: 4.401714055434138e-06
Position 846: 1.723557224195431e-06
Position 614: 1.3819905946570776e-06
Position 138: 1.0396701167048366e-06
Position 668: 7.653739210087637e-07
Position 900: 3.8967297017765266e-07
Position 760: 1.697437507461602e-07
Position 785: 1.0114107267115425e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 645: 0.9782720700294067
Position 138: 0.8755851534112734
Position 385: 0.7904115372833749
Position 531: 0.003012637260879785
Position 174: 0.002239132289605055
Position 296: 0.0008351632590780804
Position 352: 0.0006761207120009916
Position 425: 0.000541496159172513
Position 466: 0.00045486438947969614
Position 588: 0.00013466574688032984
Position 541: 0.00011153082451697412
Position 667: 5.614599552471556e-05
Position 183: 5.512052455238496e-05
Position 476: 4.8540533667117014e-05
Position 946: 4.3495478296974824e-05
Position 144: 4.1331926162196314e-05
Position 813: 4.07837846463128e-05
Position 427: 3.96268917356275e-05
Position 479: 3.827244846259541e-05
Position 950: 2.0253640682707917e-05
Position 617: 1.846469739266261e-05
Position 414: 1.5118547818139613e-05
Position 377: 8.464297404598967e-06
Position 714: 7.285304022531867e-06
Position 459: 6.0621703106713e-06
Position 957: 5.526833328286638e-06
Position 881: 4.34902396310006e-06
Position 749: 4.337792426929477e-06
Position 692: 3.0437932107650555e-06
Position 543: 2.4754109645862125e-06
Position 841: 2.054488052915271e-06
Position 864: 1.9356227049223875e-06
Position 900: 1.3982436600769407e-06
Position 736: 1.2991404273360652e-06
Position 928: 1.1874397408289446e-06
Position 319: 1.0855385655578255e-06
Position 922: 1.0257951810069884e-06
Position 328: 6.828782651165519e-07
Position 755: 3.207672631277455e-07
Position 792: 2.896395671826136e-07
Position 720: 1.8354256845437186e-07
Position 607: 1.7345931970796473e-07
Position 846: 1.6808081565038104e-07
Position 196: 1.0190301037760418e-07
Position 188: 2.5836736704080868e-08
Position 101: 1.1944652953227096e-08
Position 96: 9.799729503285522e-10
Position 110: 4.4194029695169667e-10
Position 179: 1.6917223150734182e-10
Position 334: 3.551004034057203e-20
