Gene = Marf1
index = 1269
Annotated 5SS: [ 3284 46215 55540 56570 58419 58743 59422]
Annotated 3SS: [46056 54674 56437 56621 58480 58810 59490]
SMsplice 5SS: [   92   247 56570 58419 58743 59422]
SMsplice 3SS: [  145 56406 56621 58480 58810 59490]
top_k =  500
Partition function (log Z): -54.482482480229066

Sorted 5' Splice Sites (High to Low Probability):
Position 247: 0.9919618186688852
Position 92: 0.5663304244029781
Position 1444: 0.2757466297644022
Position 3284: 0.07660720719719778
Position 17092: 0.0576534927735504
Position 1100: 0.019412316123796222
Position 1232: 0.004247965780205543
Position 698: 0.0041233186451679615
Position 1244: 0.0023447339994445543
Position 966: 0.0023206832019036345
Position 1159: 0.002056442542009577
Position 320: 0.001909050348046276
Position 1572: 0.0010933205250426353
Position 1177: 0.0010372765298303918
Position 1238: 0.0007642285803085292
Position 254: 0.0007639491033765318
Position 66: 0.0005306906294008898
Position 671: 0.0005206569135211034
Position 2025: 0.00048534975761197076
Position 693: 0.0004633453951127802
Position 2918: 0.00039950287252921293
Position 818: 0.00038016503128653794
Position 398: 0.00037133818918280975
Position 348: 0.00026677935070717205
Position 811: 0.0002310191917186028
Position 782: 0.00018022243323798253
Position 1041: 0.00013876066674766072
Position 1010: 8.451697908613357e-05
Position 46: 6.824505222601818e-05
Position 17: 3.2133821183843885e-05
Position 12: 7.0285728677342385e-06
Position 251: 3.7259529640861386e-06
Position 173: 1.5702380889581288e-06
Position 37: 1.4100492046599213e-06
Position 4: 1.3021522425653566e-06
Position 211: 9.66379639842662e-07
Position 335: 3.6139535008137076e-07
Position 271: 3.2785204399494196e-07
Position 195: 2.826068193760155e-07
Position 164: 2.5526712409887837e-07
Position 395: 1.8266569383966252e-07
Position 372: 1.5809964231932358e-07
Position 465: 1.0233245565297636e-07
Position 374: 5.4546524079361395e-08
Position 147: 3.573090763832324e-08
Position 137: 1.3015634881216024e-08
Position 149: 1.1719488321439439e-08
Position 325: 1.1508406173992121e-08
Position 155: 1.0500031488003136e-08
Position 127: 5.254063653932821e-09
Position 558: 3.399926917386949e-09
Position 357: 2.0850072332188884e-09
Position 273: 2.00256331695179e-09
Position 214: 1.178248474912362e-09
Position 406: 6.444898392608484e-10
Position 6733: 6.406448993156256e-10
Position 5340: 4.5686781885715574e-10
Position 554: 1.3584158947275262e-10
Position 638: 7.1390579425346325e-12
Position 646: 7.05307775083794e-12
Position 1089: 4.991347485843442e-13
Position 2180: 3.501877388581369e-13
Position 2176: 7.003388339074745e-14
Position 779: 5.744086770447925e-14
Position 1046: 1.3353279967134206e-15
Position 602: 2.507466765045222e-17
Position 496: 2.501151064587757e-24

Sorted 3' Splice Sites (High to Low Probability):
Position 24105: 0.9989596271441413
Position 145: 0.5610266056704708
Position 1326: 0.1640847913181645
Position 3109: 0.07205991540806865
Position 16712: 0.057706629675502136
Position 541: 0.048103957759214985
Position 595: 0.03514002948655716
Position 496: 0.013348297030251522
Position 870: 0.011916858839898499
Position 294: 0.007206307116957329
Position 1125: 0.006814628131078225
Position 1099: 0.006685810965148844
Position 1272: 0.005254420390497208
Position 688: 0.0038392096951775125
Position 3132: 0.0030100731441116296
Position 554: 0.002981550672627255
Position 155: 0.0029025969768685894
Position 173: 0.0025624458926308074
Position 817: 0.0019175541734919956
Position 1383: 0.0015205303243345733
Position 1037: 0.0013570526520368246
Position 20094: 0.0009369307929782396
Position 3169: 0.0008055497865115766
Position 372: 0.0007734233146252408
Position 2854: 0.0005660316241500798
Position 2990: 0.00037324290829118584
Position 732: 0.00031405000784932597
Position 620: 9.066385398120366e-05
Position 975: 7.508753565316499e-05
Position 520: 7.038541875411507e-05
Position 17184: 4.085174659314692e-05
Position 1919: 2.6001237255314777e-05
Position 222: 2.3743196925689144e-05
Position 1248: 1.9836397996339178e-05
Position 335: 1.824133846526608e-05
Position 16257: 6.3430382695046714e-06
Position 16232: 2.374436630390055e-06
Position 348: 5.492444057250738e-07
Position 14770: 3.885653246228655e-07
Position 13793: 2.5702217821243075e-07
Position 227: 1.6962496931387908e-07
Position 457: 1.4870978390850374e-07
Position 629: 7.059433085475684e-08
Position 12472: 5.392592540252366e-08
Position 646: 4.9799540206662336e-08
Position 69: 2.1146867914653448e-08
Position 10414: 1.7268503788685147e-08
Position 66: 1.198976507001477e-08
Position 6843: 5.080303466846832e-09
Position 92: 3.6244318794052503e-09
Position 9525: 2.6919718316139198e-09
Position 9177: 2.401188463650576e-09
Position 9452: 1.6457700522171164e-09
Position 9480: 1.5200480728202237e-09
Position 10120: 1.304129788029827e-09
Position 9403: 1.1744075441602078e-09
Position 6557: 9.744196093454974e-10
Position 8570: 9.355491876068975e-10
Position 8174: 6.788463478032003e-10
Position 8141: 5.234425312590031e-10
Position 5174: 2.5239732132059093e-10
Position 5103: 1.6175343923267302e-10
Position 7851: 1.5307194173932263e-10
Position 8326: 1.263751823913875e-10
