Gene = Iml1
index = 1230
Annotated 5SS: [  178   541  1090  1752  1984  2455  2644  4929  6361  6596  6845  7375
  7701  8750  9013  9167  9394  9610  9840 10008 10121]
Annotated 3SS: [  232   600  1146  1811  2045  2511  4805  5957  6420  6652  7281  7635
  8641  8805  9068  9225  9448  9676  9894 10064 10177]
SMsplice 5SS: [  178   541  1090  1752  1984  2455  2644  6361  6596  6845  8750  9013
  9167  9394  9610  9840 10008 10121]
SMsplice 3SS: [  232   600  1146  1821  2045  2511  5341  6420  6652  7302  8805  9068
  9225  9448  9676  9894 10064 10177]
top_k =  500
Partition function (log Z): 39.34818667553754

Sorted 5' Splice Sites (High to Low Probability):
Position 1984: 0.9988724068209298
Position 6361: 0.9984132853470037
Position 10121: 0.9981794961084481
Position 2644: 0.9981356749041438
Position 6596: 0.994944999726759
Position 8750: 0.9909979357218878
Position 6845: 0.988820213884864
Position 9013: 0.9782587911709115
Position 10008: 0.9685194868503267
Position 541: 0.9661667603066488
Position 9840: 0.9473797108904104
Position 2455: 0.909863941875643
Position 9394: 0.8444996593577289
Position 9610: 0.8129047390346814
Position 1090: 0.7909213696922447
Position 178: 0.776686811817155
Position 9167: 0.6066375035435938
Position 1752: 0.5781798534341283
Position 1220: 0.3521907131870246
Position 7701: 0.33640286069634273
Position 7823: 0.30078869139520886
Position 9573: 0.13809719859604522
Position 8393: 0.115712295421165
Position 7375: 0.11438221507629048
Position 1234: 0.03097408536806781
Position 2127: 0.023451487133016022
Position 1745: 0.018137478991158223
Position 10012: 0.01764061037821941
Position 1327: 0.015089846679786615
Position 4929: 0.011960494895201132
Position 786: 0.011518131093675034
Position 9614: 0.010804357009831103
Position 7038: 0.009149782238477585
Position 8164: 0.008646242807945981
Position 1707: 0.008398856915760138
Position 9385: 0.007895126153428668
Position 1674: 0.007550039330804554
Position 9623: 0.0073549678941737
Position 3534: 0.005817556573599502
Position 1044: 0.004647997551241768
Position 1393: 0.004527696741521619
Position 837: 0.004507224891470412
Position 8028: 0.0038056917865339377
Position 7966: 0.003766961888533996
Position 1755: 0.00349670390037201
Position 6806: 0.0033799471985737693
Position 9398: 0.0031907061447177545
Position 2172: 0.0031117518681888128
Position 10281: 0.002953443510508473
Position 1408: 0.0029174701786968227
Position 7068: 0.002916339698962254
Position 754: 0.0029038428923596786
Position 1034: 0.00275274113099755
Position 3882: 0.002672700969940467
Position 813: 0.002559919189128258
Position 1046: 0.002489000553554563
Position 1760: 0.0023834895357113276
Position 3294: 0.0022370263486336133
Position 3300: 0.00204070168989373
Position 2408: 0.0019612429250104118
Position 2437: 0.0017839957323251714
Position 1397: 0.0017435948554517366
Position 1080: 0.0016681219830702594
Position 9598: 0.0014166453013548224
Position 1312: 0.001415720951227293
Position 9565: 0.0013054794671382927
Position 9142: 0.0012150544999448571
Position 2372: 0.001160717848893212
Position 2354: 0.001124714812363255
Position 2238: 0.0010626850558421667
Position 9989: 0.0010539310114667537
Position 1309: 0.0010218435748526901
Position 9568: 0.0009787966905325297
Position 9590: 0.0008969328610210749
Position 861: 0.0008645921517236683
Position 6907: 0.0008460190084634452
Position 9272: 0.0008035944701768302
Position 7085: 0.0007627469056920239
Position 889: 0.0007563542922992922
Position 8876: 0.000695301284081158
Position 1668: 0.0006702496393762554
Position 666: 0.0006689626125730108
Position 9763: 0.0006398237446185606
Position 2465: 0.0006228245358774932
Position 615: 0.0006144858820786924
Position 3614: 0.0005608833915544507
Position 664: 0.0005039313388353799
Position 6575: 0.00048395759326331643
Position 7132: 0.0004559471799823876
Position 756: 0.0004334640262300224
Position 9017: 0.0003925930898505432
Position 704: 0.0003537582921722332
Position 7528: 0.0003461279233066419
Position 3246: 0.0003457614770508816
Position 9292: 0.0003361404581648254
Position 9423: 0.00033049969412991457
Position 10082: 0.000322816093942844
Position 9577: 0.0003098011992083442
Position 9170: 0.00027009966786533453
Position 6971: 0.00025770971981449746
Position 9630: 0.0002518921735295851
Position 8162: 0.00024482913032887433
Position 986: 0.00022741573924402907
Position 6878: 0.00021178763456113965
Position 10128: 0.00020215626159051668
Position 6898: 0.00020024508404913716
