Gene = Utx
index = 1589
Annotated 5SS: [ 163  562  998 2420 2828 3115 3363 3685 3878 4647 4846 5349 5615 5816]
Annotated 3SS: [ 214  885 2243 2698 2888 3181 3423 3744 3942 4705 4928 5404 5688 5904]
SMsplice 5SS: [ 163  562  998 2420 2828 3115 3363 3685 3878 4647 4846 5349 5615 5816]
SMsplice 3SS: [ 214  885 2243 2698 2888 3181 3426 3744 3942 4705 4928 5404 5688 5904]
top_k =  500
Partition function (log Z): 44.09450378609416

Sorted 5' Splice Sites (High to Low Probability):
Position 2828: 0.9995291550305025
Position 3878: 0.9984176945829699
Position 5615: 0.9967398623852357
Position 3363: 0.986178628061984
Position 3685: 0.980693819217712
Position 5349: 0.9795158509349722
Position 4846: 0.9794314877083782
Position 2420: 0.9584000367376875
Position 998: 0.9375137443379145
Position 3115: 0.9342396997982958
Position 5816: 0.9180006262544124
Position 163: 0.8393842153564021
Position 4647: 0.8196976308858984
Position 562: 0.770894327030566
Position 4552: 0.3001118853782178
Position 2650: 0.13764060564527908
Position 5825: 0.05800317248668014
Position 1417: 0.057466545860538315
Position 2091: 0.05165493372530747
Position 4661: 0.04551612432784593
Position 1274: 0.03415252136629786
Position 321: 0.02980275604880136
Position 391: 0.02739736628542695
Position 1715: 0.024832191733619533
Position 4652: 0.022466336320146472
Position 2000: 0.02164868768789931
Position 3081: 0.01854464325224463
Position 796: 0.017061575637845328
Position 316: 0.017060612605987513
Position 1640: 0.017009971014513885
Position 5828: 0.016961410106986586
Position 2123: 0.015229105263135628
Position 4197: 0.013083964505562285
Position 1405: 0.012884696159687037
Position 4812: 0.012594630623522878
Position 5338: 0.012332148470814593
Position 6048: 0.010462051400810487
Position 2596: 0.010303543617640491
Position 4500: 0.008768423923990744
Position 2041: 0.008123196471741298
Position 6124: 0.008059715818290356
Position 1836: 0.007919852657273253
Position 2069: 0.007783953900246724
Position 2045: 0.006384973363686585
Position 3548: 0.0063598581976652665
Position 3679: 0.004724897543125217
Position 5860: 0.004567279034609509
Position 2095: 0.004477120100601091
