Gene = CkIIalpha
index = 1074
Annotated 5SS: [ 403  686 3286]
Annotated 3SS: [ 487 3172 5049]
SMsplice 5SS: [686]
SMsplice 3SS: [5049]
top_k =  500
Partition function (log Z): -8.410616598972844

Sorted 5' Splice Sites (High to Low Probability):
Position 686: 0.901760760081139
Position 1158: 0.7191864022807679
Position 3286: 0.4618186787276826
Position 4024: 0.1536895713615927
Position 3696: 0.09391373207336802
Position 2652: 0.09149182819157368
Position 5365: 0.09085870464602486
Position 403: 0.08778649977346707
Position 4859: 0.056913917855895405
Position 2134: 0.049184996927557005
Position 1905: 0.041697677268874016
Position 4115: 0.02577392642779901
Position 5642: 0.017166414234790105
Position 3500: 0.01182292676498133
Position 2090: 0.010562396905927855
Position 3658: 0.009807947443618818
Position 270: 0.009094037919069362
Position 598: 0.008383271545027956
Position 4322: 0.006851791690818768
Position 294: 0.006832764837068909
Position 2934: 0.006699160123905412
Position 3430: 0.006351772435411796
Position 683: 0.0036886341165876402
Position 1073: 0.0033811985071161956
Position 712: 0.0028345569519304917
Position 2378: 0.002371750473375538
Position 612: 0.0021287351672172987
Position 3475: 0.001771613493646761
Position 408: 0.0017414317169628898
Position 3369: 0.0014158264701423298
Position 978: 0.0013894109372909681
Position 1612: 0.001242916241788655
Position 1652: 0.001091415418166862
Position 4382: 0.0010440946227119041
Position 463: 0.000959306390178846
Position 3504: 0.0008485207385247719
Position 1395: 0.0008390683183045687
Position 1883: 0.000674058208304033
Position 79: 0.0006149015049943857
Position 59: 0.00047844173867652074
Position 503: 0.00043244437521679577
Position 2404: 0.0004176001849727298
Position 405: 0.00037437878653080644
Position 2138: 0.0003740339932699616
Position 274: 0.0003593801532528774
Position 421: 0.00032469242565014384
Position 2107: 0.00030216081218828206
Position 1341: 0.0002860665847318295
Position 104: 0.00025173956824879384
Position 3847: 0.00023278928615874095
Position 665: 0.00020874809994870396
Position 315: 0.0002003075801082144
Position 2313: 0.00013812067393135916
Position 903: 0.00012635754933352193
Position 432: 0.00012090940470250486
Position 111: 0.00011313873175981794
Position 97: 8.952715385356938e-05
Position 1046: 8.628797439579924e-05
Position 85: 7.957141186015178e-05
Position 1886: 7.492279305686329e-05
Position 1647: 7.33387018269294e-05
Position 1162: 7.232902106536631e-05
Position 854: 5.5798939769601056e-05
Position 221: 4.97689276166022e-05
Position 454: 4.004051737046675e-05
Position 835: 3.777874794233443e-05
Position 116: 3.639160124007558e-05
Position 780: 3.395862204422239e-05
Position 968: 2.8558488870758013e-05
Position 1703: 2.7992162088135427e-05
Position 561: 1.854716041602123e-05
Position 1034: 1.769871472477834e-05
Position 1577: 1.6804830725421846e-05
Position 1021: 1.0096824241526409e-05
Position 246: 9.08641004530241e-06
Position 88: 8.608201427580295e-06
Position 57: 8.396308179628607e-06
Position 840: 6.8439573169461085e-06
Position 346: 6.3902688479436496e-06
Position 160: 3.9332579800133346e-06
Position 473: 3.547241675190252e-06
Position 427: 3.246030603284949e-06
Position 1219: 3.2453273370962226e-06
Position 1077: 2.7887655353504687e-06
Position 1892: 2.7678634743637046e-06
Position 476: 1.862275770027916e-06
Position 479: 7.423493089028591e-07
Position 1363: 4.734263316310795e-07
Position 1423: 3.248332775264564e-07
Position 833: 6.065805863747899e-08
Position 1142: 2.6473186221594335e-08
Position 806: 4.815881729722116e-09
Position 638: 4.584323221652849e-09
Position 910: 7.14737922929999e-10
Position 531: 4.299774837226704e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 5049: 0.7214088446794414
Position 3350: 0.4105154046765962
Position 931: 0.2784572840719048
Position 3147: 0.2016521561265369
Position 5468: 0.1515052154084514
Position 1045: 0.11662696425803136
Position 3172: 0.08744544376957393
Position 910: 0.08736014726426058
Position 487: 0.07579064419857535
Position 2719: 0.06328612074192934
Position 2313: 0.062332075913364746
Position 1411: 0.06019511957294388
Position 4696: 0.057897165388304264
Position 897: 0.050086553601006376
Position 1282: 0.04808360976831328
Position 2482: 0.04712336587830843
Position 1021: 0.040349663918244974
Position 767: 0.03948023552264019
Position 3945: 0.028059330733811318
Position 1964: 0.02735047818100056
Position 5696: 0.02703160249536912
Position 977: 0.026123328395031578
Position 2281: 0.02480398866541639
Position 1932: 0.019642326494238565
Position 2816: 0.016974113910536406
Position 3806: 0.014840152702501504
Position 4914: 0.014140291249949434
Position 3530: 0.010444776620746282
Position 2365: 0.00915475128647957
Position 1102: 0.006978423035779146
Position 654: 0.006537710623135853
Position 5076: 0.006193803407399747
Position 1076: 0.004912716263617049
Position 6116: 0.004505423360523693
Position 359: 0.004470591769473888
Position 1316: 0.0041040290611527325
Position 854: 0.0033835978004434428
