Gene = Drep4
index = 1138
Annotated 5SS: [293 768]
Annotated 3SS: [643 821]
SMsplice 5SS: [293 768]
SMsplice 3SS: [643 821]
top_k =  500
Partition function (log Z): -2.2962802238785045

Sorted 5' Splice Sites (High to Low Probability):
Position 768: 0.996825153674467
Position 293: 0.923072388525671
Position 1814: 0.2675397769405612
Position 1325: 0.25688907700995217
Position 1574: 0.16719149457435742
Position 2018: 0.052505947924494444
Position 2028: 0.036014636113026494
Position 448: 0.011446752874974498
Position 381: 0.010301928112196209
Position 1818: 0.009920562679968254
Position 1395: 0.009781209706395974
Position 152: 0.008026458157598003
Position 2230: 0.007673984825770201
Position 1160: 0.005655811046264921
Position 206: 0.004682336050133802
Position 585: 0.003587042341634247
Position 476: 0.0034263135830997415
Position 1790: 0.00204173841062504
Position 419: 0.0016413549892626913
Position 2242: 0.0013222524787847632
Position 872: 0.0012858718559952496
Position 1132: 0.0011679186291974806
Position 937: 0.0010870248971225167
Position 1336: 0.0010406641330086555
Position 536: 0.0008393643521223529
Position 1203: 0.0007881048442928998
Position 183: 0.000786614683115737
Position 1080: 0.0006508454660174903
Position 471: 0.0006017588435502831
Position 1856: 0.0005845768711742441
Position 1616: 0.0004016070124720685
Position 1476: 0.00040090331629291827
Position 1082: 0.00034152044937122
Position 1015: 0.0003124968271693572
Position 1499: 0.00021219620354305573
Position 1183: 0.00017570304409962465
Position 1619: 0.0001218941731780205
Position 1369: 0.00012097655260583916
Position 1465: 9.846408601633836e-05
Position 423: 9.426836937819166e-05
Position 1639: 7.958082396881516e-05
Position 916: 6.781699250412545e-05
Position 286: 6.741714846670367e-05
Position 353: 6.470576313244455e-05
Position 1596: 5.735031472250842e-05
Position 1012: 5.546205919477049e-05
Position 324: 4.8193716574508014e-05
Position 1007: 4.730991580249179e-05
Position 1594: 4.262576257519653e-05
Position 755: 1.9765931527169476e-05
Position 1225: 1.8350864453782515e-05
Position 28: 1.6822042483543216e-05
Position 601: 1.6617557671570398e-05
Position 140: 1.5789604404046452e-05
Position 368: 1.5447663096997832e-05
Position 492: 1.4687729452591751e-05
Position 2036: 1.333232058396264e-05
Position 1068: 1.2407704802470097e-05
Position 835: 1.1860143239359305e-05
Position 408: 9.791068665640258e-06
Position 1797: 8.26204653271112e-06
Position 1878: 8.134554023496078e-06
Position 1381: 4.9258905419329255e-06
Position 503: 2.688877316858222e-06
Position 1172: 2.666068422263143e-06
Position 739: 1.8739202455834507e-06
Position 195: 1.1595868080881955e-06
Position 778: 7.184518656635232e-07
Position 661: 4.2767065726878544e-07
Position 398: 3.8899199215586456e-07
Position 466: 3.570203185462836e-07
Position 737: 2.729695037842546e-07
Position 82: 4.04867749493872e-09
Position 730: 2.022253156120119e-09
Position 810: 1.0259789477005203e-09
Position 686: 1.7665337019414226e-10
Position 700: 1.3944862253352505e-10
Position 688: 1.0422123202605964e-10
Position 624: 7.135883757484926e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 821: 0.9153369325462549
Position 643: 0.7119122141242009
Position 1498: 0.24269147223104368
Position 356: 0.23756547097319125
Position 1925: 0.20498109072709905
Position 2080: 0.09503944056861319
Position 1666: 0.08674869422637867
Position 2132: 0.05773544382632655
Position 1649: 0.05125941165205325
Position 904: 0.03864133326096089
Position 871: 0.023280335856875653
Position 1679: 0.017880638113744633
Position 2524: 0.01190926397673558
Position 1411: 0.01160943609555242
Position 2164: 0.010786965757007556
Position 2283: 0.010775606012478133
Position 1702: 0.009172982490337671
Position 448: 0.00640232952839215
Position 844: 0.004971902981506695
Position 1933: 0.004730576702023849
Position 1588: 0.004287357855693305
Position 2292: 0.004107640599095071
Position 205: 0.00388611203446678
Position 2103: 0.0038311247566871166
Position 2161: 0.002498386226087477
Position 392: 0.0021740124249595497
Position 1631: 0.002158712112500553
Position 2242: 0.0019442716440299492
Position 2017: 0.0017681835783547727
Position 551: 0.0013606950075399802
Position 2178: 0.0012618898493694953
Position 476: 0.000858542856603909
Position 529: 0.0008516924989600399
Position 479: 0.0008183537038108682
Position 2328: 0.0006633898418991376
Position 1708: 0.0006624652556863106
Position 955: 0.0005881676531737018
Position 1243: 0.0005040200057298806
Position 724: 0.000501486055399639
Position 1267: 0.00047795366145521307
Position 2482: 0.00038817844649950695
Position 2134: 0.0002694371900021863
Position 1639: 0.000235044832395661
Position 1264: 0.00022584326756302527
Position 606: 0.00018515521868744472
Position 841: 0.00016233492312830723
Position 835: 0.00014805238039003699
Position 408: 0.000144382548954963
Position 531: 0.00010055070530697471
Position 1183: 9.278544439527297e-05
Position 1450: 9.177849365343478e-05
Position 269: 8.226284457418861e-05
Position 1249: 7.594476431919687e-05
Position 1437: 7.22126442566179e-05
Position 564: 6.189936978266906e-05
Position 975: 5.641457760811731e-05
Position 952: 5.30670366683128e-05
Position 1612: 5.001391801997316e-05
Position 700: 3.7323666534910586e-05
Position 368: 3.6761101868977096e-05
Position 1699: 2.4279586268929148e-05
Position 711: 2.1557607507307847e-05
Position 1888: 2.0943812841607478e-05
Position 997: 1.7402982528994925e-05
Position 1075: 1.4569098213373853e-05
Position 1447: 1.1721442308971567e-05
Position 220: 1.1424533083148116e-05
Position 652: 9.295252583047056e-06
Position 1568: 7.165045269011422e-06
Position 99: 6.8288096224524445e-06
Position 990: 6.503917354675875e-06
Position 685: 6.294526301294372e-06
Position 1180: 3.761498551365241e-06
Position 310: 3.1424743887165118e-06
Position 916: 2.738884421597352e-06
Position 102: 2.2421297813910497e-06
Position 330: 1.920107793935017e-06
Position 737: 1.799757234846317e-06
Position 755: 1.6416533602611827e-06
Position 1150: 1.4790010645651402e-06
Position 1102: 1.2028447513516529e-06
Position 123: 5.623289046066925e-07
Position 274: 5.32905706589552e-07
Position 171: 5.029165474813641e-07
Position 297: 3.215958543542025e-07
Position 282: 2.1192871611386256e-07
Position 120: 2.0268832463128643e-07
Position 134: 1.3504986063018802e-07
Position 286: 1.0581433415386742e-07
Position 179: 6.121822275372589e-08
Position 1051: 5.3236777698003873e-08
Position 979: 4.98422019987886e-08
Position 228: 4.821013359962847e-08
Position 1048: 4.384246260328442e-08
Position 115: 8.763820047949435e-09
Position 148: 7.789913061835946e-09
Position 182: 4.7995022427971405e-09
Position 140: 2.470277795951781e-09
Position 245: 2.2468308067055648e-10
Position 127: 1.2730581960726658e-10
Position 71: 2.7432420599018793e-11
Position 156: 1.4272550617753114e-16
