Gene = Muc26B
index = 1291
Annotated 5SS: [95]
Annotated 3SS: [157]
SMsplice 5SS: [95]
SMsplice 3SS: [157]
top_k =  500
Partition function (log Z): -4.514779888378789

Sorted 5' Splice Sites (High to Low Probability):
Position 95: 0.9985745361011981
Position 1124: 0.025016695237030637
Position 267: 0.004647131913216722
Position 341: 0.004486673670989673
Position 332: 0.003580248400526362
Position 451: 0.002274902723773956
Position 1471: 0.001294495004147196
Position 1225: 0.0011934628129548733
Position 106: 0.0011732335654421457
Position 544: 0.0008046303244700948
Position 479: 0.000628868113145196
Position 392: 0.00033977925657193006
Position 1273: 0.00022394689364190436
Position 1142: 0.00019715979073471154
Position 1115: 0.00016297275871871684
Position 16: 0.000114360952695861
Position 1467: 8.740437819213125e-05
Position 1303: 8.115129997109589e-05
Position 321: 7.544948397832437e-05
Position 265: 6.87609972341426e-05
Position 336: 4.671304402792887e-05
Position 1113: 4.461261104260394e-05
Position 472: 3.438258971681702e-05
Position 1291: 1.7952729573078204e-05
Position 110: 9.183145081942418e-06
Position 530: 6.805004170388985e-06
Position 1168: 6.662262415400724e-06
Position 1067: 5.112028321690735e-06
Position 358: 4.978004864144786e-06
Position 20: 4.210662065394326e-06
Position 1381: 4.0207641266318995e-06
Position 311: 3.4526110124950606e-06
Position 37: 3.2709342361711074e-06
Position 1625: 3.164382052653805e-06
Position 1540: 2.5645872812003685e-06
Position 271: 1.9164233164169404e-06
Position 1263: 1.8498941084559638e-06
Position 397: 1.7686584211731409e-06
Position 1332: 1.672915105888088e-06
Position 1267: 1.2282972801217227e-06
Position 423: 9.982176785100733e-07
Position 229: 8.956633008801725e-07
Position 1535: 8.413570823001288e-07
Position 1410: 6.263362063847073e-07
Position 70: 3.118597446385365e-08
Position 51: 2.0212688280129016e-08
Position 352: 1.830594599894118e-08
Position 217: 1.4454663638545688e-08
Position 1091: 1.4374094124288748e-08
Position 203: 1.3699313599781467e-08
Position 1043: 9.221840770281103e-09
Position 205: 7.163292702327098e-09
Position 395: 5.307659210337216e-09
Position 1019: 3.756908680093031e-09
Position 330: 3.4989806534498743e-09
Position 301: 2.7190585840386334e-09
Position 995: 2.1017559491907687e-09
Position 214: 2.0428535605924106e-09
Position 971: 1.9809680625577964e-09
Position 260: 8.216875978346925e-10
Position 157: 7.7436069729997e-10
Position 181: 3.0299617535990256e-12
Position 343: 3.442615267012793e-13
Position 167: 2.0860805652751904e-13
Position 779: 1.806105683472392e-13
Position 947: 1.7759915619992138e-13
Position 827: 1.7561205422261144e-13
Position 923: 1.734739899259864e-13
Position 683: 1.6161745976912677e-13
Position 731: 1.6123792893201013e-13
Position 899: 1.5351378509803662e-13
Position 755: 1.5151605139576306e-13
Position 803: 1.506554284557796e-13
Position 851: 1.4557716065520374e-13
Position 707: 1.4275448476799135e-13
Position 875: 1.4169002127429374e-13
Position 659: 1.30740643862841e-13
Position 635: 1.1847333314869177e-13
Position 500: 9.703150450803327e-14
Position 563: 7.779792914027289e-14
Position 611: 7.726870186436938e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 157: 0.9997142836665966
Position 1174: 0.015098077665314008
Position 1724: 0.008046877393201306
Position 1213: 0.007897182381216693
Position 1123: 0.0041625544752021855
Position 1176: 0.001517980882782204
Position 538: 0.0012977918602170473
Position 454: 0.0012044642600016692
Position 1187: 0.001100734281475483
Position 1150: 0.0009099239724374453
Position 429: 0.0008726850594918678
Position 1425: 0.0004911266569273319
Position 321: 0.0004612322530710115
Position 1506: 0.000421457048045965
Position 384: 0.00025552087998515394
Position 1345: 0.00025335096709787683
Position 340: 0.00022814515715991797
Position 390: 0.0001978147594482802
Position 1251: 0.00018833244404741755
Position 1545: 0.0001733477052974242
Position 1706: 0.00014780484784427056
Position 1395: 0.00012655006220992844
Position 1527: 9.946499384508671e-05
Position 1676: 8.6061493841989e-05
Position 330: 5.551256296193683e-05
Position 1229: 4.9041049379153077e-05
Position 542: 3.694326574436974e-05
Position 472: 3.0370108308359713e-05
Position 336: 2.2042069537295315e-05
Position 457: 2.0242574580508156e-05
Position 1273: 1.4064451402241112e-05
Position 1282: 1.267703514468282e-05
Position 188: 7.338477517204514e-06
Position 1686: 6.96945879509985e-06
Position 311: 6.391714302070118e-06
Position 443: 5.188799190601313e-06
Position 122: 5.159807838402491e-06
Position 1461: 5.114752420659595e-06
Position 210: 2.7134118393526833e-06
Position 279: 2.3391375618989696e-06
Position 203: 2.113086567672445e-08
Position 222: 1.8428036187070382e-09
Position 94: 1.0447705603217773e-09
Position 77: 2.964678915126439e-10
Position 233: 2.4646317373902755e-10
Position 67: 1.9061564250143432e-11
Position 133: 4.971924956412931e-12
Position 59: 2.597052569273511e-13
Position 61: 2.2280282260494315e-13
