Gene = Srp9
index = 1521
Annotated 5SS: [243]
Annotated 3SS: [307]
SMsplice 5SS: [243]
SMsplice 3SS: [307]
top_k =  500
Partition function (log Z): -3.7829604895598083

Sorted 5' Splice Sites (High to Low Probability):
Position 243: 0.999551721160447
Position 526: 0.010116074556480205
Position 111: 0.004683417563343317
Position 11: 0.0026373737430331256
Position 105: 0.0025811034071932986
Position 816: 0.001402760117760465
Position 237: 0.0002872007915158339
Position 46: 0.00014923326430431351
Position 55: 0.0001120616266223641
Position 6: 9.14733464047619e-05
Position 802: 8.357463681857335e-05
Position 52: 7.589363066326082e-05
Position 374: 7.54009238324099e-05
Position 790: 7.337767669313e-05
Position 502: 5.723121625822422e-05
Position 538: 3.863330191093164e-05
Position 807: 3.30725624682796e-05
Position 33: 3.088174563953571e-05
Position 769: 3.0314614776045275e-05
Position 89: 2.8098295540973612e-05
Position 536: 2.0884788582269907e-05
Position 778: 1.6315949010289592e-05
Position 58: 1.1870168036021324e-05
Position 152: 9.115084783634811e-06
Position 505: 4.679793138435483e-06
Position 822: 3.2387089294050762e-06
Position 625: 3.2231081866339368e-06
Position 388: 2.450501271127506e-06
Position 528: 1.5999125144083002e-06
Position 678: 1.28040290826613e-06
Position 830: 1.2347423093909892e-06
Position 530: 1.170390382642446e-06
Position 540: 1.1322534076508398e-06
Position 41: 9.536806789706249e-07
Position 734: 7.169973920667459e-07
Position 669: 4.135295246292475e-07
Position 266: 2.385431465119629e-07
Position 508: 1.976055998003762e-07
Position 737: 1.2252835186015325e-07
Position 307: 1.0678388744031619e-07
Position 569: 8.765486437280523e-08
Position 684: 8.377787714464477e-08
Position 141: 1.4246104473882602e-09
Position 175: 8.705895217743001e-10
Position 309: 4.3311224488571253e-10
Position 542: 2.869553454686556e-10
Position 613: 2.750816381412198e-10
Position 596: 1.9542499064264097e-10
Position 316: 7.392826312502035e-11
Position 311: 2.867349082573932e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 307: 0.9835651668498815
Position 316: 0.016075638499071565
Position 170: 0.01023648264671301
Position 756: 0.004782719690748093
Position 577: 0.0035429983916628193
Position 876: 0.0012493951987246218
Position 860: 0.0009707846085507982
Position 569: 0.0007969342258554744
Position 588: 0.00023181316772478289
Position 641: 0.000147649158492497
Position 880: 0.00013565767291355834
Position 116: 0.00011498379167663662
Position 345: 8.70132754628745e-05
Position 623: 7.489012736290265e-05
Position 358: 5.7645374742247285e-05
Position 760: 3.995279803731373e-05
Position 820: 3.431002123612066e-05
Position 323: 3.203505269898202e-05
Position 448: 1.4112420740915259e-05
Position 628: 9.660826709130976e-06
Position 134: 8.543644430938438e-06
Position 366: 2.6625923982102152e-06
Position 525: 2.3336472006746784e-06
Position 596: 1.8556046815262942e-06
Position 415: 1.0413524422935953e-06
Position 469: 9.631461908232995e-07
Position 328: 8.005628393115233e-07
Position 206: 7.308990418242725e-07
Position 400: 5.02536628127688e-07
Position 394: 3.711517183604517e-07
Position 625: 2.0861886306146257e-07
Position 266: 9.440665234461307e-08
Position 822: 4.7904324085657485e-08
Position 146: 1.7780043976569e-08
Position 355: 6.087718067613857e-10
Position 407: 2.380489782292238e-10
Position 462: 1.5040500924083556e-10
Position 522: 2.0603298849728618e-11
Position 242: 1.057419821130243e-11
