Gene = byn
index = 1638
Annotated 5SS: [ 331 4654 5702 5979 6846 7657]
Annotated 3SS: [4307 5580 5834 6046 7271 7734]
SMsplice 5SS: [ 331 4654 5702 5979 6846 7657]
SMsplice 3SS: [4307 5580 5834 6046 7271 7734]
top_k =  500
Partition function (log Z): 19.91844413125888

Sorted 5' Splice Sites (High to Low Probability):
Position 5979: 0.9997547314226416
Position 5702: 0.9852994127123641
Position 331: 0.9811385274421378
Position 4654: 0.9552377536492408
Position 6846: 0.8774116525089778
Position 7657: 0.8740435130287646
Position 5478: 0.5594885569658671
Position 202: 0.11347201968072759
Position 6182: 0.09488122344976312
Position 2948: 0.09287171992664892
Position 2960: 0.059177884265799
Position 3298: 0.05320234832602036
Position 5279: 0.05282353409423659
Position 2208: 0.04296894906753122
Position 1689: 0.04144629494209809
Position 4658: 0.03622143900834895
Position 5070: 0.029057827103302885
Position 6407: 0.027939757379533928
Position 6202: 0.026958490639277497
Position 2229: 0.02386088142078501
Position 3585: 0.01820668791331829
Position 2204: 0.01620543487754324
Position 335: 0.010490529911838395
Position 4155: 0.009696275695677232
Position 5683: 0.009570634395820923
Position 7670: 0.009378537257526163
Position 1876: 0.009169722780321226
Position 5274: 0.008870291492572695
Position 5209: 0.008190667516954624
Position 7126: 0.006886143083785066
Position 5417: 0.005218832007147763
Position 5694: 0.003938080485060222
Position 6632: 0.0033871114047665314
Position 8123: 0.0032973661145554987
Position 2444: 0.003232976014507992
Position 2917: 0.002636940726928195
Position 5453: 0.0025596197371829063
Position 8103: 0.0025409825536735764
Position 7099: 0.002350315925751956
Position 6158: 0.002279953237275597
Position 4920: 0.0022345218727623244
Position 1119: 0.0018027027489601437
Position 4932: 0.0015810827452550375
Position 7661: 0.0015003070531042913
Position 2975: 0.0014532991417147475
Position 1716: 0.00141792537798145
Position 3477: 0.001414100648666159
Position 5424: 0.0013595566822011526
Position 2680: 0.001346579155559375
Position 6620: 0.0013433597076752154
Position 4484: 0.0012746817316461794
Position 7967: 0.0012426193422376947
Position 770: 0.0010981771195382913
Position 6098: 0.0010903100239292717
Position 206: 0.0010605836053097033
Position 3386: 0.0010269985976547066
Position 3244: 0.0009576791307771705
Position 3954: 0.0009263570219409817
Position 2185: 0.0009115221077117167
Position 811: 0.000838350676420461
Position 7135: 0.0008169650020686027
Position 3644: 0.0008134148652171199
Position 7458: 0.000798582935360973
Position 7680: 0.0007798085801087412
Position 6715: 0.0007269477295863483
Position 6678: 0.0006912205566309424
Position 6739: 0.00056482722622181
Position 5770: 0.0005646380437460379
Position 6070: 0.0005462868000263257
Position 662: 0.0005426839397386217
Position 171: 0.0005094693997406388
Position 6850: 0.0004973493285025425
Position 4968: 0.0004898424760551547
Position 1815: 0.00047600228318287645
Position 6987: 0.00044267425864560255
Position 6672: 0.0003697680872323092
Position 5743: 0.0003029036882695757
Position 122: 0.0002938734319773764
Position 6166: 0.0002855371639890425
Position 613: 0.00025943078546401577
Position 6429: 0.00024291210675642046
Position 6824: 0.00023120113006371178
Position 974: 0.00022233457521797785
Position 5943: 0.0001951984282111003
Position 319: 0.0001950447557776233
Position 8139: 0.00015545486224462427
Position 2656: 0.0001539385457601033
