Gene = Nplp2
index = 1328
Annotated 5SS: [268 477]
Annotated 3SS: [350 631]
SMsplice 5SS: [268 477]
SMsplice 3SS: [350 631]
top_k =  500
Partition function (log Z): -3.1074125290588044

Sorted 5' Splice Sites (High to Low Probability):
Position 268: 0.964973946544281
Position 477: 0.8690312132577015
Position 471: 0.02680669847117226
Position 773: 0.013052874109644211
Position 519: 0.012086577534417216
Position 576: 0.005050471340489835
Position 725: 0.004203425860408572
Position 272: 0.0037849593168149875
Position 421: 0.0036599165451860305
Position 791: 0.002169953175565017
Position 28: 0.0013309444513184873
Position 529: 0.000562588242206195
Position 152: 0.0003528524551095103
Position 728: 0.000338900664825247
Position 126: 0.00029579277034999513
Position 590: 0.000258648591782061
Position 286: 0.00021173482515691428
Position 138: 0.00018834466990569226
Position 446: 0.0001834509331702301
Position 455: 0.00017929133270364682
Position 794: 0.00012144534170429245
Position 376: 0.00010297969440815479
Position 669: 6.785800907419254e-05
Position 512: 6.418009594846822e-05
Position 628: 5.093948629948208e-05
Position 633: 3.598940087670649e-05
Position 539: 3.440788949257073e-05
Position 369: 2.8808545525475466e-05
Position 183: 2.65563783312801e-05
Position 43: 1.2226826302499195e-05
Position 169: 1.1359112369599227e-05
Position 261: 9.855358625668238e-06
Position 201: 6.673120654210057e-06
Position 252: 6.368418621774411e-06
Position 141: 5.8669116217646745e-06
Position 190: 5.258062874471794e-06
Position 161: 4.3967118399926574e-06
Position 128: 3.3578855788746285e-06
Position 92: 2.6621764671724533e-06
Position 359: 2.5027538389671304e-06
Position 250: 6.863917321213975e-07
Position 78: 3.3863631569718217e-07
Position 175: 3.231058323690326e-07
Position 350: 3.0873916188216573e-07
Position 131: 2.4886172602003776e-07
Position 52: 2.463705463513228e-07
Position 659: 1.366353591105944e-07
Position 333: 4.502917214412401e-08
Position 626: 2.1444174433486576e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 631: 0.885386528976357
Position 350: 0.8850972149662774
Position 844: 0.04363827258584132
Position 318: 0.03433981849650798
Position 700: 0.0237174037445946
Position 664: 0.0198142040553347
Position 590: 0.00593552912363538
Position 643: 0.005808761370740251
Position 791: 0.0015892813064671372
Position 78: 0.0011612485435708124
Position 399: 0.0008941704166441075
Position 529: 0.0007608085877747354
Position 183: 0.00029042824716336136
Position 667: 0.0002644035038427822
Position 413: 0.00021588660849309322
Position 419: 0.0001620900765876732
Position 88: 5.0233112145235194e-05
Position 201: 3.7576290718991836e-05
Position 320: 3.584251071584008e-05
Position 380: 2.965192556155781e-05
Position 188: 2.8577612555297282e-05
Position 190: 2.353199069509547e-05
Position 446: 1.4778522042215583e-05
Position 299: 1.0091178492897106e-05
Position 544: 5.628429097856321e-06
Position 231: 3.99929557768602e-06
Position 508: 3.688691250346327e-06
Position 198: 3.6273482423215073e-06
Position 305: 1.0110641879555067e-06
Position 519: 1.0040052990608522e-06
Position 452: 8.852797479985925e-07
Position 722: 8.370556076820513e-07
Position 707: 4.361989816803054e-07
Position 149: 3.9888226424657573e-07
Position 286: 3.02483337750229e-07
Position 161: 1.5229176454441983e-07
Position 272: 1.3815889352180977e-07
Position 141: 8.870158010771372e-08
Position 467: 3.8122918685658954e-08
Position 470: 2.619471453858214e-08
Position 169: 1.539074384280873e-08
Position 488: 7.770240463481165e-10
Position 125: 5.617228524700812e-10
Position 151: 3.651183076603855e-10
Position 138: 1.3609192800321543e-10
