Gene = mRpS18B
index = 1776
Annotated 5SS: [388]
Annotated 3SS: [449]
SMsplice 5SS: [388]
SMsplice 3SS: [449]
top_k =  500
Partition function (log Z): -5.129978535674545

Sorted 5' Splice Sites (High to Low Probability):
Position 388: 0.9998082739478937
Position 78: 0.002164872121770179
Position 88: 0.0017712097701880704
Position 732: 0.0006669639360325114
Position 747: 0.0003335988285450208
Position 702: 0.0002085143940730344
Position 559: 6.679649558878749e-05
Position 264: 4.782595481808009e-05
Position 665: 4.457431298546422e-05
Position 52: 3.9191923292844e-05
Position 468: 2.942448324708179e-05
Position 9: 2.5099707332375805e-05
Position 382: 1.6558863174535303e-05
Position 545: 1.1190443083063181e-05
Position 371: 1.0999683495539119e-05
Position 267: 9.41116382530516e-06
Position 512: 7.713584537835403e-06
Position 594: 6.7312673601079e-06
Position 647: 4.732677225608777e-06
Position 821: 4.044245224671405e-06
Position 4: 3.3908386647435495e-06
Position 619: 3.009979309282263e-06
Position 57: 2.567910089352097e-06
Position 799: 1.9044538506089214e-06
Position 412: 1.6897084964939303e-06
Position 835: 1.0731556808769757e-06
Position 673: 9.4975725536041e-07
Position 495: 7.619364816298913e-07
Position 308: 5.458662767942316e-07
Position 718: 4.121679498486229e-07
Position 373: 1.7508177652206337e-07
Position 645: 9.765116726012898e-08
Position 106: 9.141764586930054e-08
Position 533: 5.7113436208251735e-08
Position 140: 3.354338584251661e-08
Position 120: 2.628037506092382e-08
Position 679: 2.502905201011936e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 449: 0.9975215071004371
Position 159: 0.003739112373371293
Position 812: 0.0010931511251341076
Position 507: 0.0009191415015089213
Position 611: 0.0004971954183238393
Position 834: 0.0003548520758656352
Position 492: 0.0002580319381710438
Position 462: 0.00020568485730738104
Position 728: 0.00013088612310926674
Position 684: 0.0001251680612130861
Position 334: 0.00010668669197410531
Position 518: 9.203233943761422e-05
Position 864: 5.727723845151776e-05
Position 242: 4.825431931568507e-05
Position 308: 3.3651283995093135e-05
Position 640: 2.1060439482986666e-05
Position 626: 1.6953072055457004e-05
Position 87: 1.5552834718380007e-05
Position 594: 9.931906410007466e-06
Position 78: 6.889600823982396e-06
Position 636: 5.624684210746973e-06
Position 183: 5.611639930543883e-06
Position 278: 5.140003623918997e-06
Position 881: 5.0745559294943346e-06
Position 349: 4.027255972241372e-06
Position 654: 3.5630230482235707e-06
Position 868: 3.2301551149467554e-06
Position 688: 1.3888232083313121e-06
Position 743: 1.1602015872495425e-06
Position 294: 1.1086931390123602e-06
Position 616: 9.464982232245937e-07
Position 582: 8.366969811514103e-07
Position 382: 8.011243374833798e-07
Position 218: 7.603554820035738e-07
Position 199: 5.843245236078532e-07
Position 286: 4.544348110588485e-07
Position 759: 3.1153368372902067e-07
Position 765: 2.860333820002567e-07
Position 762: 1.796087344568467e-07
Position 313: 1.608405141018779e-07
Position 591: 1.045797829178808e-07
Position 891: 4.06830837725965e-08
Position 768: 3.875766519773035e-08
Position 192: 2.8790295756231498e-08
Position 248: 1.4761201162714528e-08
Position 264: 1.3590816778350458e-08
Position 336: 1.6515917036477189e-09
Position 253: 5.93622006727283e-10
Position 205: 2.7070735048695494e-10
Position 364: 1.1980278832511075e-10
Position 167: 8.134349098733566e-11
Position 403: 5.70843328777217e-13
Position 392: 1.0781775933988346e-14
