Gene = ND-13B
index = 1296
Annotated 5SS: [112 403]
Annotated 3SS: [240 601]
SMsplice 5SS: [112 403]
SMsplice 3SS: [247 601]
top_k =  500
Partition function (log Z): -0.8088840380680833

Sorted 5' Splice Sites (High to Low Probability):
Position 403: 0.9834110026187513
Position 112: 0.7931662106265122
Position 188: 0.004966052667082751
Position 131: 0.0036156686126560408
Position 450: 0.002271792952167089
Position 788: 0.001762145901241083
Position 248: 0.0015632406428382054
Position 198: 0.0012293075867627192
Position 524: 0.000864970823663527
Position 357: 0.0004860902258290385
Position 443: 0.00023084658161995773
Position 536: 0.0001936473977585263
Position 45: 0.00017485057285629785
Position 517: 0.0001699416082943926
Position 78: 9.406867688198249e-05
Position 373: 6.086473321759759e-05
Position 434: 5.544008098412541e-05
Position 48: 5.419776477345493e-05
Position 751: 5.009788440284158e-05
Position 300: 4.1432970306371545e-05
Position 805: 3.589627539031724e-05
Position 210: 1.93637083806286e-05
Position 470: 1.6839790979625652e-05
Position 116: 1.1776534836001146e-05
Position 216: 1.1169061868935892e-05
Position 724: 3.842103440890808e-06
Position 32: 3.730505457293692e-06
Position 394: 9.243663653843107e-07
Position 647: 7.530987034355578e-07
Position 488: 7.154036713200116e-07
Position 324: 5.208360596156284e-07
Position 322: 4.4100070426210784e-07
Position 240: 1.647643654588018e-07
Position 728: 1.0769172793688448e-07
Position 265: 9.632665808468875e-08
Position 293: 6.65695893382852e-08
Position 636: 5.8066397055070253e-08
Position 221: 5.0987502574264535e-08
Position 632: 1.0034617013926648e-08
Position 267: 2.3962692839966825e-09
Position 642: 2.375709032221492e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 601: 0.9983467246765059
Position 247: 0.4751653012451392
Position 240: 0.30812112869538194
Position 293: 0.004090298733440107
Position 309: 0.0035287519486836175
Position 188: 0.0018862528877812024
Position 878: 0.0009696188943869902
Position 607: 0.00047813870870227733
Position 532: 0.00047171407187611685
Position 862: 0.0004628454930760371
Position 866: 0.0003581454064724798
Position 628: 0.0001645580600657659
Position 473: 0.00012465140831847415
Position 339: 8.809199802459357e-05
Position 484: 8.341890106095525e-05
Position 160: 4.5884075515783097e-05
Position 162: 4.5132833038262524e-05
Position 330: 3.786473002988441e-05
Position 822: 3.53284654897233e-05
Position 839: 1.996597453605509e-05
Position 464: 1.2745439443966776e-05
Position 805: 1.1127305033581033e-05
Position 504: 3.7547469183929945e-06
Position 667: 3.2625575873116995e-06
Position 99: 2.3889374412975393e-06
Position 712: 1.9600368561603456e-06
Position 647: 1.6860076829486699e-06
Position 498: 1.6369596596473416e-06
Position 673: 1.510787699152832e-06
Position 108: 1.3009529737069435e-06
Position 652: 7.846037235556506e-07
Position 78: 5.342290986722488e-07
Position 347: 5.028384787727198e-07
Position 381: 2.6658146473392473e-07
Position 122: 2.089218608630017e-07
Position 679: 2.0708786771178048e-07
Position 751: 1.8545317340425993e-07
Position 443: 1.4254280497827508e-07
Position 116: 6.781323129894677e-08
Position 843: 5.8238843433843654e-08
Position 131: 3.747002552397528e-08
Position 378: 3.4314839164847486e-08
Position 748: 3.269833160064481e-08
Position 787: 3.049717543074557e-08
Position 136: 2.9211543297972467e-08
Position 357: 2.7278583511890635e-08
Position 793: 2.4982164024403215e-08
Position 148: 1.1050379577201938e-08
Position 767: 9.385173721126176e-09
Position 772: 8.56999421587126e-09
Position 366: 4.126654105952825e-09
Position 403: 1.6189589353269883e-09
Position 407: 7.67210487482076e-13
