Gene = Psf2
index = 1390
Annotated 5SS: [ 37 593]
Annotated 3SS: [342 650]
SMsplice 5SS: [593]
SMsplice 3SS: [650]
top_k =  500
Partition function (log Z): -6.577792460857715

Sorted 5' Splice Sites (High to Low Probability):
Position 593: 0.8579506679269411
Position 310: 0.24036645461720232
Position 37: 0.05003214422807558
Position 597: 0.04404207462322599
Position 71: 0.03376757330235179
Position 604: 0.03356118581817761
Position 283: 0.012339733979315034
Position 28: 0.009140310874301102
Position 608: 0.007485132956749462
Position 995: 0.0056427242183405436
Position 331: 0.0020753353433590922
Position 57: 0.00176650913326455
Position 986: 0.0017248206960921756
Position 912: 0.000714622886272575
Position 871: 0.0006912436503578067
Position 130: 0.0006579426691898834
Position 1093: 0.0005605763754263192
Position 304: 0.0003413417418731279
Position 933: 0.00023601393286213599
Position 959: 0.00023133752506685927
Position 980: 0.0002032821896845724
Position 1014: 0.0001868864368070371
Position 1039: 0.0001449236943898875
Position 86: 0.00014126007458928206
Position 168: 0.00013039242298703196
Position 211: 0.00012910601319430012
Position 123: 0.00012698443987924283
Position 25: 0.00011338839191485144
Position 528: 0.00010606434429635608
Position 751: 0.0001015158584077005
Position 184: 0.00010123785419823995
Position 116: 9.449517652944022e-05
Position 1096: 8.056567567433377e-05
Position 285: 6.0322748402648633e-05
Position 326: 5.381517396696297e-05
Position 518: 3.602848744979619e-05
Position 201: 3.364140827089053e-05
Position 253: 3.005405737791775e-05
Position 335: 2.9742644147977353e-05
Position 96: 2.41292931746214e-05
Position 1115: 2.3137969108710976e-05
Position 1086: 2.0218523063141413e-05
Position 1067: 1.985636158497441e-05
Position 685: 1.828435389528192e-05
Position 780: 6.231590104776558e-06
Position 671: 3.685557390618072e-06
Position 696: 3.0048650972523287e-06
Position 314: 2.833380977351889e-06
Position 1005: 1.986460522849097e-06
Position 651: 1.8268440702077285e-06
Position 485: 1.7657147510715247e-06
Position 463: 1.2711136894128851e-06
Position 1026: 1.2374705831385167e-06
Position 444: 7.977670439015954e-07
Position 471: 6.363646436616616e-07
Position 107: 3.820871148171619e-07
Position 477: 2.76572106964343e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 650: 0.9780801070236409
Position 412: 0.19185838339328443
Position 342: 0.03459848477210827
Position 147: 0.019878917128561352
Position 1160: 0.01778666318060183
Position 394: 0.016101383288888726
Position 86: 0.012171237544006445
Position 221: 0.010285829927231649
Position 537: 0.007325408902180244
Position 116: 0.006679812739318052
Position 218: 0.002591048694792018
Position 113: 0.0019762827231205333
Position 180: 0.0012524902880834243
Position 156: 0.0009683489236835809
Position 907: 0.0009624283329903529
Position 688: 0.0005774087856417724
Position 869: 0.0005636118267164632
Position 459: 0.0004021210215603147
Position 696: 0.0002604098447608821
Position 1014: 0.00024268864740093103
Position 518: 0.00015628111418327943
Position 1054: 0.00014752824617211702
Position 509: 0.00012876435152235708
Position 123: 0.00011601517468282672
Position 177: 4.788242513288646e-05
Position 973: 3.57609927169378e-05
Position 841: 3.028573597171294e-05
Position 1074: 2.438787988005942e-05
Position 816: 2.3015258389456233e-05
Position 1115: 1.359697972078783e-05
Position 1026: 1.3090437903537511e-05
Position 1061: 8.600956429853765e-06
Position 861: 6.7422280566207935e-06
Position 235: 6.219774193035429e-06
Position 275: 6.097679844902759e-06
Position 941: 5.501617620202418e-06
Position 260: 5.349561318357906e-06
Position 918: 4.932735257454558e-06
Position 741: 4.596447350987927e-06
Position 572: 4.1921350916206435e-06
Position 223: 3.6889514190253337e-06
Position 242: 2.4846005249495236e-06
Position 1067: 2.468675301014272e-06
Position 563: 1.345936595282012e-06
Position 419: 7.055802738421365e-07
Position 149: 3.4782030877846e-07
Position 282: 2.6943162888226552e-08
Position 163: 1.7258651201764076e-08
Position 244: 1.5466987604932966e-08
Position 304: 4.862066902415723e-09
Position 267: 1.06423297167578e-09
