Gene = psd
index = 1850
Annotated 5SS: [207]
Annotated 3SS: [528]
SMsplice 5SS: [207]
SMsplice 3SS: [528]
top_k =  500
Partition function (log Z): -9.074131915966587

Sorted 5' Splice Sites (High to Low Probability):
Position 459: 0.2768886485572928
Position 207: 0.26128458809784394
Position 272: 0.17607104084848077
Position 244: 0.1574906409700379
Position 81: 0.15529328845614473
Position 1170: 0.1306792882771236
Position 871: 0.10754534343827711
Position 419: 0.06332969464475435
Position 612: 0.04686871560353439
Position 868: 0.011417048320502336
Position 773: 0.0104272592498831
Position 277: 0.008519878234265553
Position 170: 0.00798984031611117
Position 821: 0.005539355580867956
Position 642: 0.005223913389941967
Position 140: 0.0024798343969173573
Position 1174: 0.0021325984616496797
Position 1453: 0.0015475098121224176
Position 49: 0.0014275905718380668
Position 165: 0.00135119080796382
Position 813: 0.001275653911846885
Position 628: 0.0011136768513546897
Position 404: 0.00043296605604204656
Position 391: 0.0003871719886989323
Position 393: 0.00029264555956229414
Position 818: 0.00026596944577399607
Position 62: 0.00019643957834793171
Position 1481: 0.00011987998780915782
Position 606: 5.388544706292008e-05
Position 615: 1.2910471960769198e-05
Position 582: 1.0603760916642193e-05
Position 566: 9.404219938931883e-06
Position 150: 5.5955489266477785e-06
Position 51: 5.100409687079238e-06
Position 335: 4.026921553813066e-06
Position 145: 3.34499391180818e-06
Position 143: 1.8201388087709536e-06
Position 411: 1.6636519983551624e-06
Position 385: 2.7483757812303603e-07
Position 14: 1.1375443131785156e-07
Position 529: 2.855604543585838e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 528: 0.7074965990871634
Position 340: 0.2870261304243872
Position 944: 0.15411617315726034
Position 1601: 0.05553789168382616
Position 1223: 0.04847113793196667
Position 1061: 0.03859137920859699
Position 684: 0.030289881688891154
Position 297: 0.026875249575363212
Position 359: 0.024039681160909127
Position 690: 0.012754862690430085
Position 1395: 0.009291672918875036
Position 1241: 0.0087297639457258
Position 143: 0.005579509370409296
Position 1733: 0.005463474660576094
Position 458: 0.0042969594901760815
Position 1301: 0.004141406360120347
Position 1564: 0.00267150112784224
Position 1412: 0.0024655324822545487
Position 1651: 0.00197947997246311
Position 1271: 0.0012865111831691116
Position 1501: 0.0012144370989301643
Position 351: 0.0011949884169090057
Position 1232: 0.0011792352879742276
Position 868: 0.000604205530835316
Position 1433: 0.0005497072267057915
Position 130: 0.00030894965470568483
Position 582: 0.00030150268437534376
Position 1021: 0.00021106243237570385
Position 140: 0.00017012440062212875
Position 1286: 0.00014749599054603504
Position 579: 0.00013229950380979177
Position 1549: 0.00011656129593462183
Position 248: 0.00011416183532436914
Position 109: 7.815838238834784e-05
Position 1855: 7.353549949902918e-05
Position 994: 5.030427280552621e-05
Position 1065: 3.810559121364636e-05
Position 1813: 3.4983194260115555e-05
Position 277: 3.252943130590577e-05
Position 364: 1.0961307740570772e-05
Position 272: 1.004598456769925e-05
Position 118: 4.671998212581617e-06
Position 391: 3.393696431445003e-06
Position 372: 3.3314930214324325e-06
Position 165: 3.0330412854245144e-06
Position 385: 2.688753891090603e-06
Position 1126: 1.8810128333868011e-06
Position 114: 1.3158591951104424e-06
Position 844: 9.327591257501553e-07
Position 377: 7.981703161235898e-07
Position 150: 2.436742240624217e-07
Position 77: 3.4844351812914974e-10
Position 85: 1.674916767303067e-10
Position 265: 1.0102911212872151e-11
