Gene = Gr77a
index = 1199
Annotated 5SS: [1188]
Annotated 3SS: [1653]
SMsplice 5SS: [1188]
SMsplice 3SS: [1653]
top_k =  500
Partition function (log Z): -6.465252381730351

Sorted 5' Splice Sites (High to Low Probability):
Position 1188: 0.8324629542145893
Position 97: 0.2566648845964366
Position 1753: 0.03224596799873292
Position 602: 0.00792929966572161
Position 1436: 0.006463684704134774
Position 1047: 0.006435878074381266
Position 1469: 0.004824183795397896
Position 1545: 0.0044438301851093456
Position 585: 0.004401427800952462
Position 186: 0.004100813194852895
Position 112: 0.003136788955913004
Position 348: 0.002210319016238431
Position 977: 0.0021016074737051625
Position 1573: 0.0017362053564758486
Position 852: 0.0017066232580779527
Position 630: 0.0016618996302899998
Position 1167: 0.001339872074953851
Position 818: 0.0013106362824635536
Position 1484: 0.001204776214520462
Position 1565: 0.0010786106238206716
Position 1359: 0.0010461242429698069
Position 1533: 0.0008809055858916716
Position 266: 0.0008192404255578675
Position 1537: 0.0004530346308951519
Position 1391: 0.0004248272112067699
Position 821: 0.000349133475985818
Position 119: 0.00031095484737373775
Position 222: 0.000295971143194086
Position 237: 0.0002896169799717186
Position 1202: 0.00026397950063604435
Position 135: 0.0002621423764845075
Position 1757: 0.00025233881915036983
Position 665: 0.00024035743951404616
Position 1301: 0.00023149166477077476
Position 437: 0.0002142021413411373
Position 519: 0.0001978558533976826
Position 513: 0.00016311811394123052
Position 699: 0.00014616231286029418
Position 1420: 0.0001395391940988113
Position 986: 0.00013491590501853043
Position 1200: 0.00013234206676723223
Position 624: 0.00011037703432619436
Position 836: 7.994263121532937e-05
Position 1350: 7.782190095787584e-05
Position 124: 7.375556587680974e-05
Position 800: 6.419993258032457e-05
Position 516: 4.9578226895913874e-05
Position 1192: 4.819796259316365e-05
Position 1074: 4.676136954985793e-05
Position 1216: 3.975651457426382e-05
Position 404: 3.767649804529505e-05
Position 1114: 3.72202993722318e-05
Position 896: 3.538733922849761e-05
Position 903: 3.135262738953056e-05
Position 866: 2.7126865400010236e-05
Position 1316: 2.6010567298577587e-05
Position 618: 2.396438641884996e-05
Position 1234: 2.0465202339377622e-05
Position 1013: 1.952597832756669e-05
Position 1461: 1.8230155822734656e-05
Position 166: 1.718119775916307e-05
Position 137: 1.6466234796693974e-05
Position 427: 1.08407814208416e-05
Position 912: 8.717173600848049e-06
Position 941: 4.619965866466393e-06
Position 368: 4.53639517735122e-06
Position 691: 4.482918484765573e-06
Position 244: 4.068127085952869e-06
Position 760: 3.953470155654085e-06
Position 101: 2.9850727353410446e-06
Position 352: 2.946500659846745e-06
Position 484: 1.6992756828622868e-06
Position 1719: 9.239586938967171e-07
Position 1241: 1.366066875815703e-07
Position 79: 7.448668515567537e-08
Position 529: 1.9212299992639456e-08
Position 406: 1.182518090345735e-08
Position 425: 7.029920927047675e-09
Position 36: 2.156430274452258e-09
Position 336: 3.2337735775753233e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1653: 0.9638183156914961
Position 1098: 0.06249484950341259
Position 1815: 0.030618589041920132
Position 638: 0.02036503949000962
Position 903: 0.018832279896129712
Position 1294: 0.014531955023203225
Position 1381: 0.013167524171680534
Position 1264: 0.01055265185310629
Position 1267: 0.009197909085918294
Position 280: 0.006300390961720154
Position 770: 0.004065845904311269
Position 650: 0.004018831701850171
Position 1349: 0.0028229420081741768
Position 389: 0.0025320836277685226
Position 1346: 0.0025197912554242204
Position 794: 0.0017788414582412936
Position 872: 0.0017428717408852442
Position 425: 0.001681360634441828
Position 563: 0.0016669702258433504
Position 1831: 0.0016185932052348072
Position 554: 0.0015070812726152038
Position 977: 0.0011634069703698041
Position 1009: 0.001108355576103604
Position 1621: 0.0006607933134526203
Position 386: 0.0005868567747456492
Position 767: 0.0005440462196936008
Position 982: 0.0005064225091944614
Position 1577: 0.000497485852299729
Position 1102: 0.000496784747020996
Position 464: 0.0004144266491542509
Position 1120: 0.00033173661007062863
Position 1625: 0.0003273346786354053
Position 1835: 0.0003161341885291729
Position 1591: 0.00030725341322297944
Position 1484: 0.00025895849870863986
Position 1105: 0.00024088922436724352
Position 1330: 0.0002264997203784019
Position 1306: 0.00021313149647173935
Position 497: 0.000182811296548701
Position 1436: 0.00017733901207658563
Position 760: 0.00016292601020700013
Position 908: 0.00015234688538452772
Position 510: 0.00011689424063165075
Position 1159: 9.773971470078145e-05
Position 166: 9.633715846788017e-05
Position 1680: 6.591446523158326e-05
Position 1216: 6.0653596413058396e-05
Position 941: 4.7093172404649765e-05
Position 1448: 4.4239465296694235e-05
Position 513: 4.394480599997109e-05
Position 433: 4.077490390394051e-05
Position 529: 3.9337352078134435e-05
Position 182: 3.6534608950796776e-05
Position 1391: 3.131642078250554e-05
Position 1706: 2.7171789607716588e-05
Position 818: 2.5779575911076303e-05
Position 1134: 2.3912004691306186e-05
Position 174: 2.2064433384441758e-05
Position 797: 1.6711024487608325e-05
Position 572: 1.6647557243016435e-05
Position 986: 1.5438988293556425e-05
Position 1801: 1.3761486232270351e-05
Position 470: 1.1729742170221187e-05
Position 190: 1.0052042733921805e-05
Position 1725: 9.932395646705084e-06
Position 442: 9.599794326910112e-06
Position 194: 8.960823878687033e-06
Position 1501: 7.353748600821953e-06
Position 445: 6.232050200524786e-06
Position 1791: 2.107947027461809e-06
Position 585: 3.004230031744024e-07
Position 1180: 2.396318819323328e-07
Position 592: 8.016264057666737e-08
Position 395: 2.7890127114478148e-08
Position 124: 1.0707004439364904e-12
Position 184: 4.174404785559256e-13
Position 133: 2.450487490085429e-13
Position 196: 3.091648110284912e-15
