Gene = ifc
index = 1734
Annotated 5SS: [545]
Annotated 3SS: [1267]
SMsplice 5SS: [ 545 1147 2169]
SMsplice 3SS: [1053 1267 2235]
top_k =  500
Partition function (log Z): -4.558588296874263

Sorted 5' Splice Sites (High to Low Probability):
Position 545: 0.7847781227932102
Position 1147: 0.7170390396668795
Position 2169: 0.2555936681681071
Position 2173: 0.18619201552080458
Position 1352: 0.15069425950262547
Position 278: 0.14163834511528425
Position 2089: 0.10252229634860105
Position 1151: 0.0895216862725633
Position 1871: 0.08798319310407658
Position 2425: 0.07228517151039734
Position 1855: 0.061169750189850824
Position 1882: 0.02586585623300418
Position 1695: 0.01332760695188087
Position 2059: 0.012908020234983015
Position 1131: 0.012534389346041293
Position 1356: 0.011410208197831187
Position 2075: 0.009970015388676446
Position 559: 0.007514110658076532
Position 798: 0.0059713923159709055
Position 948: 0.0053849598908749605
Position 827: 0.004516448633542087
Position 179: 0.0039577775811999805
Position 918: 0.003436498691380637
Position 109: 0.0033769730440465725
Position 1108: 0.002926758414455449
Position 233: 0.002482660786744824
Position 1142: 0.002446528625464906
Position 983: 0.0022981955669331543
Position 642: 0.0020892525700309038
Position 1609: 0.001829730802336862
Position 1635: 0.0018138527294153852
Position 73: 0.0015482248434316994
Position 1760: 0.0014236686922378277
Position 2159: 0.0012539917313175622
Position 524: 0.0009467895524355779
Position 908: 0.0009199733253184956
Position 2372: 0.000893911323761424
Position 999: 0.0007401829491771421
Position 1276: 0.0006728404143216511
Position 1803: 0.0006257744611802903
Position 734: 0.000615825265886063
Position 2402: 0.0006029193050584185
Position 1907: 0.0005214572883718289
Position 1671: 0.0004983368073238537
Position 1785: 0.0004235249463111902
Position 2084: 0.00033445755992365825
Position 2073: 0.0002904520042398
Position 1443: 0.00024178471183790613
Position 1440: 0.00023511532416287725
Position 1218: 0.00020550278352644572
Position 1920: 0.00020140660911999433
Position 1990: 0.00018182128984954175
Position 981: 0.00017462736994920604
Position 320: 0.00015265341621377185
Position 1245: 0.00014933282496836108
Position 923: 0.00012421276035221786
Position 1005: 0.0001140484116361716
Position 757: 0.00011056119601095122
Position 1516: 0.00010020424066681591
Position 1325: 9.894950538058965e-05
Position 631: 8.51097906851445e-05
Position 64: 8.446248084380883e-05
Position 2052: 8.128613295661454e-05
Position 1120: 7.873455523270784e-05
Position 4: 7.681974661059468e-05
Position 727: 7.293071516625115e-05
Position 395: 6.908150300131477e-05
Position 1054: 6.17782589198596e-05
Position 986: 4.9502767203616474e-05
Position 1595: 4.8403945288273083e-05
Position 497: 4.425690124358877e-05
Position 830: 4.363178523143339e-05
Position 37: 4.148158313988227e-05
Position 1755: 3.803372121208401e-05
Position 297: 3.097714094231591e-05
Position 870: 3.0842682335347004e-05
Position 95: 2.8570226173259723e-05
Position 1574: 2.810220861161735e-05
Position 878: 2.51848153723363e-05
Position 2392: 2.4365063092316407e-05
Position 802: 2.1615556767072725e-05
Position 159: 1.8790583481406225e-05
Position 282: 1.775405882710254e-05
Position 185: 1.4464857997065957e-05
Position 773: 1.180454979705541e-05
Position 327: 1.1695612208792591e-05
Position 698: 1.0590137728119908e-05
Position 183: 8.762992802235943e-06
Position 701: 7.278568883549813e-06
Position 833: 6.927867866137861e-06
Position 102: 6.840382653614662e-06
Position 46: 6.815737244583241e-06
Position 842: 6.802033119778169e-06
Position 1225: 4.969162428868027e-06
Position 696: 4.157270082047752e-06
Position 549: 3.8801061968532675e-06
Position 357: 3.692980728881532e-06
Position 30: 3.2899992818536793e-06
Position 1358: 2.8034392376386324e-06
Position 1093: 5.365670427242449e-07
Position 408: 8.167281766671435e-08
Position 324: 5.617297713400037e-08
Position 347: 5.3983046174372356e-08
Position 341: 5.1156003155118556e-08
Position 344: 3.0464073136978715e-08
Position 1470: 2.8519445553037723e-08
Position 132: 6.433822410355757e-09
Position 765: 3.5515554816703856e-09
Position 338: 2.257872865071529e-09
Position 634: 1.843991730633855e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1267: 0.906968683487263
Position 2235: 0.8426259833283349
Position 1053: 0.664318997157884
