Gene = IRSp53
index = 1223
Annotated 5SS: [  240 15509 22166 22377 22518 22778 22937 23515 23933 24678 24884]
Annotated 3SS: [14823 22089 22292 22455 22579 22870 23247 23709 23997 24731 25422]
SMsplice 5SS: [  240 15509 22166 22377 22518 22778 23515 23933 24678 24884 27440]
SMsplice 3SS: [14823 22089 22292 22455 22579 22870 23709 23997 24731 27366 27505]
top_k =  500
Partition function (log Z): 30.882887576481608

Sorted 5' Splice Sites (High to Low Probability):
Position 22778: 0.9999146358229252
Position 24884: 0.999118278077095
Position 24678: 0.9978707775986698
Position 23933: 0.9941952450030312
Position 22166: 0.9802488693599893
Position 22377: 0.9727541664157309
Position 15509: 0.9411853976022448
Position 23515: 0.932835256461286
Position 240: 0.9271509067760865
Position 22518: 0.9145240788100389
Position 27440: 0.8473014876023053
Position 22937: 0.5065238723106136
Position 3199: 0.25700273108799376
Position 3502: 0.13182812293722915
Position 23344: 0.12514682964749688
Position 3162: 0.09617406237540653
Position 27176: 0.0904880150960746
Position 3168: 0.08509975647298111
Position 23051: 0.04669739474105687
Position 155: 0.02752450100668025
Position 15996: 0.014096257725999898
Position 2018: 0.013032921765774958
Position 23092: 0.01256797851405046
Position 3156: 0.01131618070541515
Position 401: 0.008323540754886432
Position 23007: 0.006546923900123257
Position 1505: 0.004692269539472078
Position 24178: 0.004576338716722798
Position 22522: 0.004108820140321612
Position 23911: 0.0034438547148351643
Position 69: 0.003060292112451457
Position 22210: 0.0029575586299918845
Position 17: 0.002921595303138094
Position 1508: 0.002612662375197673
Position 22215: 0.0026029804326693287
Position 1459: 0.002482081663209367
Position 23060: 0.002300720189044148
Position 1226: 0.0019874838259941697
Position 1901: 0.0019155133181785607
Position 293: 0.0013540741665858502
Position 27254: 0.0013132950075125513
Position 1119: 0.0012551760371242767
Position 304: 0.0012043326281424172
Position 23271: 0.0012041549764660474
Position 779: 0.0012025577596031585
Position 790: 0.0011410060871294622
Position 26942: 0.0008924036388521024
Position 22995: 0.000849374443675163
Position 23320: 0.000751847528890553
Position 22532: 0.0006787546441544473
Position 23111: 0.0006767378631845923
Position 27609: 0.0006457850339179007
Position 1772: 0.0005095416221905679
Position 24147: 0.0005083954987502612
Position 24888: 0.0004804209763352414
Position 26819: 0.0004671152888814155
Position 26097: 0.000459158048386191
Position 27866: 0.0004358495835981905
Position 27846: 0.00034755619877583163
Position 26740: 0.0003333846247387518
Position 23136: 0.0002808417422865657
Position 22400: 0.000255138899476223
Position 25797: 0.0002219694809697344
Position 89: 0.0002198928193922032
Position 27633: 0.0002161226437617069
Position 23843: 0.00018494092113827495
Position 27343: 0.00016714575579466917
Position 24639: 0.0001419110646213536
Position 979: 0.00013654932313603523
Position 22381: 0.00013616264100811231
