Gene = ebi
index = 1689
Annotated 5SS: [ 380 1644]
Annotated 3SS: [ 444 1721]
SMsplice 5SS: [ 380 1644]
SMsplice 3SS: [ 444 1721]
top_k =  500
Partition function (log Z): 1.070937731344342

Sorted 5' Splice Sites (High to Low Probability):
Position 1644: 0.9982567692457421
Position 380: 0.9982191799702698
Position 2809: 0.168193234650562
Position 2511: 0.15022039972776383
Position 2289: 0.13001407691324304
Position 2650: 0.044801587525208734
Position 1300: 0.04400724154024997
Position 2031: 0.031843176070325226
Position 2411: 0.01702663485415255
Position 2882: 0.01506883842272976
Position 1269: 0.011686438079318054
Position 2665: 0.010908402352771025
Position 2024: 0.010885688124511524
Position 496: 0.00718488574572839
Position 2849: 0.004317962133405646
Position 651: 0.003212232174234897
Position 582: 0.0029594335649023485
Position 3287: 0.0025345037488683766
Position 2533: 0.002411173233315284
Position 861: 0.0023163269869886202
Position 2073: 0.0020925647297391986
Position 3390: 0.0020644330228556432
Position 3069: 0.0019993904219553537
Position 1996: 0.0017206238654003294
Position 1819: 0.0012768534765105265
Position 1360: 0.0011490805868358909
Position 2597: 0.0010723701859156956
Position 2484: 0.0010183883555210202
Position 1290: 0.0009774451639923637
Position 1504: 0.0009685720020288125
Position 3273: 0.0008391822266549042
Position 1847: 0.0007574473914709825
Position 1249: 0.000650110820497738
Position 2994: 0.0006396749978648504
Position 796: 0.0006155052175085134
Position 384: 0.0005781883516854827
Position 2029: 0.0005300567895036903
Position 2016: 0.0004935480450425924
Position 3254: 0.00040883736475899997
Position 600: 0.0003879197171310028
Position 1003: 0.0003506036266674335
Position 3381: 0.0003440366528575826
Position 1257: 0.0002545676782030875
Position 3277: 0.0002545342319895187
Position 1648: 0.00024799290796886263
Position 2620: 0.0002479050796577422
Position 1458: 0.0002425708379482679
Position 1605: 0.00017212746858486717
Position 3098: 0.00017142620715770117
Position 180: 0.0001571272328538544
Position 772: 0.00015037238478535794
Position 1137: 0.00012615163008527656
Position 343: 0.00012603483216757594
Position 570: 0.00010432208666738294
Position 240: 9.20428849986085e-05
Position 575: 6.728733383859081e-05
Position 976: 6.11611291297065e-05
Position 141: 5.654703132698301e-05
Position 672: 5.63354867249766e-05
Position 3270: 5.027238832784941e-05
Position 1942: 3.836978014222586e-05
Position 1295: 3.433119871160394e-05
Position 553: 3.073501573485199e-05
Position 223: 2.9490389137560148e-05
Position 1434: 2.3227862563779578e-05
Position 208: 2.091647066890891e-05
Position 210: 1.7045839390757412e-05
Position 1179: 1.5065245074680656e-05
Position 1078: 1.3012792626337176e-05
Position 2018: 1.270196460616094e-05
Position 560: 1.1947063919477519e-05
Position 2297: 9.352687706963256e-06
Position 1679: 8.602750208924693e-06
Position 290: 8.095001186334352e-06
Position 50: 7.2063992553255636e-06
Position 282: 6.585373451043522e-06
Position 1838: 6.377061411925481e-06
Position 293: 5.6977419563374925e-06
Position 1786: 5.5461776863859464e-06
Position 467: 5.469944379331822e-06
Position 165: 5.188613480815119e-06
Position 479: 5.076687005909684e-06
Position 465: 4.964064564197263e-06
Position 22: 4.959906173017236e-06
Position 2843: 4.938614121352706e-06
Position 189: 4.584609188078196e-06
Position 1171: 4.351510064115297e-06
Position 375: 3.7715266645351613e-06
Position 1759: 3.733398340666122e-06
Position 2087: 3.583124632219341e-06
Position 72: 2.8712337113890445e-06
Position 1959: 1.9435872762410058e-06
Position 270: 1.845780773343507e-06
Position 355: 1.8396242558652007e-06
Position 1875: 1.4506374428847164e-06
Position 1565: 1.3969839148402332e-06
Position 150: 1.3855789755777038e-06
Position 35: 4.198086377884314e-07
Position 59: 3.9339288990989444e-07
Position 940: 2.517666767996074e-07
Position 1623: 1.1759841782314119e-07
Position 77: 1.0695108326098301e-07
Position 724: 1.0210480169246061e-07
Position 314: 9.657211241273193e-08
Position 848: 7.632530509910704e-08
Position 319: 5.236345077636154e-08
Position 1569: 4.09439620255634e-08
Position 2276: 4.070445539112187e-08
Position 516: 3.54833741795227e-08
Position 1538: 3.376223917615669e-08
