Gene = Su(P)
index = 1530
Annotated 5SS: [ 837 1308]
Annotated 3SS: [ 900 1369]
SMsplice 5SS: [ 837 1308]
SMsplice 3SS: [ 900 1369]
top_k =  500
Partition function (log Z): -2.4670751255640497

Sorted 5' Splice Sites (High to Low Probability):
Position 837: 0.9767886484470717
Position 1308: 0.9675738361723193
Position 592: 0.21282974965906012
Position 496: 0.05422459711333261
Position 1317: 0.017032434939930924
Position 601: 0.016450916384772106
Position 446: 0.013595516493910512
Position 583: 0.00731068294355514
Position 579: 0.0022894321350442432
Position 1147: 0.001973967498092968
Position 403: 0.0012716870264181154
Position 640: 0.001225387904381295
Position 152: 0.0009662925487827921
Position 441: 0.0005693166048060626
Position 856: 0.0005565897610942332
Position 841: 0.00044618120554158633
Position 1138: 0.00042906646941319053
Position 55: 0.00038800320032611116
Position 289: 0.00030175720798613726
Position 30: 0.0002614336145358603
Position 1433: 0.00022243403639795822
Position 1021: 0.00020911548793063053
Position 631: 0.00017442326611181782
Position 223: 0.0001603728091614075
Position 457: 0.00015367639998570767
Position 817: 9.380635185467367e-05
Position 124: 8.455262381692658e-05
Position 1269: 6.260855603684749e-05
Position 544: 5.997858772605555e-05
Position 913: 5.90795301838017e-05
Position 1084: 5.9051419157281456e-05
Position 535: 5.2612723179328735e-05
Position 851: 3.839126437104999e-05
Position 1061: 3.518757295637688e-05
Position 792: 3.3771259408326355e-05
Position 1133: 3.286739336495545e-05
Position 1068: 2.8835216545299634e-05
Position 576: 2.505317730424164e-05
Position 210: 2.5050053530048367e-05
Position 73: 2.333621490149534e-05
Position 468: 2.2555005052228804e-05
Position 310: 2.2510335155468912e-05
Position 1221: 2.1840571508213117e-05
Position 1071: 1.943300160554209e-05
Position 424: 1.8053231661334015e-05
Position 312: 1.679398987158917e-05
Position 889: 1.6376993648340763e-05
Position 538: 1.5008034612788619e-05
Position 477: 1.470337870276477e-05
Position 650: 1.2031080673931938e-05
Position 217: 1.1661504075680204e-05
Position 1287: 1.129315763733488e-05
Position 1028: 1.1075900533994996e-05
Position 1000: 9.873756354066677e-06
Position 61: 8.934987577678936e-06
Position 321: 8.267589256466398e-06
Position 330: 8.239097507700919e-06
Position 553: 8.115339904321763e-06
Position 1238: 7.536771463859437e-06
Position 941: 7.448129468131211e-06
Position 479: 5.059260425324118e-06
Position 1276: 4.993473205232754e-06
Position 462: 4.651623052517689e-06
Position 16: 4.144211183515267e-06
Position 1003: 3.1115460842967835e-06
Position 1267: 3.0868225445311543e-06
Position 1247: 3.0578283964641997e-06
Position 717: 2.8164520830763465e-06
Position 8: 2.054947287001711e-06
Position 89: 1.8524546585070228e-06
Position 488: 1.6012435900594896e-06
Position 1412: 1.4708517641895102e-06
Position 274: 4.969444268988413e-07
Position 168: 4.5357222604769365e-07
Position 1370: 4.3231165635733616e-07
Position 963: 4.084346027992052e-07
Position 1113: 3.310687575052643e-07
Position 1335: 3.29404747685972e-07
Position 1330: 1.8958428273043008e-07
Position 1395: 1.6038118064327364e-07
Position 982: 1.402605319632641e-07
Position 1419: 1.4016598749821445e-07
Position 1165: 1.1545933941949343e-07
Position 1399: 2.6571420528536716e-08
Position 102: 7.256012745616145e-09
Position 128: 1.9525016935726393e-09
Position 84: 7.018576607545872e-10
Position 112: 2.2457446381470345e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1369: 0.9873154627003833
Position 900: 0.9565597922742367
Position 670: 0.23346459135398376
Position 684: 0.050531358750149684
Position 564: 0.021315931499388333
Position 970: 0.017449213474489293
Position 495: 0.004060866163844606
Position 1216: 0.0014074091292306538
Position 913: 0.0012966659655423032
Position 1094: 0.0012778815352439171
Position 618: 0.000547958386618727
Position 468: 0.00041414894266679047
Position 887: 0.0003850448337770136
Position 1125: 0.0003422288224770453
Position 615: 0.0002531820430441421
Position 1491: 0.00023254382619546717
Position 100: 0.00020247519670807293
Position 544: 0.00019453401042291243
Position 121: 0.00015478709233061416
Position 921: 0.00013680396765744642
Position 1392: 0.00012906915451307437
Position 690: 0.00010936047956660059
Position 1013: 8.879219635436106e-05
Position 474: 8.587665924774441e-05
Position 1165: 6.770834578287634e-05
Position 1257: 6.766215349681175e-05
Position 717: 5.959809430266307e-05
Position 210: 5.034587164035415e-05
Position 636: 3.819931581887174e-05
Position 989: 3.456221434556069e-05
Position 292: 2.6880075834839243e-05
Position 933: 2.525908896756625e-05
Position 1137: 1.8988312332508223e-05
Position 142: 1.8003733551082185e-05
Position 1188: 1.0478003945474525e-05
Position 762: 9.419302267807181e-06
Position 918: 9.373918898156975e-06
Position 274: 7.94793988704062e-06
Position 1221: 5.377668936465844e-06
Position 591: 5.042293305153685e-06
Position 588: 4.9181484660148695e-06
Position 1099: 2.265766969578723e-06
Position 327: 2.125058421582829e-06
Position 337: 1.9120025735685183e-06
Position 1048: 1.6729831304322277e-06
Position 1407: 1.5867035340220473e-06
Position 267: 1.4933976244594927e-06
Position 650: 1.2220665353658951e-06
Position 220: 1.1171627424943306e-06
Position 813: 1.041645414344086e-06
Position 759: 9.364519414222585e-07
Position 435: 6.953650132665074e-07
Position 1456: 2.5509747616168075e-07
Position 355: 2.5504675407327955e-07
Position 1419: 1.637801348282427e-07
Position 363: 8.917272596764693e-08
Position 242: 8.69038088583419e-09
Position 55: 1.3735200455641261e-09
Position 146: 1.1971230899685992e-09
Position 61: 1.1636323748663346e-09
Position 366: 3.7831685609022197e-10
Position 403: 2.266298460668871e-10
Position 372: 2.204938558371442e-10
Position 246: 1.4476351022577598e-11
Position 344: 1.1206158091700754e-11
