Gene = Sfp26Ad
index = 1490
Annotated 5SS: [102]
Annotated 3SS: [171]
SMsplice 5SS: [102]
SMsplice 3SS: [171]
top_k =  500
Partition function (log Z): -4.921573998707147

Sorted 5' Splice Sites (High to Low Probability):
Position 102: 0.9035986231447869
Position 106: 0.046149000309028056
Position 67: 0.031988749528830455
Position 64: 0.009451646247260352
Position 351: 0.008529534833955235
Position 99: 0.008278761801811649
Position 297: 0.0026076163767460667
Position 441: 0.000885136227716573
Position 306: 0.0004065507970506935
Position 423: 0.0002855179353745991
Position 409: 0.00016642803391492538
Position 36: 0.0001351372409684601
Position 147: 0.00012607637028909494
Position 26: 9.0496007753689e-05
Position 487: 8.563389077960546e-05
Position 585: 7.318315336606207e-05
Position 301: 6.792908411900256e-05
Position 427: 5.200113871902097e-05
Position 283: 3.419130617529444e-05
Position 406: 3.2660233023989274e-05
Position 335: 3.0877563800257324e-05
Position 490: 2.9623708961905083e-05
Position 6: 1.759666640160841e-05
Position 361: 1.6575706080586075e-05
Position 617: 1.5730753819466324e-05
Position 126: 1.202645664432471e-05
Position 494: 8.500896650956708e-06
Position 28: 6.376234517857125e-06
Position 492: 3.5963589978409396e-07
Position 621: 3.3103203672630634e-07
Position 614: 1.1225932711099203e-07
Position 210: 3.7895902232810953e-10
Position 189: 3.725044942512762e-12
Position 207: 1.8517141223884825e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 171: 0.9964633240157376
Position 490: 0.005433500675043486
Position 151: 0.0019918528626674528
Position 423: 0.0017194937209846816
Position 438: 0.0013067297513170706
Position 626: 0.0012737476949352348
Position 215: 0.0011080634438600653
Position 380: 0.0008150541104946979
Position 621: 0.0007938621425076876
Position 414: 0.0006187680141667235
Position 351: 0.000506946705456674
Position 669: 0.00042011546323851177
Position 503: 0.00018977279658528078
Position 453: 0.00013861816441980903
Position 651: 0.00011228337932114815
Position 189: 9.867045091565706e-05
Position 464: 4.273963314686607e-05
Position 221: 2.90003244253296e-05
Position 554: 2.7326817300234095e-05
Position 218: 2.4901329336955847e-05
Position 355: 2.2228032918113027e-05
Position 537: 1.9038161574365083e-05
Position 512: 9.687794093333872e-06
Position 323: 5.700997314409605e-06
Position 281: 5.054965943313711e-06
Position 562: 4.80018971379818e-06
Position 116: 9.589752149418864e-07
Position 514: 4.1998059423835816e-07
Position 335: 3.2084219945362467e-07
Position 274: 1.6734130322285364e-09
Position 106: 1.0264258716820051e-09
Position 230: 8.180174833087968e-10
Position 57: 3.834108430228596e-12
Position 49: 3.1631945901360653e-12
Position 64: 5.309055786784338e-14
Position 71: 1.234146492218279e-14
Position 283: 9.082590611911129e-18
