Gene = l(2)SH0834
index = 1746
Annotated 5SS: [201]
Annotated 3SS: [314]
SMsplice 5SS: [201]
SMsplice 3SS: [314]
top_k =  500
Partition function (log Z): -3.8799972708845654

Sorted 5' Splice Sites (High to Low Probability):
Position 201: 0.7714325818437571
Position 245: 0.10674679750420446
Position 220: 0.08135682148811882
Position 234: 0.019824195252048524
Position 259: 0.010868724357265722
Position 651: 0.010635722557561964
Position 181: 0.008513288030704875
Position 681: 0.005273892593211382
Position 418: 0.004363172385761478
Position 790: 0.003711647079685725
Position 698: 0.003360555060781226
Position 353: 0.0022036702748307936
Position 643: 0.0015203779602664424
Position 598: 0.0014834635818619698
Position 446: 0.0014184830574837284
Position 676: 0.0012180030763098756
Position 761: 0.0010657307628040161
Position 921: 0.0005277116569010721
Position 707: 0.0005015213084555937
Position 232: 0.0004883488872125663
Position 926: 0.00038757991902809477
Position 175: 0.0002853647645839306
Position 607: 0.0002615769282945293
Position 955: 0.0002484572722489728
Position 20: 0.00023100813095386634
Position 530: 0.00018916354974636562
Position 48: 0.00017907846665463678
Position 8: 0.00016637078645875345
Position 670: 0.00010426128930554669
Position 378: 0.00010148571712390679
Position 136: 9.799633334816415e-05
Position 711: 9.366223654569929e-05
Position 318: 7.408137735269852e-05
Position 704: 4.029333320620314e-05
Position 271: 3.2869585749132026e-05
Position 504: 3.270059600729342e-05
Position 936: 2.004203019722113e-05
Position 702: 1.929700941473478e-05
Position 29: 1.1852995120701466e-05
Position 792: 9.579525679239046e-06
Position 31: 9.558347556431564e-06
Position 777: 8.380803537413036e-06
Position 269: 4.865915624884164e-06
Position 506: 4.687548332756145e-06
Position 862: 2.6170579592772656e-06
Position 830: 1.5783312150202335e-06
Position 293: 5.172226930901908e-09
Position 88: 3.8448545889548656e-09
Position 518: 1.0409161486674448e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 314: 0.9900481137181546
Position 539: 0.015393606737346117
Position 741: 0.012384109320114637
Position 852: 0.009518065492908848
Position 787: 0.00465746747965993
Position 716: 0.0025354075864923425
Position 670: 0.0010572583558732579
Position 988: 0.0008739829889301401
Position 858: 0.0007155844491740003
Position 556: 0.00043338073309564666
Position 1015: 0.0003740311685468077
Position 826: 0.0002473857190212955
Position 902: 0.00018900834823721319
Position 88: 0.00017833740337484824
Position 830: 0.00013357246264790844
Position 68: 0.00010132093514164518
Position 65: 8.099630539429252e-05
Position 504: 6.189596669600458e-05
Position 352: 3.537299891536428e-05
Position 806: 1.9972418715514343e-05
Position 59: 1.5229178994278244e-05
Position 630: 1.463151983555788e-05
Position 117: 1.3779702142064935e-05
Position 392: 1.124511704933779e-05
Position 720: 7.000928147022142e-06
Position 995: 6.583834021430867e-06
Position 411: 5.631084487199948e-06
Position 375: 4.415833509255547e-06
Position 439: 3.5443651948867533e-06
Position 444: 3.1758047737746095e-06
Position 810: 2.749413555607399e-06
Position 585: 2.4694478488707142e-06
Position 229: 1.7865891032855426e-06
Position 569: 1.7069590015820533e-06
Position 121: 1.100414086964612e-07
Position 187: 1.0562585295258478e-07
Position 165: 2.8665777632510576e-08
Position 168: 2.7301818294439773e-08
Position 142: 2.11508251172474e-08
Position 134: 1.2043498353813092e-08
Position 446: 1.863710916131813e-09
Position 358: 5.389667117842309e-10
