Gene = tut
index = 1921
Annotated 5SS: [186 431]
Annotated 3SS: [251 485]
SMsplice 5SS: [186 431]
SMsplice 3SS: [251 485]
top_k =  500
Partition function (log Z): -1.518636475300326

Sorted 5' Splice Sites (High to Low Probability):
Position 186: 0.9990737825144939
Position 431: 0.7641193945522646
Position 968: 0.10205107039045677
Position 442: 0.029243072247350725
Position 435: 0.004475286429161107
Position 826: 0.003916778026292788
Position 902: 0.002211093406267041
Position 972: 0.0006089962332107933
Position 746: 0.0003360086948453835
Position 325: 0.0003319428735237674
Position 803: 0.00031384509607674475
Position 721: 0.0003076953604727927
Position 597: 0.000272970536641633
Position 985: 0.00014048633152497267
Position 595: 0.00012613092868547177
Position 197: 0.00010714278130371499
Position 402: 6.907463046883389e-05
Position 192: 6.550396644264561e-05
Position 955: 5.710864700300478e-05
Position 568: 5.002228224921791e-05
Position 330: 4.914693076152068e-05
Position 959: 3.098520770034844e-05
Position 895: 2.7341545049395393e-05
Position 105: 2.3439697100051725e-05
Position 1025: 1.5045097031925091e-05
Position 35: 1.4221746941033415e-05
Position 950: 1.337404872755597e-05
Position 918: 1.020444289225818e-05
Position 892: 9.156125256914736e-06
Position 609: 7.4384098675027455e-06
Position 1008: 6.492715825949749e-06
Position 190: 6.20572685868163e-06
Position 296: 3.0531137257430285e-06
Position 879: 3.0378679647784034e-06
Position 648: 1.2958797215020152e-06
Position 44: 7.839964802504973e-07
Position 138: 4.772255674748793e-07
Position 218: 4.070959359808168e-07
Position 634: 3.866975272678921e-07
Position 526: 3.5037182638985585e-07
Position 283: 2.8345937610617435e-07
Position 681: 2.7825698283858296e-07
Position 556: 2.73411456568293e-07
Position 33: 7.917289237459156e-08
Position 303: 6.788265818806398e-08
Position 42: 3.0457661721323274e-08
Position 265: 1.4256935198634201e-08
Position 640: 8.055440308518911e-09
Position 209: 7.589078001128153e-09
Position 516: 5.859559462670387e-09
Position 286: 5.6779380160359125e-09
Position 238: 4.7205356091407666e-09
Position 309: 3.552159737074137e-09
Position 768: 1.3967430886859524e-09
Position 263: 1.3000493978883767e-09
Position 100: 1.297774101889252e-09
Position 576: 4.980257167250719e-10
Position 663: 3.8610748688794445e-10
Position 254: 2.3114795730452497e-10
Position 485: 6.65835255665564e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 251: 0.997432027576057
Position 485: 0.5676653442142835
Position 507: 0.22190111548610197
Position 1079: 0.07218060899858582
Position 1034: 0.03147019344869613
Position 524: 0.006116265951639016
Position 1146: 0.001721002341761355
Position 658: 0.0013848796092801221
Position 1116: 0.001379226244164534
Position 1067: 0.001106578130842558
Position 1008: 0.0010422610524052323
Position 584: 0.0010217116116672956
Position 283: 0.000627410998545041
Position 1042: 0.0004464132431968273
Position 1091: 0.00042276144496744246
Position 879: 0.0003985618495258885
Position 860: 0.00037466180522127896
Position 464: 0.00032546570528748883
Position 571: 0.00029697552254787253
Position 681: 0.00013545791127629202
Position 940: 0.00010666326345722455
Position 274: 8.603993429973896e-05
Position 737: 7.105113033156175e-05
Position 707: 6.488242189713148e-05
Position 717: 5.1906930450083735e-05
Position 902: 4.9164656762825655e-05
Position 1051: 4.095558807829096e-05
Position 350: 3.949564262289867e-05
Position 794: 3.1907874009409705e-05
Position 975: 3.145459304828074e-05
Position 780: 1.59639051523707e-05
Position 826: 1.2541430888400609e-05
Position 892: 1.0634670772739858e-05
Position 100: 9.127872928670272e-06
Position 663: 9.118550066435409e-06
Position 552: 8.30341440955428e-06
Position 830: 3.7294917780301286e-06
Position 867: 3.424294744280649e-06
Position 83: 2.055610796590738e-06
Position 138: 1.6884352306705648e-06
Position 800: 1.085426724849973e-06
Position 105: 3.780422864983263e-07
Position 413: 2.097620548907832e-07
Position 603: 1.690362312085834e-07
Position 648: 1.1492235319086258e-07
Position 640: 1.0464759378136382e-07
Position 595: 7.65335056815189e-08
Position 316: 5.072777431053733e-08
Position 309: 4.1279598639119096e-08
Position 179: 2.6540500152215317e-08
Position 330: 2.165230245652915e-08
Position 431: 2.962554270204223e-09
Position 218: 1.082661290993954e-09
Position 606: 6.081277609826148e-10
Position 615: 3.47157523823914e-10
Position 725: 3.3064207610364014e-10
Position 209: 2.1129160324837122e-10
Position 85: 1.5953926556485073e-10
Position 197: 1.0312343472626113e-10
Position 173: 6.170935338138251e-11
Position 185: 2.6648476585429778e-11
Position 202: 1.2220000836913778e-11
Position 227: 3.056348461329247e-13
Position 190: 2.7622874552895967e-16
