Gene = GC
index = 1175
Annotated 5SS: [ 303 4227 4632]
Annotated 3SS: [3622 4284 4703]
SMsplice 5SS: [ 303 4632]
SMsplice 3SS: [3622 4703]
top_k =  500
Partition function (log Z): -3.7974971189914277

Sorted 5' Splice Sites (High to Low Probability):
Position 4632: 0.9965192236302675
Position 303: 0.5533926421733477
Position 4186: 0.18342325064460427
Position 225: 0.17270558590526736
Position 702: 0.1689919543410964
Position 57: 0.1208811507740137
Position 4227: 0.10939837044952005
Position 3742: 0.061592813304323576
Position 366: 0.028311987729426905
Position 4128: 0.0174443556527327
Position 1766: 0.014453005109653817
Position 4218: 0.011846249655631068
Position 1447: 0.011462054623447399
Position 204: 0.011217233627376054
Position 1459: 0.009989584681327466
Position 253: 0.009916559642521978
Position 930: 0.009847135496078664
Position 3425: 0.00980213938848702
Position 378: 0.005885832812710664
Position 337: 0.005420436312919014
Position 1598: 0.004720608387556859
Position 5113: 0.003954326958060523
Position 3958: 0.00330959182321387
Position 127: 0.0032854430054996696
Position 2042: 0.0032647157674519757
Position 170: 0.002889549620999119
Position 490: 0.0028099747802553562
Position 2402: 0.0024281645366657015
Position 257: 0.0023794960774376553
Position 3717: 0.002327377221602098
Position 1589: 0.0021938405194433393
Position 2944: 0.001620560564864185
Position 219: 0.0013649563036853443
Position 4948: 0.0013197519995092595
Position 342: 0.0012815709112219155
Position 5083: 0.0012281453832641734
Position 1209: 0.0010772798061029776
Position 566: 0.00105243962658178
Position 1829: 0.0010083537208117129
Position 5104: 0.0009578792417806783
Position 307: 0.0008877459455137967
Position 4625: 0.0006885486767330079
Position 319: 0.0006680037791954468
Position 614: 0.0006512370577133348
Position 575: 0.0005417570690555278
Position 172: 0.0003697991852475386
Position 965: 0.0003344218561863204
Position 369: 0.00032849554239037756
Position 1629: 0.0003245237920879898
Position 4621: 0.00030571540213369984
Position 952: 0.0002979727386562943
Position 774: 0.00026561886407538667
Position 836: 0.0002566091318956479
Position 5771: 0.00022711484533140022
Position 5009: 0.00017360442285842511
Position 5653: 0.00016574551449086643
Position 328: 0.00015551480128631507
Position 4472: 0.00010999583004508173
Position 5828: 0.00010456923700034746
Position 5065: 8.200010108069344e-05
Position 750: 7.028974478872445e-05
Position 1271: 6.131881970568405e-05
Position 5819: 4.8018740741132075e-05
Position 5737: 3.721587927128784e-05
Position 934: 3.370416772847965e-05
Position 5921: 3.355605627631841e-05
Position 608: 3.256706423107575e-05
Position 5853: 2.860373692989477e-05
Position 4973: 2.4778519700746497e-05
Position 957: 2.3619839833211325e-05
Position 606: 1.9314425709950464e-05
Position 498: 1.5755203321025066e-05
Position 262: 1.0676377251523554e-05
Position 916: 1.0299376227240374e-05
Position 5342: 9.420328974286961e-06
Position 551: 9.330842336271647e-06
Position 4386: 9.099588769725586e-06
Position 4378: 9.026353993624146e-06
Position 1213: 7.661852907197403e-06
Position 107: 7.190580442306845e-06
Position 1181: 5.271556017560286e-06
Position 397: 3.0593182015404086e-06
Position 1078: 1.8220594835157518e-06
Position 3941: 1.0251975181268542e-06
Position 63: 4.1410730583001935e-07
Position 93: 1.4696100102152006e-07
Position 771: 8.932291594639854e-08
Position 817: 6.483513468620639e-08
Position 4: 4.0801100257412705e-08
Position 49: 4.0333091921147444e-08
Position 533: 3.0721138750840245e-08
Position 86: 2.0730043366458073e-08
Position 15: 8.991280385319514e-09
Position 310: 5.831098015620679e-09
Position 5523: 5.3870537423526675e-09
Position 3720: 1.6976872641439842e-09
Position 3963: 1.6657406761038958e-09
Position 17: 1.5672950170184164e-09
Position 5033: 1.3886014903566802e-09
Position 41: 4.616493454024179e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 4703: 0.9960414695118783
Position 3622: 0.8049583848417988
Position 4284: 0.27345106569174965
Position 4360: 0.2331632358165072
Position 4385: 0.06601299576140582
Position 442: 0.05288052373625973
Position 397: 0.024944231544333072
Position 674: 0.024462338706635035
Position 466: 0.015078062025476475
Position 1346: 0.012712748199198758
Position 1003: 0.008573962845251554
Position 361: 0.005539121889491435
Position 5209: 0.005203473350686722
Position 3931: 0.004840986399323735
Position 3009: 0.003821210576725198
Position 2812: 0.0029267991726252378
Position 4749: 0.0023658844497663465
Position 1378: 0.0023094016418566034
Position 522: 0.002173297401400976
Position 410: 0.0019540008497165437
Position 551: 0.0016910367726386012
Position 4296: 0.0015518928450024344
Position 3348: 0.0015231228760243325
Position 3046: 0.0014617156757246248
Position 2526: 0.0011869870984566667
Position 1663: 0.0011116486293808083
Position 3796: 0.0009405019381250033
Position 3077: 0.0008856069111898014
Position 5008: 0.0008714664108912694
Position 5767: 0.0006661691009784954
Position 3910: 0.0006539472922196747
Position 4996: 0.0005736519534528498
Position 369: 0.0004913961800245395
Position 159: 0.000467587671127658
Position 3562: 0.0004621240036234668
Position 378: 0.00045757084605543965
Position 1264: 0.0004567468423865622
Position 5825: 0.0004520453698095578
Position 3860: 0.0004336259189661863
Position 1207: 0.00040916703336678036
Position 490: 0.00039824794253855926
Position 2803: 0.0003721793408026184
Position 1402: 0.00036350997877040157
Position 3848: 0.0003121600608967017
Position 3830: 0.00029491214933247654
Position 5455: 0.00026324847355288245
Position 1642: 0.00023834948034558322
Position 5890: 0.00021486634200103264
Position 3596: 0.00017947170489598997
Position 1297: 0.00017667205923512007
Position 3868: 0.00017428467081525466
Position 6062: 0.00016249859683647663
Position 262: 0.00015223950285254514
Position 1282: 0.00013734264559647983
Position 211: 0.00011741402270728509
Position 5507: 0.0001143954583133508
Position 1316: 0.00011398374216073313
Position 120: 8.39951182247024e-05
Position 5912: 7.698818996176767e-05
Position 198: 7.209032293861919e-05
Position 1954: 5.458253906943754e-05
Position 5143: 3.953974443274173e-05
Position 5617: 3.54705474777158e-05
Position 5674: 3.200089895474736e-05
Position 4733: 3.003176305570043e-05
Position 4848: 1.4945490019591588e-05
Position 4921: 1.3264289743377457e-05
Position 4792: 1.0523455217603044e-05
Position 1405: 3.489568699764674e-06
Position 337: 2.2437168181121214e-06
Position 303: 1.7219107608939133e-06
Position 771: 1.4387173244860466e-06
Position 734: 1.4174168315824166e-06
Position 342: 1.3783666763507608e-06
Position 213: 1.2139938499684627e-06
Position 1029: 1.0657610287514308e-06
Position 676: 1.0636133581604137e-06
Position 310: 8.459813628859742e-07
Position 798: 7.614849138196584e-07
Position 706: 7.411152310768863e-07
Position 1231: 8.657414297270953e-08
Position 216: 4.562571018089034e-08
Position 474: 4.3571053776883525e-08
Position 56: 3.735545216554164e-08
Position 127: 2.502694604676509e-08
Position 229: 2.1782035248487485e-08
Position 307: 2.1467737886326395e-08
Position 219: 6.083126503476242e-09
Position 93: 2.7382109276441015e-09
Position 124: 2.526854661219125e-10
