Gene = Spn28Dc
index = 1515
Annotated 5SS: [779]
Annotated 3SS: [1649]
SMsplice 5SS: [779]
SMsplice 3SS: [1649]
top_k =  500
Partition function (log Z): -9.945187594417003

Sorted 5' Splice Sites (High to Low Probability):
Position 779: 0.7691521589732682
Position 454: 0.10349979815118038
Position 720: 0.0352230526970767
Position 108: 0.028148347423399462
Position 947: 0.022505676645049384
Position 1580: 0.021190271555669115
Position 1346: 0.016546585950574545
Position 1177: 0.01138009630603557
Position 884: 0.010564167558691053
Position 1039: 0.00978585175112596
Position 1181: 0.009712624945343029
Position 1350: 0.009521872953219055
Position 1173: 0.007980838886965998
Position 1231: 0.006951902405299576
Position 960: 0.0041016589290712654
Position 409: 0.00263356244081124
Position 333: 0.0017826335472154373
Position 923: 0.0016799496318124858
Position 252: 0.0014131205581180272
Position 835: 0.0013125963563000887
Position 1021: 0.001284889115038321
Position 30: 0.001251840094861626
Position 1114: 0.0007548789870874017
Position 709: 0.0004174977139206379
Position 276: 0.00037193694946188846
Position 411: 0.0002505365947455002
Position 587: 0.0002202829478150328
Position 1502: 0.00021242365025805817
Position 1946: 0.00017259497356585443
Position 967: 0.00016159817658509108
Position 846: 0.0001324032294442111
Position 1192: 0.0001240862252340552
Position 39: 0.00010794582544617276
Position 1024: 0.0001064132168177192
Position 1338: 8.346930562460984e-05
Position 486: 6.831806596746907e-05
Position 117: 6.654830032236902e-05
Position 1260: 5.3594049534186617e-05
Position 549: 5.1446928059448154e-05
Position 529: 1.9945989355513408e-05
Position 523: 6.759160883706593e-06
Position 124: 6.206052254628033e-06
Position 375: 6.124360435184655e-06
Position 308: 2.1619524942731055e-06
Position 539: 2.0658487088438077e-06
Position 142: 8.997793043035512e-07
Position 894: 8.05234224164618e-07
Position 112: 5.834399749365865e-07
Position 542: 3.4837109366014596e-07
Position 569: 2.9242680893931903e-07
Position 1010: 2.8812434187638543e-07
Position 48: 2.625072066926148e-07
Position 119: 2.271635495839725e-07
Position 740: 7.389911229792839e-10
Position 41: 6.531187884573698e-10
Position 43: 5.724507488715327e-10
Position 80: 8.601186680568115e-11
Position 34: 1.2303180899443277e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1649: 0.6870338669129695
Position 1456: 0.14577829056900984
Position 1513: 0.07431661782900684
Position 778: 0.029507187561389835
Position 1547: 0.027189900355894758
Position 1103: 0.025534970097776732
Position 521: 0.020269510281865567
Position 1686: 0.0112951751356886
Position 574: 0.009397054476908735
Position 1145: 0.0077153147470213415
Position 1598: 0.006779411355926858
Position 1502: 0.006730142615340773
Position 1337: 0.0037780923484935242
Position 1328: 0.002962168535249015
Position 1836: 0.0020445591615644732
Position 959: 0.0018411390522416798
Position 605: 0.0017734796107038689
Position 1479: 0.0016253313726037582
Position 1059: 0.001600563786337562
Position 1263: 0.0015029417633378678
Position 529: 0.001254418810469666
Position 1001: 0.0010911309589416067
Position 825: 0.0008226084413798812
Position 1797: 0.000700482142848073
Position 1231: 0.0006469453904001736
Position 947: 0.0005621405325210672
Position 1749: 0.0005420811827566516
Position 2232: 0.0005158512123424441
Position 587: 0.0004897537879644038
Position 1861: 0.00044116272360846524
Position 194: 0.0004344601060072397
Position 1008: 0.00042956478516717326
Position 973: 0.0004163620381146035
Position 2006: 0.0003754120036156822
Position 1521: 0.00034656159699485205
Position 464: 0.0003344367724303553
Position 2222: 0.00032943315337494855
Position 2037: 0.00026852527042321153
Position 1692: 0.00025204318527088584
Position 1197: 0.00023842782896730337
Position 749: 0.00023574751822630995
Position 1308: 0.00016794518007083145
Position 1244: 0.0001620362629660194
Position 907: 0.0001619345274845358
Position 870: 0.00014350244771714352
Position 1784: 0.00013179253371530225
Position 642: 0.0001132770443578156
Position 154: 0.00011316325455491428
Position 1349: 8.267224641577256e-05
Position 2613: 8.201090914494751e-05
Position 673: 7.174471810308472e-05
Position 625: 6.867594824664711e-05
Position 617: 6.38118104268698e-05
Position 1151: 6.162818010320888e-05
Position 1385: 5.437574112942556e-05
Position 409: 4.568087782691636e-05
Position 1423: 4.037796220512168e-05
Position 2617: 2.7763189836047386e-05
Position 536: 2.2336072840371993e-05
Position 629: 3.705972643513715e-06
Position 440: 1.3738106935132889e-06
Position 296: 1.1816365501893922e-06
Position 218: 7.753196167898508e-07
Position 951: 7.638493704357989e-07
Position 206: 2.0658770670713825e-07
Position 701: 1.580504479035893e-07
Position 215: 1.0760964572629599e-07
Position 539: 4.107407039078284e-08
Position 227: 3.736710836823324e-08
Position 1035: 3.71682345708357e-08
Position 791: 3.2546357156837246e-08
Position 112: 2.0654249655440035e-08
Position 883: 6.396050145460001e-09
Position 224: 3.1052414787307164e-10
Position 236: 2.0577915567131559e-10
