Gene = ND-SGDH
index = 1305
Annotated 5SS: [268 569 747]
Annotated 3SS: [338 639 805]
SMsplice 5SS: [268 569 747]
SMsplice 3SS: [338 639 805]
top_k =  500
Partition function (log Z): 4.904350118069638

Sorted 5' Splice Sites (High to Low Probability):
Position 569: 0.9920691491986232
Position 747: 0.9874517150677057
Position 268: 0.9870185632149908
Position 559: 0.001772558147942862
Position 952: 0.0012393391021209641
Position 415: 0.0010418989947897307
Position 449: 0.0010402164808140661
Position 1002: 0.0008085564502308897
Position 294: 0.0006324826364518428
Position 101: 0.0005773155801544125
Position 610: 0.0003185119892802837
Position 109: 0.00018351335469333655
Position 974: 0.00016746835731020534
Position 424: 0.00013862390478065208
Position 90: 0.0001027287365310177
Position 1004: 7.705795549263971e-05
Position 186: 7.677215414791148e-05
Position 990: 6.710173508589559e-05
Position 156: 5.5964398716844454e-05
Position 257: 4.284822014266914e-05
Position 887: 2.058944278898486e-05
Position 190: 1.2168012025316631e-05
Position 103: 1.0678816098169728e-05
Position 221: 1.0254715369116008e-05
Position 20: 9.550223204533688e-06
Position 782: 8.64062114371582e-06
Position 116: 4.838665060158539e-06
Position 822: 4.197457431495277e-06
Position 461: 1.4794039354082493e-06
Position 503: 6.969593483792738e-07
Position 199: 3.6150016088236714e-07
Position 879: 3.426173808459829e-07
Position 482: 1.9603788885632412e-07
Position 436: 1.7980718407759102e-07
Position 143: 1.333001904406354e-07
Position 769: 5.7831227732649816e-08
Position 240: 4.839884581307586e-08
Position 62: 3.1621980595600703e-08
Position 470: 3.010561329460237e-08
Position 985: 2.8356412247645757e-08
Position 836: 1.8613965858620996e-08
Position 826: 8.109405032403806e-09
Position 206: 2.0776101666260735e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 805: 0.998070540794869
Position 639: 0.9771575111564039
Position 338: 0.8783664941913465
Position 352: 0.09639380315821339
Position 415: 0.010407827387398857
Position 687: 0.006543395449506307
Position 470: 0.002451254400798181
Position 517: 0.0014079792561386064
Position 1061: 0.001215620668341794
Position 179: 0.0007585355254031833
Position 1081: 0.0006736171539742154
Position 360: 0.000648826591366402
Position 1064: 0.0003851874419317958
Position 400: 0.00017174413291578533
Position 1002: 0.00010409112210376929
Position 143: 8.399106282917067e-05
Position 857: 5.019221992314173e-05
Position 620: 3.683740003777887e-05
Position 815: 1.0050708136595363e-05
Position 82: 9.4712446698366e-06
Position 978: 7.770905695098258e-06
Position 723: 5.495594262204544e-06
Position 424: 1.5440828201327558e-06
Position 221: 1.0855920231319353e-06
Position 895: 8.306208034655968e-07
Position 196: 4.190465914843172e-07
Position 249: 3.907377280071639e-07
Position 606: 3.64378546359659e-07
Position 887: 2.8741535701087464e-07
Position 160: 2.589978277067929e-07
Position 741: 2.311913801395824e-07
Position 769: 2.2198047158078312e-07
Position 368: 2.0691889736529095e-07
Position 430: 2.0253125148261456e-07
Position 229: 1.7348400972815433e-07
Position 726: 1.2362814974189632e-07
Position 822: 6.772842028507999e-08
Position 736: 5.2611360649607695e-08
Position 535: 4.77536018677426e-08
Position 944: 3.474389356711307e-08
Position 833: 3.3210472611647e-08
Position 842: 2.6144683464625056e-08
Position 550: 1.9084334063712695e-08
Position 101: 1.2629553911469602e-08
Position 587: 1.021757977453201e-08
Position 559: 8.795102634013265e-09
Position 526: 7.672830647759596e-09
Position 565: 7.47387844829785e-09
Position 699: 5.8722122326275e-09
Position 568: 3.68412215720894e-09
Position 544: 5.247658994553072e-10
Position 251: 1.8549361154005487e-10
Position 272: 8.193731769651137e-19
