Gene = DCTN6-p27
index = 1121
Annotated 5SS: [94]
Annotated 3SS: [160]
SMsplice 5SS: [94]
SMsplice 3SS: [160]
top_k =  500
Partition function (log Z): -6.787983733913201

Sorted 5' Splice Sites (High to Low Probability):
Position 94: 0.990547289023532
Position 53: 0.005299316657263954
Position 43: 0.0022479605904416945
Position 274: 0.0018431484844936966
Position 109: 0.0015130876956994596
Position 498: 0.00094971789534101
Position 240: 0.0003780650911611555
Position 321: 0.0002952368069960441
Position 211: 0.00020747213746061827
Position 258: 0.00017449189412352149
Position 237: 5.749111703886127e-05
Position 227: 2.9133737163555414e-05
Position 462: 2.5497696055321576e-05
Position 490: 1.817189753642339e-05
Position 411: 1.783376388034345e-05
Position 495: 1.5956362350348624e-05
Position 455: 1.2057338270478897e-05
Position 235: 1.2046332874135709e-05
Position 523: 1.1458665069925362e-05
Position 250: 7.291803320496954e-06
Position 493: 3.0301520858541162e-06
Position 399: 2.4910008454665038e-06
Position 441: 6.690121894697979e-07
Position 348: 5.880865583367173e-07
Position 472: 5.720687995426592e-07
Position 480: 3.442658490706896e-07
Position 186: 3.3855949521673196e-07
Position 357: 2.7819963231479146e-07
Position 474: 2.2511403235219256e-07
Position 633: 2.161697322534858e-07
Position 183: 4.2189780721706015e-10
Position 390: 3.7736906699749776e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 160: 0.9432701783161901
Position 138: 0.051774444226599624
Position 179: 0.0037147652432579707
Position 399: 0.0016573152314926013
Position 566: 0.0011140312251766587
Position 324: 0.0009753930862520837
Position 93: 0.00027812864622626216
Position 103: 0.00019591822970783273
Position 306: 0.00017188326773745426
Position 487: 0.00011972557668954297
Position 561: 0.00011862947185544504
Position 273: 0.00011550544916404221
Position 338: 8.908800335825984e-05
Position 202: 1.8732703070921312e-05
Position 526: 1.5115360351051626e-05
Position 614: 1.2854343766948651e-05
Position 605: 1.002577387544063e-05
Position 575: 5.997322306236033e-06
Position 308: 4.623298090581913e-06
Position 596: 3.996947286224178e-06
Position 109: 3.1297023573620984e-06
Position 632: 6.003406678228799e-07
Position 515: 4.927370898586506e-07
Position 194: 4.0610273836130074e-07
Position 411: 2.812873079959022e-07
Position 683: 2.1616973225348585e-07
Position 197: 1.0571957264102119e-11
Position 250: 4.81005231086897e-12
Position 293: 1.1931126843094544e-12
Position 199: 3.6918749420163905e-15
