Gene = Est-Q
index = 1156
Annotated 5SS: [ 302  889 1695 1943]
Annotated 3SS: [ 744 1042 1751 2000]
SMsplice 5SS: [ 302  889 1695 1943]
SMsplice 3SS: [ 744 1042 1751 2000]
top_k =  500
Partition function (log Z): 3.314693087894401

Sorted 5' Splice Sites (High to Low Probability):
Position 1695: 0.9928846743713905
Position 1943: 0.9906964643885373
Position 889: 0.9217714936534985
Position 302: 0.843975015536827
Position 2467: 0.3596857230903292
Position 629: 0.14238544530795294
Position 623: 0.12902244025703047
Position 456: 0.057967388082116926
Position 1485: 0.01698676590241231
Position 2031: 0.011767466410810933
Position 874: 0.011111202228205823
Position 2465: 0.009582036620834306
Position 517: 0.008366511509061916
Position 505: 0.007323648408087542
Position 346: 0.006867945467862752
Position 1787: 0.006862516182499718
Position 1401: 0.005734021695772438
Position 320: 0.005686986719432416
Position 540: 0.005443389290865682
Position 167: 0.004217528933407573
Position 200: 0.002709263173497958
Position 39: 0.0021420064797159455
Position 614: 0.0017601181269249768
Position 870: 0.0016095619637743
Position 620: 0.001439485629031626
Position 811: 0.001400970370739882
Position 1821: 0.001385268927028807
Position 700: 0.0012980652841818852
Position 181: 0.001217525335780647
Position 1007: 0.0010461399670844054
Position 2278: 0.0010405831692555055
Position 566: 0.0006286029411833151
Position 294: 0.0005867947532530574
Position 1835: 0.0005606141039737851
Position 603: 0.0004939349640907285
Position 65: 0.00048562931996768517
Position 359: 0.00045096366073089076
Position 1614: 0.0004471221779744748
Position 59: 0.0003251215332560963
Position 86: 0.0003208489023227356
Position 141: 0.0002853085781436902
Position 830: 0.0002847045034411126
Position 397: 0.00026985388799672505
Position 2317: 0.0002677320214738731
Position 1699: 0.00024322139104343776
Position 698: 0.0002260069593285594
Position 1256: 0.00022501972040014117
Position 435: 0.0002104940017381216
Position 1677: 0.0002072762749392793
Position 2099: 0.00020182783322294178
Position 2247: 0.00015947159824774882
Position 837: 0.00015884517412432676
Position 2477: 0.0001549705029665839
Position 1947: 0.00012804099094087837
Position 559: 0.0001054727521901132
Position 250: 9.848369207639048e-05
Position 906: 9.614372755150158e-05
Position 990: 9.602112197367634e-05
Position 173: 8.791067779710326e-05
Position 1933: 7.739133138153645e-05
Position 116: 7.669581285061864e-05
Position 2253: 7.42009930761347e-05
Position 151: 7.388814956621065e-05
Position 318: 7.361559571082242e-05
Position 1622: 6.999852965254385e-05
Position 2429: 6.4355383932678e-05
Position 953: 5.9593512870206506e-05
Position 471: 5.581892427934629e-05
Position 79: 5.536374092267197e-05
Position 1802: 5.1976686795590185e-05
Position 2305: 5.1903248835278454e-05
Position 1806: 4.360985132121467e-05
Position 2343: 3.412315427429223e-05
Position 34: 3.212828263735199e-05
Position 987: 2.943353305835998e-05
Position 445: 2.8568940904557285e-05
Position 1917: 2.6675419545121298e-05
Position 893: 2.2138453601633424e-05
Position 1876: 1.8774389754817278e-05
Position 998: 1.8690694076385523e-05
Position 903: 1.7392278821821167e-05
Position 25: 1.4709887843051519e-05
Position 1685: 1.364050363633059e-05
Position 1986: 1.2424778306548003e-05
Position 1927: 1.1213164798916788e-05
Position 48: 9.524778401653937e-06
Position 2321: 8.664446465636803e-06
Position 2314: 8.59398845179488e-06
Position 482: 7.587592441046094e-06
Position 2024: 6.940151680084641e-06
Position 2296: 3.949169130997881e-06
Position 401: 3.4827423076787076e-06
Position 1778: 2.717606156777569e-06
Position 2054: 2.1000822826002566e-06
