Gene = Gug
index = 1204
Annotated 5SS: [  536  2207 12182 13316 18153 18337 18562 18783 19002 19572 19761 20266
 20458 20562]
Annotated 3SS: [ 1852 12049 13081 13378 18212 18416 18621 18944 19487 19642 20165 20362
 20508 21229]
SMsplice 5SS: [  536 18153 18337 18562 18783 19572 19761 20266 20608 21118]
SMsplice 3SS: [16402 18212 18416 18621 19487 19642 20165 20362 20832 21229]
top_k =  500
Partition function (log Z): 16.520755976373135

Sorted 5' Splice Sites (High to Low Probability):
Position 18562: 0.9990463201629132
Position 18783: 0.9947905125623189
Position 19572: 0.9938019439623273
Position 536: 0.956545596937542
Position 20266: 0.940261258001241
Position 20608: 0.5730957524465047
Position 19761: 0.511933291702716
Position 21118: 0.5092634004466926
Position 19770: 0.46387831938452373
Position 20562: 0.4145902785540285
Position 2207: 0.39111558922694856
Position 10132: 0.25819103175756236
Position 12167: 0.2482424745333677
Position 21122: 0.20075377307667527
Position 19002: 0.19025979129227055
Position 9386: 0.08727327119241948
Position 22371: 0.0803988813292088
Position 9390: 0.07809500829737134
Position 20458: 0.0475719278695395
Position 21671: 0.043545134586723384
Position 19328: 0.03422485251725912
Position 21111: 0.03316805236511945
Position 21430: 0.023247240541863588
Position 1418: 0.019969329350315743
Position 8851: 0.015260913334975125
Position 20288: 0.011387595662119445
Position 21083: 0.010407067128976811
Position 20911: 0.00951235457690917
Position 9784: 0.009401225066351333
Position 766: 0.008121510562393283
Position 245: 0.00702742999225259
Position 22325: 0.006867478978922525
Position 8855: 0.005835189090065673
Position 8859: 0.0051735181475505735
Position 1614: 0.004230163618079422
Position 9365: 0.003547776272355898
Position 21039: 0.0031354366638620835
Position 6223: 0.0030595934172450074
Position 8863: 0.0028118890849089034
Position 19576: 0.0027079545966238886
Position 21170: 0.0026982781856139987
Position 20928: 0.002636660043405901
Position 21150: 0.002573437395557381
Position 19739: 0.002514729466751885
Position 19586: 0.002436984743022779
Position 19335: 0.0024193350624868134
Position 19223: 0.002411051601884765
Position 9984: 0.002157900529244027
Position 19765: 0.002142365571998181
Position 9782: 0.001964375429812777
Position 18990: 0.0018576822222274806
Position 275: 0.0018197823629506082
Position 9509: 0.0017635139533137168
Position 557: 0.001713524825624069
Position 21828: 0.0016155254348495774
Position 18720: 0.0015886655507538756
Position 1444: 0.0012922578138837397
Position 21103: 0.001242585255079598
Position 20926: 0.0011764231533458432
Position 1104: 0.0010972445300705962
Position 582: 0.0010815189507259021
Position 21222: 0.001038463195319485
Position 18916: 0.0010157812777226894
Position 11026: 0.0009551729239461579
Position 20612: 0.0008844308221936729
Position 21392: 0.0008408874282598684
Position 21408: 0.0008301358768876944
