Gene = RhoGAP71E
index = 1423
Annotated 5SS: [ 1137 11758 12012 12436 16421]
Annotated 3SS: [11555 11827 12372 15975 17798]
SMsplice 5SS: [ 1137 11758 12012 12436]
SMsplice 3SS: [11555 11827 12372 19383]
top_k =  500
Partition function (log Z): 3.45448808818543

Sorted 5' Splice Sites (High to Low Probability):
Position 11758: 0.9991817005733922
Position 12012: 0.9898454557238308
Position 12436: 0.9019010755549365
Position 1137: 0.8884501742362024
Position 417: 0.3260905852543166
Position 13656: 0.2646040094060095
Position 10241: 0.034604705919343365
Position 435: 0.02432471721671668
Position 1884: 0.023517732019224392
Position 6641: 0.019306810614109545
Position 206: 0.017557954301262457
Position 15258: 0.016367760987794536
Position 826: 0.011019076839822343
Position 1932: 0.009403785894665262
Position 3274: 0.008717731693669892
Position 1876: 0.008545993558170144
Position 60: 0.008096366652419001
Position 4547: 0.008037716536836822
Position 1152: 0.0074714227193125315
Position 8536: 0.007208036101683062
Position 6492: 0.006563683300636689
Position 6975: 0.006249994522207919
Position 12078: 0.006019466735292091
Position 799: 0.004201492057900782
Position 291: 0.0031444932066042566
Position 3561: 0.0029092001069145794
Position 2211: 0.0026929875502514863
Position 14355: 0.002635297964265876
Position 8306: 0.001973841155380994
Position 2007: 0.0018644844955004681
Position 3461: 0.001863506226624942
Position 4986: 0.001571446058516682
Position 6329: 0.0015334181005701715
Position 11936: 0.0012416901250740526
Position 12557: 0.001140324790767736
Position 1197: 0.0011197437643901923
Position 1540: 0.0010177380207010062
Position 67: 0.0009940853577201385
Position 910: 0.0009726925444253449
Position 6333: 0.000878178739614521
Position 1220: 0.0008721543503882832
Position 12296: 0.0008622007487915899
Position 7027: 0.0008051074020334893
Position 12699: 0.0007949756056345923
Position 9181: 0.0007257776127246244
Position 11767: 0.0007026628682115875
Position 2029: 0.0006762071319828066
Position 6971: 0.0005917326999333228
Position 12559: 0.0005816843118437974
Position 12304: 0.0005473111466097701
Position 2025: 0.0005387273703249235
Position 16421: 0.0005190075750980896
Position 12451: 0.0005120660800269468
Position 421: 0.000502796627166363
Position 739: 0.0005017789396198387
Position 742: 0.00048265791707704044
Position 12465: 0.00044472015754520785
Position 3791: 0.0004056524040813357
Position 809: 0.00039990492850729175
Position 12553: 0.00039404595386477464
Position 12561: 0.00037034917993145983
Position 12563: 0.0002426314184975379
Position 11989: 0.00023243719970481662
Position 15419: 0.0002269330587792698
Position 462: 0.00016154165238097665
Position 12281: 0.00015447334366181954
Position 12702: 0.00013691556128820362
Position 11965: 0.00012215288026433955
Position 12034: 0.00011793830135849578
Position 12537: 0.00011361428378517647
Position 12565: 0.00010171917566251854
Position 532: 8.59119549059914e-05
Position 12567: 8.222329378528951e-05
