Gene = ghi
index = 1715
Annotated 5SS: [158 295]
Annotated 3SS: [248 421]
SMsplice 5SS: [158]
SMsplice 3SS: [248]
top_k =  500
Partition function (log Z): -6.651614899043278

Sorted 5' Splice Sites (High to Low Probability):
Position 158: 0.8135366541208005
Position 295: 0.3538569409483932
Position 6: 0.1429813842454291
Position 21: 0.11476976606256822
Position 162: 0.017389272470484694
Position 275: 0.003635155361044167
Position 559: 0.0032919900609445895
Position 10: 0.0032803113286465234
Position 267: 0.001991524972727034
Position 598: 0.0011303618524084167
Position 339: 0.000920238803840472
Position 168: 0.0008572694093216236
Position 139: 0.0005953566313272584
Position 301: 0.00047315575833114273
Position 456: 0.0003798885646014174
Position 817: 0.0003130156754327996
Position 602: 0.0002972938835860591
Position 311: 0.000264945744148085
Position 637: 0.00020089384482420184
Position 361: 0.00018726538627526106
Position 260: 0.00017635526264804215
Position 62: 0.0001543087577732931
Position 848: 0.00015070129775270237
Position 132: 0.00011768629119875692
Position 509: 0.0001153911877651809
Position 436: 9.924372743757137e-05
Position 249: 5.428871393201627e-05
Position 643: 4.4201237947874484e-05
Position 395: 4.264727064099465e-05
Position 538: 3.107666512429173e-05
Position 831: 2.498746476179299e-05
Position 142: 1.0599042685235009e-05
Position 299: 8.177000626108962e-06
Position 834: 7.685266764879035e-06
Position 841: 4.7652751390759065e-06
Position 119: 1.0001525878838145e-06
Position 80: 4.0242438849052086e-07
Position 78: 3.3356375766640397e-07
Position 66: 2.298971411367449e-08
Position 411: 2.1303614737949274e-08
Position 448: 2.7967048273199765e-09
Position 424: 2.0001408630588414e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 248: 0.7082432495885871
Position 421: 0.46677818795456266
Position 78: 0.2585225630605532
Position 393: 0.009522188231847356
Position 632: 0.007984408025608146
Position 710: 0.003447987908210806
Position 323: 0.0018246654065505333
Position 339: 0.0015659328287078629
Position 579: 0.0013608207124577022
Position 509: 0.000662284078393702
Position 201: 0.0006336037603987169
Position 892: 0.0004681773473507177
Position 902: 0.00010653457380588099
Position 132: 9.374334955375468e-05
Position 544: 8.052880370845679e-05
Position 716: 6.54020518565756e-05
Position 590: 2.4336069199513736e-05
Position 375: 1.0958230217971208e-05
Position 275: 6.1578894787963e-07
Position 257: 3.9079904447440235e-07
Position 281: 3.2522261732222822e-09
Position 299: 6.549352160404832e-10
Position 198: 5.413905000772962e-10
