Gene = Rbfox1
index = 1410
Annotated 5SS: [   534  25152  87194  89835  92743  93077  94000  95064  95913  98918
 104128 106276 106485 107320 108105 108979]
Annotated 3SS: [ 24657  86716  89636  92037  93022  93906  95008  95870  98896 103403
 106214 106430 107247 107943 108914 109108]
SMsplice 5SS: [   534  25152  87194  92743  93077  94000 108105 108979]
SMsplice 3SS: [ 24657  86716  92037  93022  93935 107943 108604 109108]
top_k =  500
Partition function (log Z): -113.41744971938775

Sorted 5' Splice Sites (High to Low Probability):
Position 534: 0.9999999999999725
Position 25152: 0.9999914116553896
Position 1042: 2.1396964488670805e-14
Position 1226: 1.9755222836018617e-14
Position 1158: 1.176810429329102e-14
Position 8649: 1.0918346690674058e-14
Position 1393: 8.250122324384618e-15
Position 866: 7.658760729928874e-15
Position 7407: 7.538986874030787e-15
Position 78: 1.179793090209454e-15
Position 6122: 9.417730780454886e-16
Position 1680: 7.184256295200765e-16
Position 5092: 6.982401667627953e-16
Position 309: 6.785326500769645e-16
Position 758: 4.889716438381346e-16
Position 1726: 3.7596081858099094e-16
Position 6118: 3.619997723863956e-16
Position 730: 3.5536549161391876e-16
Position 348: 3.0080170714430746e-16
Position 73: 2.742734751613247e-16
Position 1413: 2.72505503952146e-16
Position 1616: 2.589450409258432e-16
Position 23: 2.464218010001058e-16
Position 4727: 2.296673153971762e-16
Position 1204: 1.5053009410114956e-16
Position 477: 1.2597480658034243e-16
Position 221: 8.45595270028882e-17
Position 801: 4.639392588360685e-17
Position 313: 4.6333334533137155e-17
Position 1056: 4.5400294290600756e-17
Position 449: 3.0795564620759415e-17
Position 794: 2.8191429168224356e-17
Position 1210: 1.7004045739847912e-17
Position 2387: 1.5032922347461817e-17
Position 333: 1.453107465468347e-17
Position 234: 1.3839724523962955e-17
Position 571: 1.1517355339558912e-17
Position 1190: 1.0082494769307331e-17
Position 525: 9.28107019438003e-18
Position 148: 8.89558477232356e-18
Position 215: 7.955878750577556e-18
Position 1005: 6.797401548919474e-18
Position 462: 6.5121745491651135e-18
Position 2758: 4.506065527563478e-18
Position 180: 4.260263428966519e-18
Position 773: 2.6368079999405177e-18
Position 91: 2.5654534089995466e-18
Position 352: 2.4908542713378555e-18
Position 335: 2.2619572545820613e-18
Position 89: 1.5594427410692565e-18
Position 133: 1.520663544938922e-18
Position 453: 1.390885672972513e-18
Position 223: 1.2663815054667323e-18
Position 106: 8.792247778861238e-19
Position 307: 7.954790610543612e-19
Position 592: 5.670983703998709e-19
Position 247: 5.498926588634207e-19
Position 756: 5.321659806651557e-19
Position 1011: 5.233289289670073e-19
Position 236: 4.684548397697785e-19
Position 225: 3.0215999924246063e-19
Position 15: 2.5641485615366683e-19
Position 205: 2.5034658332635827e-19
Position 343: 2.5229049447565274e-20
Position 207: 1.3878657030341036e-20
Position 825: 1.1654190414158699e-20
Position 623: 1.0423697333713245e-20
Position 345: 7.793621355346241e-21
Position 340: 7.697911417488442e-21
Position 245: 5.8912012398401605e-21
Position 257: 4.605384555606859e-21
Position 254: 4.026144195138211e-21
Position 457: 2.0385884370973857e-21
Position 413: 1.5826069931171918e-21
Position 238: 1.1474316957974628e-21
Position 703: 7.419307263265301e-26
Position 382: 6.922109879921772e-26
Position 464: 9.699482705420954e-27
Position 451: 6.85369153487486e-27
Position 466: 5.2067278246896534e-27

Sorted 3' Splice Sites (High to Low Probability):
Position 24657: 0.9999999999014193
Position 34472: 0.9999832787995844
Position 25218: 8.132855824926336e-06
Position 16293: 9.636667572095238e-11
Position 12471: 1.4167057801392094e-12
Position 11633: 4.724131989570602e-13
Position 8329: 1.564158600341323e-13
Position 9214: 3.763912323736159e-14
Position 5823: 2.744639498650921e-14
Position 8173: 2.6481384333714477e-14
Position 583: 2.6192083965335007e-14
Position 847: 2.595159129218995e-14
Position 9234: 1.9296813376393842e-14
Position 9127: 1.2404763762451378e-14
Position 1101: 1.1558507336410564e-14
Position 8714: 1.0918346690674369e-14
Position 7225: 1.059416555807508e-14
Position 608: 7.881476919180488e-15
Position 8067: 4.1848257404005494e-15
Position 8138: 3.670395500608271e-15
Position 8037: 3.5333493927405638e-15
Position 4602: 3.156065472034489e-15
Position 6187: 1.3037728504318842e-15
Position 1035: 6.693484043570837e-16
Position 5072: 6.604150783884766e-16
Position 133: 6.032930896547442e-16
Position 5707: 5.82766911171943e-16
Position 4940: 5.595022456948596e-16
Position 5013: 5.542884095762712e-16
Position 895: 5.104016411516126e-16
Position 6371: 4.963856423730466e-16
Position 592: 4.4248099635208724e-16
Position 4793: 4.24132494696064e-16
Position 5733: 4.2124004792750513e-16
Position 2487: 3.967238422070541e-16
Position 5375: 3.9298294589352395e-16
Position 5244: 3.8882572627243725e-16
Position 1269: 3.41827363189384e-16
Position 3443: 3.3083324842827417e-16
Position 4013: 2.90123536293381e-16
Position 5965: 2.759997311274625e-16
Position 2656: 2.4239193762933777e-16
Position 3212: 2.2193456037125296e-16
Position 4877: 1.9955649791618593e-16
Position 1257: 1.8356417780086034e-16
Position 406: 1.6700615503681237e-16
Position 98: 1.6276729450503004e-16
Position 1533: 1.5430308401421407e-16
Position 148: 1.182494246385947e-16
Position 3289: 1.1750888416357499e-16
Position 5147: 8.781986106790792e-17
Position 4029: 6.315159318911129e-17
Position 1340: 5.306912861325653e-17
Position 1527: 5.103597641073529e-17
Position 901: 4.3732790776877394e-17
Position 3269: 4.08775192823572e-17
Position 2499: 4.042877416808426e-17
Position 2441: 4.024378483547487e-17
Position 4472: 3.70882113595167e-17
Position 3544: 3.292247944000936e-17
Position 4310: 3.145954143348599e-17
Position 1328: 2.9332163295846243e-17
Position 1852: 2.1971374601412064e-17
Position 1563: 2.0769278331937195e-17
Position 279: 1.6893687287717697e-17
Position 2811: 1.6566870508073647e-17
Position 1787: 1.4651924237045952e-17
Position 3494: 1.3027038850890847e-17
Position 623: 1.0998037989121658e-17
Position 809: 1.0685096031194605e-17
Position 735: 5.804995476103686e-18
Position 2536: 5.5950310056059285e-18
Position 2695: 5.4992163645072974e-18
Position 477: 4.961168315834813e-18
Position 942: 4.948222443755003e-18
Position 853: 4.264027698250809e-18
Position 2783: 4.219662639034092e-18
Position 1811: 4.13365637383396e-18
Position 413: 3.1041471050557958e-18
Position 1488: 3.0216772827897394e-18
Position 391: 2.6290481153306482e-18
Position 435: 2.5737548441533912e-18
Position 317: 2.475307455612186e-18
Position 1040: 2.084327046252066e-18
Position 2113: 1.9821386008801085e-18
Position 2081: 1.9142035271191112e-18
Position 199: 1.5353107448376347e-18
Position 276: 1.3595489401245894e-18
Position 1536: 9.575622080051125e-19
Position 489: 8.381942836787569e-19
Position 422: 6.037162239509707e-19
Position 869: 5.078364783849877e-19
Position 519: 1.470666705066555e-19
Position 205: 1.470238419752495e-19
Position 73: 4.375742804926002e-20
Position 560: 4.034424295374218e-20
Position 1042: 7.752713245031157e-21
Position 521: 3.755057961217452e-22
Position 333: 8.691387871639147e-26
Position 326: 5.293470337173289e-26
