Gene = Ced-12
index = 1065
Annotated 5SS: [ 225 1529 2141]
Annotated 3SS: [ 517 1588 2203]
SMsplice 5SS: [ 225 1529 2141]
SMsplice 3SS: [ 517 1588 2203]
top_k =  500
Partition function (log Z): 2.482658204985621

Sorted 5' Splice Sites (High to Low Probability):
Position 1529: 0.9982849336364201
Position 225: 0.9878422894805131
Position 2141: 0.9486712625007357
Position 603: 0.21130403510363407
Position 989: 0.08924598126188237
Position 1726: 0.07950532409499549
Position 2630: 0.06221813823278217
Position 2428: 0.04036686910426234
Position 916: 0.013436851666341648
Position 2284: 0.011207846905076391
Position 2357: 0.009367299838288866
Position 1775: 0.005417205834179703
Position 542: 0.004869455090989162
Position 697: 0.0036435478895509477
Position 518: 0.003347223010645625
Position 229: 0.0031982221733881456
Position 2883: 0.0031583337759013195
Position 1021: 0.0029360999810539032
Position 1260: 0.0029240559256787303
Position 800: 0.0024945039461649905
Position 2134: 0.0018070261225692054
Position 734: 0.001735403126984444
Position 955: 0.0011736823961026603
Position 1026: 0.000999425446918396
Position 470: 0.0008142941609421638
Position 2554: 0.0007941423695996541
Position 415: 0.0005871391447328993
Position 2256: 0.0005842889700565122
Position 986: 0.0005167123456729792
Position 420: 0.00046850940140705943
Position 1042: 0.00044979196448583576
Position 1909: 0.00043798345055959996
Position 301: 0.00043370597803808346
Position 1485: 0.00041894375821483295
Position 1146: 0.0002941699694173084
Position 407: 0.00021787382511781567
Position 904: 0.00019079693386150445
Position 2065: 0.00016570918457634634
Position 1720: 0.00015544051687783523
Position 2866: 0.00012288356330644826
Position 660: 0.00010610258782813816
Position 1733: 9.31508953649102e-05
Position 783: 7.519364983908095e-05
Position 1108: 6.531412193215048e-05
Position 2042: 6.466323928846177e-05
Position 57: 5.548282869283977e-05
Position 409: 5.286031160345503e-05
Position 1906: 3.6647244081250176e-05
Position 2779: 3.590312564333396e-05
Position 2872: 2.693092991452943e-05
Position 134: 2.6277203397576345e-05
Position 1589: 2.6170795189867917e-05
Position 321: 2.1197318086116336e-05
Position 2781: 2.05357741964959e-05
Position 347: 1.1315179666154481e-05
Position 2543: 1.105575429530522e-05
Position 190: 1.0937881337279973e-05
Position 2475: 1.0550315083858763e-05
Position 12: 9.010654933024294e-06
Position 2040: 8.847364531480407e-06
Position 2909: 6.798425009371501e-06
Position 1641: 6.652966130687213e-06
Position 1461: 3.8138401662683113e-06
Position 401: 3.296446067467149e-06
Position 20: 2.0415232162608067e-06
Position 311: 1.9325642838179154e-06
Position 152: 1.9147580893259626e-06
Position 1427: 1.363708205197102e-06
Position 1539: 1.2880155636726685e-06
Position 274: 1.2069209400338675e-06
Position 1307: 1.1787604369625463e-06
Position 1578: 1.1401498458927903e-06
Position 646: 9.6218634712586e-07
Position 1812: 8.449078695991324e-07
Position 713: 8.021113982474587e-07
Position 1791: 7.838328642544264e-07
Position 105: 6.6680989273244e-07
Position 607: 6.374153448275147e-07
Position 2204: 6.318695223505008e-07
Position 579: 2.5016077404796654e-07
Position 164: 8.372862142216945e-08
Position 493: 5.475742982590427e-08
Position 1673: 4.464239669166147e-08
Position 906: 3.668029085176097e-08
Position 340: 2.644043949230906e-08
Position 1599: 1.4869322579624013e-08
Position 1562: 1.0883239966595093e-08
Position 478: 1.0571103104548824e-08
Position 1654: 1.0391426564018676e-08
Position 1612: 9.22301800975118e-09
Position 546: 1.1353627081852044e-09
Position 1837: 1.8897387301543517e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1588: 0.992260538469655
Position 2203: 0.9498283516441943
Position 517: 0.9489786156083895
Position 1092: 0.17813835877860956
Position 2748: 0.11842477884669733
Position 654: 0.07325983507333
Position 1785: 0.0707164620323966
Position 660: 0.04590434504333765
Position 866: 0.018153966175611252
Position 675: 0.013756391363553007
Position 1159: 0.008650561644731014
Position 1196: 0.006956037892327626
Position 311: 0.006460347027490706
Position 2824: 0.006082830968840162
Position 1998: 0.004799172765474791
Position 579: 0.004607004270951813
Position 969: 0.004344151673829355
Position 1326: 0.0035359393839684335
Position 1461: 0.0032460828476919257
Position 1641: 0.0032148040244504767
