Gene = Acp36DE
index = 10
Annotated 5SS: [214]
Annotated 3SS: [272]
SMsplice 5SS: [ 65 214]
SMsplice 3SS: [128 272]
top_k =  500
Partition function (log Z): -5.42335352239526

Sorted 5' Splice Sites (High to Low Probability):
Position 214: 0.9713688585067278
Position 65: 0.6441081164153974
Position 988: 0.6194903918977472
Position 523: 0.1163651523864113
Position 385: 0.04134120502077172
Position 1350: 0.032855514391160016
Position 492: 0.01321852934264241
Position 306: 0.0056264523808401655
Position 282: 0.0031303274739517446
Position 585: 0.0029366777670500614
Position 291: 0.001368134963216192
Position 527: 0.0008301857633660844
Position 407: 0.0007229007207216671
Position 559: 0.0006935991913436498
Position 380: 0.0005821938985481486
Position 196: 0.0005791513747543456
Position 389: 0.0003742098229179034
Position 620: 0.0003296622633641188
Position 875: 0.00018603920200663487
Position 336: 0.00018023981594844632
Position 58: 0.00016825156767146204
Position 1040: 0.00011452247622451562
Position 69: 0.00011268729456524242
Position 459: 0.00010932899593581767
Position 2797: 8.527628027528231e-05
Position 112: 8.104342192690214e-05
Position 257: 7.236528320750113e-05
Position 157: 5.25747319687581e-05
Position 641: 3.264339214469668e-05
Position 863: 3.1223021548078015e-05
Position 181: 2.380237801502019e-05
Position 78: 1.6173271160571864e-05
Position 255: 1.2634906254711665e-05
Position 27: 5.4355826772506e-06
Position 272: 3.441837431021232e-06
Position 18: 1.3986738909452367e-06
Position 977: 5.07864869650334e-07
Position 6: 9.419805522322736e-08
Position 123: 5.821863352462745e-08
Position 140: 2.3029708037404222e-08
Position 242: 1.8047239491169474e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 272: 0.9434396107178968
Position 128: 0.6019100368677582
Position 1064: 0.21919512529742596
Position 1226: 0.11741322432804188
Position 611: 0.11594896121079863
Position 2207: 0.0472607664993812
Position 707: 0.04580688478625028
Position 2306: 0.02911380589956262
Position 1232: 0.027440724115778713
Position 1519: 0.02179218795020694
Position 2643: 0.020566460747774695
Position 753: 0.020031896406716695
Position 1664: 0.01978317317002312
Position 2826: 0.01825573463161307
Position 2561: 0.01815895089978212
Position 140: 0.01667597479264623
Position 1151: 0.014574193351710738
Position 1463: 0.014113657348545569
Position 1844: 0.01173849881353738
Position 1402: 0.011641239683944482
Position 168: 0.011341912151407115
Position 2246: 0.007790838198810305
Position 336: 0.006990539384964521
Position 362: 0.0067194879033128565
Position 1473: 0.00663875511556899
Position 588: 0.006181717412134095
Position 1331: 0.005811984862437933
Position 1070: 0.005319870259434611
Position 1983: 0.005298504774394689
Position 1476: 0.00518871279700709
Position 2533: 0.004411408084998331
Position 1031: 0.004381453842430796
Position 585: 0.0038183173586944295
Position 653: 0.0036556141963716786
Position 1282: 0.003325182770267455
Position 2941: 0.003291538114343884
Position 2414: 0.00312548858969899
Position 2212: 0.0029642063289710865
Position 2333: 0.002413022073769016
Position 911: 0.00234809228047439
Position 1532: 0.0020907623593878245
Position 923: 0.001531332221458561
Position 1437: 0.0013997465290693056
Position 633: 0.001382602570834657
Position 2326: 0.0011332606294245794
Position 1592: 0.0011329936261191378
Position 1023: 0.0009908032904205565
Position 863: 0.000780726476743327
Position 2542: 0.0006760442865966926
Position 1988: 0.0006717473102728173
Position 1044: 0.0006001405612221836
Position 112: 0.0005992161968786996
Position 1682: 0.0005337013453978196
Position 2796: 0.0005101163720550086
Position 1670: 0.000471962966908335
Position 2951: 0.00046892223894690315
Position 1484: 0.0004590687629136128
Position 282: 0.0004433475404452476
Position 641: 0.00041032253291045076
Position 456: 0.0003879919641637496
Position 1298: 0.00038098508085582857
Position 2720: 0.0003561412775361498
Position 317: 0.0003540475878875908
Position 2256: 0.00030961466738687053
Position 713: 0.00030648798091169197
Position 1337: 0.0003040359825159088
Position 306: 0.00024920381326344756
Position 411: 0.00023101638838752886
Position 2067: 0.00020355049306185126
Position 186: 0.00018866512440698346
Position 1808: 0.00018156918214247512
Position 366: 0.0001807449774528075
Position 1586: 0.00016944593814971506
Position 207: 0.00014918250818828934
Position 1568: 0.00011615196942185389
Position 1544: 0.00011522687003937198
Position 1595: 0.00011478067914173206
Position 1250: 0.00010105381634567428
Position 385: 9.820646724157672e-05
Position 1244: 9.31489709050881e-05
Position 531: 8.02147177852941e-05
Position 1301: 7.84972294251192e-05
Position 771: 6.718855349105026e-05
Position 468: 4.592492181942091e-05
Position 157: 4.485502836507794e-05
Position 960: 3.649965223493683e-05
Position 181: 3.453984518549791e-05
Position 761: 2.166828273529141e-05
Position 977: 2.1498553157617652e-05
Position 474: 1.3306555264513754e-05
Position 659: 4.2017164713055875e-06
Position 485: 2.593157170514762e-06
Position 559: 1.8364766781950524e-06
Position 95: 1.0644452110148935e-06
Position 389: 7.178679389019372e-07
Position 84: 1.7850106791567872e-07
Position 65: 1.3951599088137604e-07
Position 196: 1.3073228066681662e-07
Position 221: 9.883263669100029e-08
Position 255: 4.822463270894832e-08
Position 213: 2.001743319640183e-08
Position 242: 6.686624019773814e-10
Position 69: 3.517975692060996e-13
