Gene = Hr38
index = 1215
Annotated 5SS: [ 1552 24446 26133 27339]
Annotated 3SS: [24131 24986 26251 27521]
SMsplice 5SS: [  385 24446 26133 27339]
SMsplice 3SS: [24131 24986 26251 27521]
top_k =  500
Partition function (log Z): -10.122011629184806

Sorted 5' Splice Sites (High to Low Probability):
Position 27339: 0.992616936569711
Position 26133: 0.9611044433549265
Position 24446: 0.7772065997404529
Position 385: 0.44917779209730796
Position 190: 0.3668187968535142
Position 1813: 0.2575225093209282
Position 24395: 0.2183589343944527
Position 27754: 0.19518901432973562
Position 1552: 0.11682174412538496
Position 28436: 0.01975379465743514
Position 595: 0.01434129726209726
Position 990: 0.010121008394091476
Position 29164: 0.006995359323432372
Position 371: 0.0054031845401366855
Position 27343: 0.005228412305529971
Position 27794: 0.004623249014506203
Position 1012: 0.004099492396531337
Position 692: 0.0039889672230246555
Position 28919: 0.003932962569511274
Position 288: 0.0036896405508057653
Position 28552: 0.003182035663189866
Position 27995: 0.0030607150280838047
Position 426: 0.003031245310744581
Position 110: 0.0024058964072250417
Position 27670: 0.002377331763940541
Position 1590: 0.002317950410974031
Position 188: 0.0020728942364731297
Position 294: 0.0020338892256579156
Position 389: 0.0019757717537977303
Position 324: 0.0019281462018915915
Position 1040: 0.001664719502749237
Position 28611: 0.0015412652386502285
Position 310: 0.0014347719207041822
Position 524: 0.001274916027857615
Position 28953: 0.0012360116330627242
Position 441: 0.0009985573582852135
Position 28585: 0.0009794602433389908
Position 29217: 0.0009206504017962249
Position 1556: 0.0008073759827696743
Position 26704: 0.0006371235732874635
Position 27725: 0.0005825152276264609
Position 1211: 0.0005365552043064016
Position 584: 0.0003913075158987757
Position 160: 0.00038237336330923684
Position 27348: 0.000264790657923216
Position 542: 0.0002553676121909602
Position 28593: 0.00025416680315235187
Position 1429: 0.00024708117195063723
Position 1586: 0.00020664125891601417
Position 89: 0.00018880861721423583
Position 28679: 0.00018226562193421412
Position 588: 0.00016317576856528202
Position 1584: 0.00015001037278800935
Position 539: 0.00014051591882677694
Position 1240: 0.00013693782540965925
Position 1014: 0.00013397720290841568
Position 688: 0.00012698559636286174
Position 796: 0.00011678908866399993
Position 572: 0.00010235526707030328
Position 27005: 8.093245217788711e-05
Position 574: 7.268650315139403e-05
Position 650: 6.206524903472138e-05
Position 26372: 6.152954160814974e-05
Position 681: 5.221766017247788e-05
Position 790: 4.515434466210307e-05
Position 222: 4.387258012729316e-05
Position 593: 2.1447941165541863e-05
Position 1226: 1.4020194055125462e-05
Position 28753: 1.2243499171146703e-05
Position 26379: 4.752335614912314e-06
Position 26390: 4.496445115001789e-06
