Gene = ecd
index = 1690
Annotated 5SS: [362]
Annotated 3SS: [434]
SMsplice 5SS: [362]
SMsplice 3SS: [434]
top_k =  500
Partition function (log Z): -10.324474266707387

Sorted 5' Splice Sites (High to Low Probability):
Position 362: 0.9355170208903111
Position 232: 0.032916802282007204
Position 554: 0.017040578419977623
Position 1866: 0.01089615187546419
Position 375: 0.009192785954252198
Position 1004: 0.007022066910723971
Position 292: 0.006980531319555467
Position 650: 0.006968731386556123
Position 732: 0.006114345517968279
Position 496: 0.004472437033046569
Position 169: 0.0036029850922465593
Position 138: 0.0023998126395733442
Position 2063: 0.0021502730621662295
Position 628: 0.0010079507153024762
Position 616: 0.0006551740406106875
Position 1697: 0.0005280868339510262
Position 754: 0.0004499021907087421
Position 654: 0.00039262773845896503
Position 1307: 0.00029684385681839605
Position 778: 0.0002960890508162349
Position 845: 0.00029117263027399757
Position 781: 0.00016636760576442828
Position 111: 0.00016552450921144228
Position 992: 0.00011074308563874885
Position 911: 0.00010092312981450872
Position 1896: 8.619243929191303e-05
Position 1796: 5.620411559600832e-05
Position 641: 2.4951491572706415e-05
Position 133: 7.5777861151373805e-06
Position 115: 1.703554922914964e-06
Position 243: 8.731633111418344e-07
Position 392: 5.777501633557894e-07
Position 493: 5.610228206478962e-07
Position 461: 3.2522828556303115e-07
Position 725: 2.799718615140493e-07
Position 500: 9.8812610885038e-08
Position 528: 8.6528741268083e-08
Position 657: 8.164420422130046e-08
Position 503: 6.658759189235415e-08
Position 17: 5.5613406556441764e-08
Position 574: 3.0682124417491286e-08
Position 24: 2.6663155238329222e-08
Position 279: 9.8366921038301e-09
Position 26: 1.952110792377211e-09
Position 264: 5.854751471068663e-10
Position 423: 5.2355787960433785e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 434: 0.8695707528589295
Position 844: 0.08315253301716759
Position 1918: 0.031741574598764435
Position 1939: 0.01907771069136773
Position 2139: 0.009468100480776459
Position 291: 0.006762100092198818
Position 769: 0.005335303186264816
Position 1048: 0.003461353003803725
Position 2104: 0.002861665324575665
Position 915: 0.0019554849272737187
Position 1045: 0.0017137421523563386
Position 486: 0.001560584684230562
Position 207: 0.0014123090674373591
Position 1063: 0.0011661284879929319
Position 1135: 0.00113554967375842
Position 1388: 0.0011253851926094841
Position 1495: 0.001081794179021816
Position 285: 0.0008044969808838054
Position 520: 0.0007106976999753107
Position 236: 0.0006885176943376253
Position 1750: 0.0006607863584431805
Position 1327: 0.0006162431697987177
Position 2117: 0.0005691851384816535
Position 889: 0.000538264617309794
Position 874: 0.0004024106530951689
Position 1666: 0.0002773455562677951
Position 250: 0.0002630746428533467
Position 811: 0.000172255257656951
Position 637: 0.00014999057877802967
Position 886: 0.00012736229796817385
Position 1682: 0.00011659600805031808
Position 279: 0.00010617681476282772
Position 1889: 9.826854055707697e-05
Position 1960: 9.610356074894998e-05
Position 693: 9.578288648103941e-05
Position 1343: 9.029794773203512e-05
Position 1564: 8.856838452175185e-05
Position 667: 8.012406331008639e-05
Position 174: 6.488049339098608e-05
Position 676: 6.4587668355613e-05
Position 1580: 6.246230459725429e-05
Position 1516: 5.280215019200929e-05
Position 864: 4.8092986714901754e-05
Position 1192: 4.3796809027463314e-05
Position 1467: 4.170974946152529e-05
Position 387: 3.892610707404421e-05
Position 1174: 3.242743770470282e-05
Position 1435: 3.1104159482844525e-05
Position 1114: 2.1229530822521714e-05
Position 690: 1.4307526732018727e-05
Position 802: 1.3921790720865312e-05
Position 257: 1.3623053025633787e-05
Position 156: 1.3267491034426336e-05
Position 778: 1.2439701409454417e-05
Position 273: 6.379685930518513e-06
Position 243: 4.152921867927058e-06
Position 312: 1.6954196808242587e-07
Position 351: 1.5760434432433232e-07
Position 219: 1.5142305249434978e-07
Position 180: 1.4651336582946976e-07
Position 805: 1.0800181874547892e-07
Position 589: 5.233475271479044e-08
Position 574: 3.768459355387236e-08
Position 296: 3.167377584596889e-08
Position 61: 1.6940070766596482e-08
Position 97: 9.583097504837558e-09
Position 348: 8.461551220842042e-09
Position 345: 2.9122502474356568e-09
Position 101: 2.148518546262158e-09
Position 73: 2.1481239302663933e-09
Position 64: 1.3045882818057493e-09
Position 330: 1.1832641764445874e-09
Position 315: 8.222821803189086e-10
Position 123: 7.282104328713852e-10
Position 90: 1.2651227046312963e-10
Position 80: 4.4215001759023147e-11
Position 126: 2.0123097749875248e-11
Position 493: 1.0501610113367075e-11
Position 67: 2.3549102146680164e-12
Position 111: 9.143901737403976e-13
Position 252: 5.47259986525657e-13
Position 333: 5.390758884528781e-13
Position 86: 1.1292979880284788e-13
Position 138: 9.024742951935961e-14
