Gene = Df31
index = 1131
Annotated 5SS: [ 266 2091]
Annotated 3SS: [1722 2174]
SMsplice 5SS: [ 266 2091]
SMsplice 3SS: [1722 2174]
top_k =  500
Partition function (log Z): -3.796640161598677

Sorted 5' Splice Sites (High to Low Probability):
Position 2091: 0.9743279275506328
Position 266: 0.7927052221912165
Position 2361: 0.1163382129090702
Position 3528: 0.08150590603168292
Position 217: 0.03392580085018078
Position 1118: 0.025355450088541023
Position 2079: 0.020388451588990723
Position 48: 0.018474989789573033
Position 716: 0.012668797712382615
Position 3050: 0.011132492343268366
Position 3256: 0.010865732365590713
Position 3343: 0.008995356743127066
Position 230: 0.005459571821164997
Position 560: 0.00532916878907895
Position 2833: 0.0051243615526844425
Position 988: 0.005109791734952869
Position 637: 0.0049967855403266325
Position 558: 0.004806689042078672
Position 645: 0.004648023014629647
Position 1009: 0.004451471251817084
Position 562: 0.003987003855500327
Position 813: 0.003822690097601257
Position 564: 0.0032154869976274425
Position 296: 0.002489048939912505
Position 566: 0.0023691525427579543
Position 595: 0.0023606659707911164
Position 641: 0.0022835094498326928
Position 3137: 0.0022755653113798856
Position 639: 0.0019376169309347053
Position 1272: 0.0016216384476817384
Position 2294: 0.0014404942743807927
Position 1417: 0.0013236628128074207
Position 1126: 0.0012176939535293776
Position 581: 0.001124580702558457
Position 1114: 0.0009670787669929204
Position 991: 0.0008745747522521244
Position 2873: 0.000866452041314584
Position 3323: 0.0007859094096779084
Position 2475: 0.0006193046585317003
Position 886: 0.0006096119617403992
Position 3003: 0.0006021469012215032
Position 1027: 0.0005476827227810552
Position 3266: 0.0004847178823897214
Position 1170: 0.00042254048251527703
Position 326: 0.0004060708364369804
Position 3428: 0.00035590004524075844
Position 1013: 0.0003445397635149121
Position 165: 0.0003233498670579186
Position 2533: 0.00024412704807873488
Position 1914: 0.0002419931276384486
Position 1479: 0.00023746426161675197
Position 430: 0.00021466129280718615
Position 508: 0.00021227239960378464
Position 3475: 0.00019231837322722912
Position 1188: 0.00016984897598380485
Position 2069: 0.00014839876129911768
Position 2321: 0.00010083715041118075
Position 2546: 0.00010082523863872149
Position 3349: 8.909121608293463e-05
Position 2919: 6.515415102117338e-05
