Gene = Ilp4
index = 1227
Annotated 5SS: [316]
Annotated 3SS: [376]
SMsplice 5SS: [316]
SMsplice 3SS: [376]
top_k =  500
Partition function (log Z): -4.6506028759274916

Sorted 5' Splice Sites (High to Low Probability):
Position 316: 0.9991396952347951
Position 790: 0.0032166680092419178
Position 326: 0.00048754996386117814
Position 462: 0.0004754782309233291
Position 500: 0.0003204305046307093
Position 531: 0.0001731269481599669
Position 410: 0.00015640228935984756
Position 796: 0.0001221596794646716
Position 113: 0.0001196643400522187
Position 270: 0.00010993649933840794
Position 673: 0.00010240084020911536
Position 313: 7.384871580834707e-05
Position 320: 7.225921453695316e-05
Position 705: 2.8077400229516293e-05
Position 57: 1.8858113517972543e-05
Position 514: 1.138511871164389e-05
Position 564: 9.645134525493736e-06
Position 239: 9.282553956805491e-06
Position 37: 9.2243564693147e-06
Position 566: 8.638913129725866e-06
Position 816: 7.717305634763431e-06
Position 279: 6.097112020511747e-06
Position 521: 4.2254929670740875e-06
Position 300: 3.727238786609119e-06
Position 394: 3.4151746669988714e-06
Position 206: 2.6969669789414988e-06
Position 378: 1.7855981017950784e-06
Position 277: 1.681231838165566e-06
Position 707: 1.3093059981655016e-06
Position 298: 8.135729526903348e-07
Position 133: 4.827779892422327e-07
Position 502: 1.5658199911798376e-07
Position 198: 9.578188628718734e-08
Position 11: 4.055897147714091e-08
Position 219: 1.3359965555847368e-08
Position 200: 4.039164462460053e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 376: 0.9565670298716379
Position 828: 0.013787213352911889
Position 420: 0.01080963209339769
Position 414: 0.008629263836452765
Position 858: 0.005320490588168858
Position 384: 0.004757690493853561
Position 423: 0.0019323150981362355
Position 444: 0.0011650233527102601
Position 392: 0.0006375296604838112
Position 855: 0.000496558705456136
Position 651: 0.0001595214090443883
Position 673: 0.00014336781812719025
Position 471: 4.312106858556744e-05
Position 658: 3.7722200372881104e-05
Position 163: 3.147657387366327e-05
Position 861: 2.7826109645753462e-05
Position 461: 2.6736778421417385e-05
Position 215: 2.6404885506536705e-05
Position 206: 2.3812563387956172e-05
Position 117: 1.851688781802863e-05
Position 741: 1.379209836418644e-05
Position 679: 1.1595817774422845e-05
Position 622: 9.58030798570425e-06
Position 498: 8.283687243273666e-06
Position 474: 3.5951673584335435e-06
Position 304: 3.0768908257442847e-06
Position 468: 1.6258765284888915e-06
Position 843: 1.1934719058488925e-06
Position 576: 1.0154021723682047e-06
Position 148: 7.728127370848639e-07
Position 224: 5.567797041297343e-07
Position 531: 5.218807305635113e-07
Position 495: 4.7634729146599657e-07
Position 573: 4.663170458477262e-07
Position 236: 2.554894260898459e-07
Position 521: 2.426926596013201e-07
Position 139: 1.525304538550555e-07
Position 260: 1.3389711830284586e-07
Position 83: 1.2718521021984513e-07
Position 91: 9.538423824795695e-08
Position 400: 3.783139844893989e-08
Position 699: 3.4000532393389124e-08
Position 94: 3.34763456460447e-08
Position 313: 2.8522199848494102e-08
Position 310: 2.7375841716026866e-08
Position 145: 8.76675869392888e-09
Position 67: 3.575928839214033e-09
Position 57: 9.59113197964307e-10
Position 74: 8.167583831655311e-10
Position 76: 8.156843673635427e-10
Position 85: 5.499907222222212e-10
Position 54: 3.692125481665022e-10
Position 133: 3.8583047563399764e-11
Position 63: 3.283941201843543e-11
Position 248: 4.253157620718186e-12
Position 154: 3.784109728389145e-12
Position 119: 1.379586051027087e-12
Position 394: 1.7004530467338288e-13
Position 320: 5.532193746442705e-14
