Gene = c-cup
index = 1640
Annotated 5SS: [142]
Annotated 3SS: [198]
SMsplice 5SS: [142]
SMsplice 3SS: [198]
top_k =  500
Partition function (log Z): -6.1883069507377275

Sorted 5' Splice Sites (High to Low Probability):
Position 142: 0.994621261759535
Position 624: 0.0116457217425523
Position 257: 0.009270782827762484
Position 541: 0.004026747470750343
Position 146: 0.003104997821074321
Position 760: 0.0029494178193660114
Position 669: 0.0018492625364608909
Position 832: 0.0005291946118098209
Position 527: 0.00032427301673483035
Position 709: 0.00028975950790210774
Position 768: 0.00025593739816831643
Position 273: 0.00023976421337295651
Position 780: 0.00021835408458122262
Position 666: 0.00017467460453298204
Position 631: 0.00011558031628162866
Position 296: 0.00010207031710311872
Position 385: 8.009700442846966e-05
Position 368: 6.068725724265844e-05
Position 151: 3.971508297444462e-05
Position 579: 3.8765735197446446e-05
Position 105: 3.232633250422367e-05
Position 241: 2.670546320785267e-05
Position 231: 2.2788346620857877e-05
Position 609: 1.8877981304569974e-05
Position 78: 1.761140345241952e-05
Position 102: 1.4049508251485363e-05
Position 90: 9.24421562286269e-06
Position 356: 8.544914913706116e-06
Position 159: 8.276043177440657e-06
Position 131: 8.014801282845574e-06
Position 562: 4.086270571359589e-06
Position 261: 3.2191875869492064e-06
Position 598: 2.397646951230523e-06
Position 545: 2.3616839746044455e-06
Position 162: 1.6439894111225757e-06
Position 868: 1.5135645251771736e-06
Position 791: 8.244367940997237e-07
Position 174: 2.1569386574076676e-08
Position 205: 1.8867470492986172e-08
Position 511: 7.435333401243624e-09
Position 535: 4.797971081775915e-09
Position 460: 8.987123415673559e-10
Position 681: 2.7376669028701447e-10
Position 347: 1.696143370391066e-11
Position 299: 9.40141068494009e-13
Position 285: 8.664829133995544e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 198: 0.9774101960270011
Position 825: 0.01624730860800244
Position 918: 0.009808461100994982
Position 323: 0.007024945868965041
Position 222: 0.004117374343094198
Position 376: 0.003549667707443285
Position 598: 0.0023097561414701694
Position 254: 0.0019242297188735787
Position 296: 0.0018508539821692916
Position 800: 0.001671780647758344
Position 356: 0.0011472691232337982
Position 200: 0.0009213412189488919
Position 741: 0.0005423067652054431
Position 681: 0.0005126392644467028
Position 847: 0.00023622173266212625
Position 696: 0.00022624874415855248
Position 578: 0.0001808150896223462
Position 706: 9.713557678361731e-05
Position 231: 9.20329147103012e-05
Position 712: 5.961835069449264e-05
Position 868: 4.6418627773829186e-05
Position 241: 4.030423936591462e-05
Position 434: 2.4156585236695657e-05
Position 774: 1.8340801979453533e-05
Position 347: 1.4639004287448617e-05
Position 335: 1.1888811781740573e-05
Position 672: 6.873376956942515e-06
Position 535: 5.199408789753266e-06
Position 165: 4.009290514371707e-06
Position 395: 3.4764450955584913e-06
Position 405: 2.7436902221243614e-06
Position 527: 2.625834574646577e-06
Position 857: 2.156331718814932e-06
Position 644: 2.1413690045935704e-06
Position 261: 1.7045704918091165e-06
Position 162: 1.583537729998556e-06
Position 832: 1.0984524601686373e-06
Position 381: 1.2707415637205511e-08
Position 389: 9.380672955781475e-09
Position 159: 8.81189762147408e-09
Position 460: 3.105754288384903e-09
Position 466: 3.0625684524355386e-09
Position 532: 2.7366344822143972e-09
Position 146: 9.207238490930777e-10
Position 142: 7.495026000215898e-10
