Gene = Use1
index = 1587
Annotated 5SS: [430 881]
Annotated 3SS: [ 523 1279]
SMsplice 5SS: [430 881]
SMsplice 3SS: [ 523 1279]
top_k =  500
Partition function (log Z): -0.345028503744826

Sorted 5' Splice Sites (High to Low Probability):
Position 881: 0.968589784129958
Position 430: 0.9341950902045644
Position 456: 0.05634576147184348
Position 1209: 0.019257535492274977
Position 630: 0.007119569903531149
Position 25: 0.004176250038032667
Position 451: 0.0037736893077582306
Position 238: 0.003704026872538362
Position 605: 0.0012666035964695951
Position 739: 0.0010412616324320114
Position 862: 0.0010186991922738887
Position 1280: 0.000979476491832559
Position 231: 0.0008198918428678526
Position 1224: 0.0004156564687563302
Position 891: 0.00023933228293592431
Position 14: 0.00020232226015614687
Position 1170: 0.00017020840636357423
Position 96: 0.00013637116929695621
Position 1232: 9.772846211367142e-05
Position 1177: 8.882809328127875e-05
Position 339: 6.173926862466526e-05
Position 1185: 5.047662842608101e-05
Position 834: 4.373790991104108e-05
Position 304: 2.7954466576202604e-05
Position 1113: 2.493066502540936e-05
Position 904: 2.340527636334401e-05
Position 170: 2.202459502475637e-05
Position 1034: 1.8078480023078424e-05
Position 1285: 1.7772008383884155e-05
Position 885: 1.7765619323327594e-05
Position 976: 1.66700034051371e-05
Position 45: 1.3244623849985368e-05
Position 1008: 1.2884878344334862e-05
Position 229: 1.0851032757527978e-05
Position 297: 1.058832409011675e-05
Position 1021: 1.0273100040772902e-05
Position 909: 9.738695427679381e-06
Position 1320: 6.107259799188456e-06
Position 1356: 6.0923383005840586e-06
Position 1317: 5.939874773818072e-06
Position 179: 3.705469791836198e-06
Position 1404: 3.6134632744294654e-06
Position 589: 2.570501041267261e-06
Position 898: 1.8531392256093786e-06
Position 1143: 1.3783564356860152e-06
Position 489: 1.159978094104004e-06
Position 749: 1.1191154680817959e-06
Position 843: 9.67530823612302e-07
Position 52: 7.286840165063409e-07
Position 1395: 1.644817144288768e-07
Position 742: 5.1829538914591005e-08
Position 744: 4.517452660185022e-08
Position 572: 4.3499996622197426e-08
Position 495: 2.6091430386498067e-08
Position 63: 2.1430469359651038e-08
Position 55: 4.24805855484459e-09
Position 545: 1.1448241681719352e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 523: 0.9852899643441823
Position 1279: 0.9508840286555503
Position 1224: 0.01987111149044021
Position 495: 0.010036430086936667
Position 1021: 0.0055722646254121036
Position 976: 0.004817078648120543
Position 1066: 0.004624442600085168
Position 693: 0.00439025523311936
Position 1299: 0.003448184890703607
Position 336: 0.002833538131949818
Position 699: 0.0027456590053191294
Position 294: 0.001650642695907421
Position 1342: 0.001572266968303935
Position 89: 0.00115556086345966
Position 1077: 0.0010662188936483889
Position 572: 0.0010546016500116934
Position 787: 0.0006368515465019757
Position 1387: 0.00034717486112056055
Position 317: 0.0003157346490875299
Position 1092: 0.00021444788913545563
Position 654: 0.00020827991897118565
Position 1365: 0.0001911473040434869
Position 1157: 0.00012821487529168454
Position 542: 0.00011499877738720428
Position 648: 0.00010743936480145806
Position 1170: 8.510981138995701e-05
Position 1185: 6.716303062978875e-05
Position 1352: 6.547683274078946e-05
Position 1085: 6.11502261940839e-05
Position 1429: 5.788637067766435e-05
Position 793: 5.0465124396189806e-05
Position 266: 4.145553254857218e-05
Position 1311: 4.0991271447188967e-05
Position 1403: 3.822259223974671e-05
Position 926: 3.4970704701951977e-05
Position 227: 3.111141396779138e-05
Position 149: 2.8926287516848902e-05
Position 1451: 2.234977116442016e-05
Position 1369: 2.116282188865646e-05
Position 1308: 1.3818661100319723e-05
Position 915: 1.354718501546336e-05
Position 880: 1.2817673736031589e-05
Position 651: 1.2482406217945962e-05
Position 716: 1.2329732960640048e-05
Position 705: 1.1139745167479746e-05
Position 594: 1.1093525635704925e-05
Position 1314: 9.699043849491133e-06
Position 1426: 8.79724216707325e-06
Position 728: 6.090851469482601e-06
Position 621: 4.700011900215437e-06
Position 142: 4.452967611150709e-06
Position 209: 3.863597837985565e-06
Position 556: 2.9645804916261585e-06
Position 1317: 2.4189856161242512e-06
Position 553: 1.9719763578612136e-06
Position 1459: 1.4119535173692945e-06
Position 369: 1.3360416288202741e-06
Position 581: 9.066639596478787e-07
Position 826: 8.816987506606388e-07
Position 550: 7.688608115757875e-07
Position 170: 6.825465865008559e-07
Position 1323: 6.058918110336157e-07
Position 1401: 5.759489048475429e-07
Position 1256: 5.663615342754927e-07
Position 343: 4.098169193858658e-07
Position 376: 3.6430658155505063e-07
Position 167: 3.3887304988985085e-07
Position 738: 2.881975593986155e-07
Position 391: 2.3420745727218328e-07
Position 179: 2.1923871901325888e-07
Position 380: 1.9296354618713203e-07
Position 160: 1.8385377907906332e-07
Position 630: 1.4188002725359962e-07
Position 795: 1.2817144352087268e-07
Position 128: 1.0827612125222084e-07
Position 257: 8.77240190181891e-08
Position 834: 6.792467590367886e-08
Position 451: 6.571648229956792e-08
Position 416: 4.380255034484109e-08
Position 203: 3.019823531636902e-08
Position 229: 2.577371262234822e-09
Position 428: 2.4649468362592294e-09
Position 663: 1.2536856215368246e-09
