Gene = ush
index = 1923
Annotated 5SS: [47840 49217 60747 61212 61530 63030 63233]
Annotated 3SS: [49171 59802 60816 61328 61642 63089 63297]
SMsplice 5SS: [  112 25456 60747 61212 61530 63030 63233]
SMsplice 3SS: [25258 59802 60816 61328 61642 63089 63297]
top_k =  500
Partition function (log Z): -60.8301344641451

Sorted 5' Splice Sites (High to Low Probability):
Position 112: 0.9999999988875885
Position 25456: 0.9106943813424192
Position 12516: 2.047837229704283e-06
Position 12798: 8.844956981436158e-07
Position 11984: 1.2135131339858417e-07
Position 13095: 1.0613559472734104e-07
Position 13401: 8.371374462964737e-08
Position 442: 4.867831161584942e-08
Position 12924: 4.621015634368973e-08
Position 9130: 3.161285015023162e-08
Position 6564: 2.280611858379471e-08
Position 3541: 2.2019098314536674e-08
Position 12746: 1.877846864645706e-08
Position 3537: 1.567705314162442e-08
Position 11146: 1.155111234944382e-09
Position 3081: 4.97185848151802e-10
Position 2011: 3.9214646057380747e-10
Position 2603: 3.031781360172367e-10
Position 3234: 1.4755871105045953e-10
Position 3300: 1.3870256749068037e-10
Position 239: 1.3261888172028093e-10
Position 3060: 1.157887477659239e-10
Position 548: 9.041392719841743e-11
Position 3242: 7.777940646737684e-11
Position 801: 5.060746628081965e-11
Position 5486: 4.422480161272761e-11
Position 268: 2.5598221702336422e-11
Position 5684: 2.541906024571026e-11
Position 3711: 1.922911795597555e-11
Position 1816: 1.648521251112639e-11
Position 5104: 1.5366341460926258e-11
Position 5108: 1.4858431565715112e-11
Position 3091: 1.1512947303673033e-11
Position 253: 8.507180917650276e-12
Position 90: 8.478165202251358e-12
Position 5015: 8.049871239449034e-12
Position 1620: 7.28950528580274e-12
Position 589: 5.468368128559979e-12
Position 2334: 4.586616861125462e-12
Position 5653: 4.210330140955195e-12
Position 5172: 4.147040842907389e-12
Position 47: 3.0259966667509114e-12
Position 2351: 3.000029504949463e-12
Position 1043: 2.0970971753922375e-12
Position 1348: 2.09439625142908e-12
Position 84: 2.0590662879151194e-12
Position 555: 2.0052361876385684e-12
Position 1205: 1.844465117538965e-12
Position 1103: 1.8126786872395948e-12
Position 1107: 1.371963253003078e-12
Position 162: 1.2881569970666424e-12
Position 692: 1.2012706761141072e-12
Position 1111: 8.278787080705911e-13
Position 221: 5.872860272870479e-13
Position 3806: 4.426441415582005e-13
Position 292: 3.959661271431415e-13
Position 3306: 3.866479447214642e-13
Position 141: 1.4890979954139257e-13
Position 1101: 1.4004842191287743e-13
Position 374: 1.3008333578514987e-13
Position 334: 1.1782860951050078e-13
Position 389: 8.215967084098215e-14
Position 1016: 7.490846771037684e-14
Position 1534: 4.702636123175689e-14
Position 336: 4.538632972074947e-14
Position 2021: 2.97873436372212e-14
Position 1001: 2.894606744039603e-14
Position 503: 2.4296458296445e-14
Position 2205: 1.800666522347916e-14
Position 446: 1.412347020761683e-14
Position 1890: 8.556711211745182e-15
Position 904: 2.7182386625386652e-15
Position 569: 1.84015648782289e-15
Position 671: 1.4049208902486123e-15
Position 528: 1.2044879658900538e-15
Position 968: 6.286933381496351e-16
Position 431: 1.9210915040834617e-16
Position 620: 1.5949225095315716e-16
Position 510: 6.494211099105641e-17
Position 505: 6.457488195362101e-17
Position 338: 6.137967059651095e-17
Position 340: 2.8936914994555284e-17
Position 415: 9.47230581708684e-18
Position 725: 1.6873830821919494e-19
Position 512: 2.0102358520538713e-21

Sorted 3' Splice Sites (High to Low Probability):
Position 25258: 0.9999970640569527
Position 25528: 0.3759399775938639
Position 25523: 0.34652267068130965
Position 26159: 0.1882317330672484
Position 12632: 2.1210084016931893e-06
Position 11861: 2.0069449363744675e-06
Position 13296: 1.7813761380534984e-06
Position 11537: 1.826239588123418e-07
