Gene = RNaseX25
index = 1401
Annotated 5SS: [155]
Annotated 3SS: [353]
SMsplice 5SS: [155]
SMsplice 3SS: [353]
top_k =  500
Partition function (log Z): -4.206346455843964

Sorted 5' Splice Sites (High to Low Probability):
Position 155: 0.9966116476779233
Position 1602: 0.007671791417996727
Position 1428: 0.004906342114975806
Position 837: 0.002880942867039499
Position 990: 0.0021582020965743003
Position 233: 0.0016489928867131213
Position 1073: 0.0015996456682944799
Position 262: 0.001405916375869463
Position 1688: 0.0013245709747602946
Position 863: 0.001230785541074286
Position 422: 0.0011877922353722488
Position 385: 0.0011824809388375527
Position 1210: 0.001152738273322624
Position 486: 0.0004985235657598003
Position 1700: 0.00042591426278383544
Position 1254: 0.00038928063276618216
Position 1356: 0.00031557236900146775
Position 271: 0.0002608512385865765
Position 870: 0.00025891856368716207
Position 1576: 0.00023663247762036204
Position 1099: 0.0002238336673630725
Position 1142: 0.0001925645229179437
Position 1242: 0.0001697555435342701
Position 1557: 0.00016773913779401123
Position 1598: 0.0001335911301737132
Position 811: 0.00013082852426114552
Position 1287: 0.00012246183073104426
Position 1262: 0.00010371892887508366
Position 1224: 9.696562091441863e-05
Position 1538: 9.018937525010962e-05
Position 952: 8.63205885354706e-05
Position 129: 7.293287756052783e-05
Position 474: 7.156439480765955e-05
Position 928: 5.020000620237298e-05
Position 1200: 5.018007388807265e-05
Position 1270: 3.9003105780293723e-05
Position 1245: 3.691265008474878e-05
Position 434: 2.440976081688672e-05
Position 582: 2.4230965832247364e-05
Position 159: 2.2419673577788235e-05
Position 538: 2.210142603767069e-05
Position 587: 1.910240059102484e-05
Position 407: 1.765915306559528e-05
Position 255: 1.5904981035062586e-05
Position 606: 1.4890410602441772e-05
Position 1319: 1.1997224874543197e-05
Position 1112: 1.154027739750144e-05
Position 511: 9.833378533847654e-06
Position 1216: 7.81241669359353e-06
Position 95: 6.187577264183507e-06
Position 1168: 5.578576037016611e-06
Position 1358: 4.381769144269055e-06
Position 1745: 3.9440376683423204e-06
Position 53: 3.148293851843617e-06
Position 1405: 2.572941792303946e-07
Position 1103: 1.789624257885358e-07
Position 490: 5.6510799397164454e-09
Position 762: 2.2407783845119328e-09
Position 1093: 1.87745720643587e-09
Position 363: 1.3608412547205971e-09
Position 105: 1.306215039686842e-09
Position 780: 4.077229906382627e-10
Position 1105: 2.8601991657264575e-10
Position 879: 1.943454395921512e-10
Position 121: 5.497206353882745e-11
Position 333: 1.7707568658665453e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 353: 0.9687470301069891
Position 1761: 0.018035334067803187
Position 305: 0.007978964682837758
Position 1649: 0.006199129000574552
Position 1476: 0.006002192672012401
Position 892: 0.0035100941155695926
Position 1145: 0.0025052882784869805
Position 1043: 0.002431989102952616
Position 1772: 0.002167603961003467
Position 1528: 0.0019541819218917194
Position 1820: 0.00149662727561141
Position 302: 0.0014220408593535348
Position 469: 0.0009268443011178458
Position 255: 0.0009222016207346691
Position 1261: 0.0009092286040164958
Position 1163: 0.0005549263174078096
Position 451: 0.0005445257367461586
Position 1678: 0.0005015131041433182
Position 1598: 0.00047377746991950374
Position 495: 0.0004194834838529991
Position 745: 0.0003915812374922003
Position 1416: 0.00018795526497269427
Position 1307: 0.00018741974695122326
Position 261: 0.00017396821846267686
Position 579: 0.00012111314325929828
Position 1083: 0.00011623973539597398
Position 692: 0.00010862360613362422
Position 1279: 6.816789747887865e-05
Position 952: 5.7896006964624464e-05
Position 402: 5.7840855674302594e-05
Position 1657: 3.5837013933290756e-05
Position 600: 3.3866792377426853e-05
Position 396: 2.971019236877866e-05
Position 422: 2.802585282666641e-05
Position 587: 1.91182771971164e-05
Position 412: 1.622200766067017e-05
Position 849: 1.5478134057886936e-05
Position 1446: 1.3899465255688178e-05
Position 582: 1.2044085584429238e-05
Position 1828: 9.893191667096836e-06
Position 1013: 7.248040309020203e-06
Position 564: 3.772486984102099e-06
Position 723: 3.5722768566840528e-06
Position 711: 3.1608806278752563e-06
Position 1791: 2.9532563368073954e-06
Position 271: 2.2818850506488496e-06
Position 154: 1.0298339507518044e-06
Position 159: 5.112893821285276e-11
Position 393: 1.4406740538287303e-11
Position 483: 9.261033154077385e-15
