Gene = Cpr62Ba
index = 1092
Annotated 5SS: [ 116 6729]
Annotated 3SS: [6575 7078]
SMsplice 5SS: [116]
SMsplice 3SS: [7078]
top_k =  500
Partition function (log Z): -13.303020916382165

Sorted 5' Splice Sites (High to Low Probability):
Position 116: 0.365479309900784
Position 2968: 0.31439730355745626
Position 2231: 0.274890850027026
Position 100: 0.27291724130313105
Position 1748: 0.24271238275814716
Position 6729: 0.18656682718365136
Position 5595: 0.10745708850548777
Position 1989: 0.09671445007127781
Position 369: 0.048844915326336405
Position 637: 0.047980228344465164
Position 866: 0.04714897375874264
Position 407: 0.03854983252533872
Position 875: 0.037951909500279206
Position 507: 0.02035578920558093
Position 2506: 0.02012441958290661
Position 387: 0.007300322045834798
Position 619: 0.006145114051984856
Position 1624: 0.005278785585333668
Position 109: 0.004545279800769825
Position 30: 0.004158338969821639
Position 2105: 0.0022689692254480322
Position 17: 0.0017015522345496413
Position 2011: 0.0012498050455452168
Position 1998: 0.001009439046203596
Position 1693: 0.0010091805944519008
Position 1755: 0.0010013378493012044
Position 355: 0.0009981018567487704
Position 3830: 0.0009375607045171082
Position 2945: 0.0008648603741384732
Position 530: 0.0006103365190008315
Position 479: 0.00036031894401471524
Position 1853: 0.00032106276112800686
Position 2246: 0.0002666561720643632
Position 139: 0.00021913628228675702
Position 1154: 0.00021079074370590007
Position 528: 0.00017860235424204735
Position 1264: 0.00017090805238375968
Position 544: 0.0001645243107355868
Position 1147: 0.00016228849890081328
Position 522: 0.00010681930073490746
Position 254: 9.658758437354298e-05
Position 411: 7.000568004286455e-05
Position 326: 5.9191771463581497e-05
Position 1115: 5.00532869094223e-05
Position 1151: 5.004573463952541e-05
Position 60: 4.884155803151349e-05
Position 734: 4.073048877038775e-05
Position 1089: 3.850399664753195e-05
Position 1120: 3.233993900322441e-05
Position 191: 3.1467470525635614e-05
Position 1051: 2.2526401177273e-05
Position 350: 2.0108220474853287e-05
Position 413: 1.9496477229790202e-05
Position 1204: 1.8283825591858344e-05
Position 310: 1.7760569160401863e-05
Position 339: 1.690946626153259e-05
Position 780: 9.40376649598058e-06
Position 549: 9.333577497187683e-06
Position 1285: 2.7140913532318167e-06
Position 359: 5.360648227773835e-07
Position 12: 3.505896176609523e-07
Position 231: 2.640015576366527e-07
Position 893: 1.5113856310059364e-08
Position 755: 2.4566374732817303e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 7078: 0.6311543352371192
Position 705: 0.27403896615066026
Position 2290: 0.22429930059664252
Position 4302: 0.21147948641213013
Position 6907: 0.21102989431668642
Position 1803: 0.20434695456814586
Position 5665: 0.10235001888082695
Position 2052: 0.08352784159185724
Position 6881: 0.06318188410304748
Position 4379: 0.03172165891753508
Position 2154: 0.027905959302962673
Position 2565: 0.020820062369519946
Position 1355: 0.014468444176767379
Position 2813: 0.007837809597041185
Position 2707: 0.006024351685166839
Position 916: 0.005506691174954532
Position 4794: 0.004976440753471481
Position 2193: 0.004267544288633878
Position 2505: 0.004155092602630527
Position 204: 0.003837177642031855
Position 2109: 0.003446734986976258
Position 1587: 0.002694853690832427
Position 2746: 0.002663903291311332
Position 2318: 0.0026327214358138227
Position 3015: 0.0023724007298406803
Position 3558: 0.0020559376276230792
Position 4272: 0.0016031097920705581
Position 3821: 0.0010651352664646377
Position 3178: 0.0009297726198896276
Position 1154: 0.0006833924037155262
Position 236: 0.0006198535784224726
Position 1449: 0.000562232551073581
Position 2646: 0.0005261639492335018
Position 3485: 0.0005227748755495965
Position 4464: 0.0004732726633329524
Position 3209: 0.00046839060993666775
Position 1987: 0.0003735229673802564
Position 3158: 0.00036856251422912907
Position 528: 0.0003386539070194126
Position 3113: 0.0002806267208804775
Position 3231: 0.00024547347457638444
Position 433: 0.00023805235808649716
Position 1223: 0.00018588818509235515
Position 1204: 0.00018487841167124782
Position 3202: 0.00018394239505877577
Position 3216: 0.0001800523085648911
Position 1612: 0.0001787719872475746
Position 525: 0.0001477111730493112
Position 81: 0.00010820325873473379
Position 428: 0.00010475989722728645
Position 1591: 0.00010158469050706455
Position 976: 8.354483208329717e-05
Position 996: 8.237457231943843e-05
Position 1603: 7.454578683409147e-05
Position 507: 7.28302167055912e-05
Position 1882: 6.954241364859256e-05
Position 1333: 5.742110848195711e-05
Position 797: 5.407582742368108e-05
Position 96: 1.018506739563463e-05
Position 368: 3.730651734125838e-06
Position 594: 2.013349843283159e-06
Position 542: 1.9622357072126803e-06
Position 244: 9.472096410562583e-07
Position 663: 9.404363936302731e-07
Position 740: 6.536448919865619e-07
Position 60: 4.991989186755724e-07
Position 254: 3.9257060418819886e-07
Position 348: 7.621720149589866e-08
Position 126: 4.235626034376955e-08
Position 132: 2.1848498591006523e-08
Position 438: 1.9008677408062124e-08
Position 330: 1.7764094309395575e-08
