Gene = Spf45
index = 1512
Annotated 5SS: [ 187 1242]
Annotated 3SS: [ 241 1302]
SMsplice 5SS: [187]
SMsplice 3SS: [241]
top_k =  500
Partition function (log Z): -7.320358250209364

Sorted 5' Splice Sites (High to Low Probability):
Position 187: 0.9091700315098187
Position 1242: 0.3396804703660979
Position 1073: 0.07936264262463687
Position 482: 0.07764295486992465
Position 1112: 0.044851219686094616
Position 842: 0.03595653742108753
Position 663: 0.01348758868413937
Position 1052: 0.011906824758804425
Position 1135: 0.010353644935112965
Position 453: 0.007007427945121316
Position 163: 0.00560409151393509
Position 345: 0.004264626063389964
Position 861: 0.0033517577467115584
Position 1213: 0.0031182608027544257
Position 1230: 0.003086362708815317
Position 257: 0.0026950093293128955
Position 1154: 0.0017496768570525797
Position 983: 0.0016453626904654047
Position 268: 0.0011481272482418323
Position 595: 0.0010438931854317571
Position 191: 0.0009643581987303525
Position 1344: 0.0006559063075401847
Position 625: 0.0006434047416918906
Position 1208: 0.0005593098979112185
Position 801: 0.0005174698879325475
Position 1145: 0.0005082903711075612
Position 864: 0.00039335775321144406
Position 1256: 0.0003522452835045824
Position 43: 0.00029139975979618606
Position 522: 0.00026738251984384693
Position 1005: 0.00022311757162979124
Position 1373: 0.00020157313802894876
Position 293: 0.0001503940367221544
Position 536: 0.00011123574319445521
Position 1196: 9.509781394740762e-05
Position 647: 8.854069037255679e-05
Position 254: 7.549926666505048e-05
Position 1002: 6.9353430144891e-05
Position 890: 6.715670952285761e-05
Position 1355: 6.358028560188731e-05
Position 711: 5.510162675828028e-05
Position 1272: 2.1712373294911653e-05
Position 144: 1.5300223012363865e-05
Position 566: 1.49377787796519e-05
Position 78: 1.1359237230047273e-05
Position 342: 9.135664233115832e-06
Position 175: 7.979997358942009e-06
Position 46: 7.854105057402335e-06
Position 238: 6.194424283048688e-06
Position 52: 5.582650790496548e-06
Position 540: 5.2108401098291265e-06
Position 795: 4.380670873327783e-06
Position 126: 2.984725638794172e-06
Position 320: 1.974564383542841e-06
Position 13: 9.414511057507298e-07
Position 717: 9.313232674423614e-07
Position 714: 6.40266970965801e-07
Position 66: 4.6140838675441627e-07
Position 323: 4.2745216378883844e-07
Position 300: 1.8767029949753014e-07
Position 543: 9.992498872366434e-08
Position 23: 4.364359307477143e-08
Position 26: 1.6632097939929377e-09
Position 395: 7.519718499424092e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 241: 0.6203835525805103
Position 1302: 0.5788935855793086
Position 941: 0.09487791265171804
Position 284: 0.09133348231313639
Position 908: 0.0670323942052507
Position 320: 0.05075129923134496
Position 750: 0.013980262083329295
Position 979: 0.012167121605845982
Position 1468: 0.008760780158709987
Position 790: 0.004313734580708616
Position 254: 0.0035917529382249627
Position 267: 0.0029974455768718516
Position 1135: 0.0021011726921864467
Position 342: 0.0019604404185213395
Position 1308: 0.001636756731134341
Position 1279: 0.001094654975004192
Position 372: 0.0010865545538440915
Position 695: 0.0007584695353746453
Position 1435: 0.0007254698004518523
Position 1397: 0.0007172626168754255
Position 1445: 0.0006458750934736614
Position 650: 0.0005608520318166851
Position 420: 0.0005167393140157834
Position 381: 0.0004373430189758282
Position 211: 0.00031061549103859903
Position 711: 0.00028966953458421483
Position 446: 0.0002691785134999258
Position 1474: 0.00023822521085469848
Position 518: 0.00018129409092686486
Position 479: 0.00017654499681051854
Position 350: 0.00014117304716020835
Position 290: 0.00014084668499272403
Position 558: 0.00010400581532272455
Position 586: 0.0001030201306391541
Position 722: 9.229588715439061e-05
Position 110: 8.19675734644699e-05
Position 293: 6.348669442357582e-05
Position 1076: 5.5584148051783996e-05
Position 150: 1.3014948737786264e-05
Position 887: 1.0225044368169228e-05
Position 114: 9.817289511020602e-07
Position 98: 7.513922420592293e-07
Position 820: 3.483182337090883e-07
Position 462: 2.7956205786529915e-07
Position 591: 9.180703222777058e-08
Position 156: 8.343817971960813e-08
Position 448: 2.3079495916883172e-08
Position 187: 3.3850500339183177e-09
Position 497: 3.1526804210305257e-09
Position 453: 1.1375947680691806e-10
Position 163: 3.8604006859138064e-11
Position 191: 8.745253529252902e-14
