Gene = Ssl1
index = 1527
Annotated 5SS: [ 60 342 737]
Annotated 3SS: [116 394 788]
SMsplice 5SS: [ 60 342 737]
SMsplice 3SS: [116 394 788]
top_k =  500
Partition function (log Z): 1.5271598899546435

Sorted 5' Splice Sites (High to Low Probability):
Position 60: 0.9933103841662709
Position 737: 0.9857836023818103
Position 342: 0.9074502334231543
Position 1096: 0.09068031607548084
Position 350: 0.024256649796383898
Position 1648: 0.015717079369108673
Position 352: 0.010757916784454053
Position 364: 0.0042508786654024714
Position 173: 0.003146323634188957
Position 182: 0.0011325846816537526
Position 38: 0.0005816757018938691
Position 164: 0.0003302368971972461
Position 275: 0.0003005652725879773
Position 195: 0.0002902658513437388
Position 186: 0.0002353345727410673
Position 309: 0.00021924096267057885
Position 687: 0.00021826121408025982
Position 159: 0.00021502004668633789
Position 521: 0.00018831780183717808
Position 982: 0.00016802362590877544
Position 1695: 0.0001662155727561107
Position 862: 0.00011095855697226212
Position 1638: 0.00010246736596067604
Position 954: 9.4662801068105e-05
Position 49: 7.183559992129097e-05
Position 584: 7.036436670718933e-05
Position 920: 6.302755745936192e-05
Position 1489: 4.4165562331304176e-05
Position 255: 2.7814230432465815e-05
Position 1171: 1.6737695552469132e-05
Position 485: 1.6523823853466412e-05
Position 224: 1.3281193875927355e-05
Position 1613: 1.3274458223244654e-05
Position 1631: 1.10649374142213e-05
Position 1688: 1.0812046350083088e-05
Position 1765: 8.565387184331448e-06
Position 1517: 5.829487948747665e-06
Position 1780: 5.363833278847635e-06
Position 714: 3.2027307257656024e-06
Position 184: 1.984000766981099e-06
Position 146: 1.9440242698865765e-06
Position 591: 1.9107187314727287e-06
Position 157: 1.8677687694158716e-06
Position 555: 1.3639589996957e-06
Position 113: 9.340181062836537e-07
Position 1448: 4.3019104259542714e-07
Position 1372: 3.4313612926994996e-07
Position 258: 3.0846790837488206e-07
Position 865: 2.955834887132491e-07
Position 356: 1.9463022117110838e-07
Position 525: 1.4286439576336325e-07
Position 892: 1.1700512565343122e-07
Position 6: 6.178608329001294e-08
Position 870: 5.596150671470005e-08
Position 1200: 4.2374779936879134e-08
Position 620: 3.4007119124856385e-08
Position 759: 3.355790398486086e-08
Position 993: 3.1797974372075226e-08
Position 528: 2.1161692620526357e-08
Position 608: 1.1995419824605679e-08
Position 102: 1.1706142873333265e-08
Position 799: 9.475842692578077e-09
Position 1089: 2.4411055381855514e-10
Position 545: 2.5217693642703934e-11
Position 783: 4.402336497865479e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 788: 0.9574689592375508
Position 394: 0.9505617407312977
Position 116: 0.9118705000975627
Position 1164: 0.08159697383184293
Position 144: 0.04255603363617443
Position 812: 0.021981424093225333
Position 258: 0.019105823319270004
Position 1712: 0.01613320668497795
Position 176: 0.011405390248971
Position 1216: 0.007382311311947571
Position 222: 0.0037587495727310063
Position 444: 0.0032308343193057855
Position 861: 0.003148370306418188
Position 204: 0.001618432868864884
Position 1609: 0.0013300992948209426
Position 1716: 0.0009015785563180112
Position 838: 0.0008335346718113633
Position 266: 0.0006630532102175472
Position 1099: 0.0005601893777732782
Position 1277: 0.00045416826556933813
Position 1029: 0.00042585603115407743
Position 157: 0.00036103845657058895
Position 1095: 0.0003218075587964087
Position 1433: 0.00031917619647247404
Position 1530: 0.0002696658645330597
Position 1765: 0.0002454818718127206
Position 1511: 0.00016965682846021955
Position 643: 0.0001658831697668214
Position 1465: 0.00014032352753945196
Position 1119: 0.00013993124196381063
Position 632: 0.0001304488021607287
Position 458: 0.00010714361626744714
Position 470: 6.719322714461606e-05
Position 455: 6.587199329291204e-05
Position 407: 6.505972231752174e-05
Position 1833: 6.226372285840884e-05
Position 1626: 6.116238272527357e-05
Position 398: 5.624690965402183e-05
Position 1002: 4.931528355619944e-05
Position 651: 3.8203699387787234e-05
Position 476: 3.680312380260648e-05
Position 1647: 3.476280351493876e-05
Position 596: 3.060806862653426e-05
Position 1182: 2.9283415356126162e-05
Position 545: 1.9015736023521444e-05
Position 1125: 1.6219782579238044e-05
Position 1176: 1.5906678345760107e-05
Position 1527: 1.430308881187021e-05
Position 1631: 1.3239842015978497e-05
Position 1171: 1.3228276928529032e-05
Position 1281: 1.3151630172914709e-05
Position 660: 1.1385278986047834e-05
Position 494: 7.724254498250633e-06
Position 1663: 6.259169012605928e-06
Position 416: 3.1017216607966426e-06
Position 757: 2.912895222919291e-06
Position 472: 2.556873762888349e-06
Position 275: 2.052835872021512e-06
Position 674: 1.1148820017935089e-06
Position 686: 1.031891206648812e-06
Position 605: 6.009937197406627e-07
Position 669: 5.924592771986682e-07
Position 485: 4.963475474841022e-07
Position 726: 4.404416684568431e-07
Position 963: 3.6187924558998955e-07
Position 446: 2.4402499410838866e-07
Position 732: 1.7959235789874313e-07
Position 966: 1.75567449024884e-07
Position 491: 1.4656034504685963e-07
Position 295: 6.552328076915571e-08
Position 297: 6.365245850552644e-08
Position 336: 3.9159167099027526e-08
Position 306: 3.202128732327306e-08
Position 303: 1.2773865309673853e-08
Position 309: 8.056538699805708e-09
Position 59: 2.151498682431055e-09
Position 291: 1.4027044165955917e-09
Position 64: 1.3068612671957458e-13
