Gene = tra
index = 1916
Annotated 5SS: [ 47 699]
Annotated 3SS: [294 755]
SMsplice 5SS: [ 47 699]
SMsplice 3SS: [119 755]
top_k =  500
Partition function (log Z): -4.678243483790569

Sorted 5' Splice Sites (High to Low Probability):
Position 699: 0.9425268181628326
Position 47: 0.5959634656501565
Position 61: 0.1212824324966244
Position 405: 0.023804744673759762
Position 638: 0.013863878242549248
Position 256: 0.009043224765443857
Position 422: 0.003061389180907975
Position 703: 0.002285808729578457
Position 678: 0.001890696235570644
Position 228: 0.0014222106016575106
Position 219: 0.0010076104831725208
Position 706: 0.0009728579166320481
Position 311: 0.0008065528675890122
Position 672: 0.00042276238205251433
Position 713: 0.00015957977602712393
Position 766: 8.11040494374596e-05
Position 604: 1.93870044289321e-05
Position 104: 1.0291502489952453e-05
Position 389: 1.0163935536963442e-05
Position 595: 7.194005813708059e-06
Position 29: 6.683356020048464e-06
Position 565: 6.142494382071766e-06
Position 138: 3.535480252625463e-06
Position 91: 1.6923525314593387e-06
Position 129: 1.3439572203733903e-06
Position 778: 1.2737757334236202e-06
Position 556: 1.242122543294685e-06
Position 107: 9.260357726536792e-07
Position 619: 8.509690340470007e-07
Position 301: 4.3625017350100723e-07
Position 488: 3.9319058216810765e-07
Position 121: 1.1374809585641898e-08
Position 131: 9.625546341531558e-09
Position 119: 1.2053984006087784e-09
Position 580: 8.508992114821e-12
Position 491: 3.732699304280738e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 755: 0.9604074804116267
Position 119: 0.6757083355513863
Position 399: 0.023132321498866324
Position 475: 0.022803156443438312
Position 294: 0.01659632311163959
Position 773: 0.004299532817298715
Position 460: 0.0037923525238004684
Position 310: 0.0035141359793134557
Position 793: 0.002314581374328774
Position 171: 0.002279122143105678
Position 481: 0.0012723839526187807
Position 778: 0.0008772859138445772
Position 832: 0.00037237237787576566
Position 556: 0.0002433724177782737
Position 499: 0.00017698174172142697
Position 589: 0.00015977052308850653
Position 333: 0.00014723196839540827
Position 260: 9.374140989867625e-05
Position 656: 6.960307524703227e-05
Position 562: 5.8992505269936886e-05
Position 565: 5.607941072537642e-05
Position 514: 4.4871236297738535e-05
Position 352: 4.00075498291874e-05
Position 604: 3.039479272430216e-05
Position 91: 2.329778558351689e-05
Position 442: 2.0745394173971826e-05
Position 689: 2.0022301907491143e-05
Position 535: 1.9304822007810073e-05
Position 367: 1.588524819277589e-05
Position 538: 1.2811760489036326e-05
Position 508: 9.952183594435149e-06
Position 198: 9.56236713883636e-06
Position 488: 7.878062126026291e-06
Position 175: 7.412206428930994e-06
Position 364: 5.24160829772226e-06
Position 430: 4.230454121792411e-06
Position 331: 3.799676840624413e-06
Position 527: 2.4370735755073997e-06
Position 416: 2.229687785419833e-06
Position 517: 1.9243981344393784e-06
Position 177: 1.418962980606173e-06
Position 151: 1.2576240304322248e-06
Position 601: 1.1526888239866513e-06
Position 880: 1.0802257030386707e-06
Position 186: 1.0527221633492917e-06
Position 703: 1.022487679616126e-06
Position 595: 9.972950421509912e-07
Position 842: 9.283885238701337e-07
Position 706: 6.109215294375895e-07
Position 356: 1.2763246244540988e-08
Position 183: 1.0001420496414848e-08
Position 383: 2.4961124593533803e-09
Position 190: 9.248275498627347e-10
Position 327: 5.927778312472462e-10
Position 79: 3.8444974404631344e-10
Position 181: 3.658628756074819e-10
Position 411: 2.588117204121891e-10
