Gene = aurB
index = 1616
Annotated 5SS: [ 251 1024]
Annotated 3SS: [ 305 1083]
SMsplice 5SS: [ 251 1024]
SMsplice 3SS: [ 305 1083]
top_k =  500
Partition function (log Z): -2.1457619699890014

Sorted 5' Splice Sites (High to Low Probability):
Position 1024: 0.9781245353648373
Position 251: 0.9730652408984358
Position 255: 0.002608278459203475
Position 1243: 0.0006144303932852569
Position 177: 0.0005498213794918543
Position 463: 0.00045263408146810547
Position 764: 0.00044015887976280905
Position 418: 0.000395482659956693
Position 642: 0.0003897545313345349
Position 1225: 0.00019548885411993882
Position 212: 0.0001713777483178421
Position 633: 0.0001424621780704252
Position 1232: 0.0001409212886833042
Position 876: 0.0001205621511570494
Position 1241: 8.931974141755897e-05
Position 655: 5.229859242060215e-05
Position 691: 3.906043186960898e-05
Position 1028: 2.788806827710047e-05
Position 227: 1.941741392946867e-05
Position 570: 1.7463417310126327e-05
Position 900: 1.5521682711000294e-05
Position 458: 1.3552956765467823e-05
Position 838: 1.2227698280431898e-05
Position 768: 1.0202885974754637e-05
Position 528: 7.461744054747335e-06
Position 865: 5.702294594031464e-06
Position 1144: 4.996841188007728e-06
Position 873: 4.767498376777104e-06
Position 451: 3.3661310845465738e-06
Position 406: 1.69212687853857e-06
Position 486: 1.6825410232379737e-06
Position 914: 1.1647350260780582e-06
Position 274: 8.571599748462204e-07
Position 599: 8.010379007585862e-07
Position 108: 7.141946538564005e-07
Position 423: 6.373373852765392e-07
Position 993: 5.61572384322491e-07
Position 585: 4.938628948283934e-07
Position 804: 4.105054622062672e-07
Position 1126: 3.210070466775753e-07
Position 891: 3.194048689576802e-07
Position 1120: 2.216370441469664e-07
Position 907: 2.1200925593228573e-07
Position 927: 2.0357951712697966e-07
Position 904: 9.983107385343456e-08
Position 677: 3.6800396070492225e-08
Position 1038: 2.1321276295917794e-08
Position 368: 1.1610506139478877e-11
Position 370: 5.311137293442008e-12
Position 284: 3.568107257638022e-12
Position 317: 1.076039165673285e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 305: 0.97586563573333
Position 1083: 0.9731075785239318
Position 1066: 0.0036480830548679187
Position 1095: 0.0013503486605886809
Position 1293: 0.0010683784166806256
Position 797: 0.0007048847481581663
Position 734: 0.0005472656217105537
Position 834: 0.00035897474412627657
Position 935: 0.00026940086946085324
Position 711: 0.00026673746102043837
Position 1149: 0.00016860523301180202
Position 1259: 0.00014385516976853397
Position 750: 3.039111485192442e-05
Position 333: 2.5468312952970502e-05
Position 873: 2.0931516070707266e-05
Position 462: 2.0452383984158113e-05
Position 1104: 1.725118795413589e-05
Position 317: 1.6959551292910456e-05
Position 717: 1.66919136648202e-05
Position 792: 1.2633343508994259e-05
Position 417: 1.149391920796211e-05
Position 456: 1.1171998993327394e-05
Position 900: 9.977740958012775e-06
Position 642: 9.917985641547933e-06
Position 1100: 9.841008743587181e-06
Position 655: 7.804506154430223e-06
Position 999: 7.42186939653357e-06
Position 480: 4.545415728871803e-06
Position 486: 4.2634229158574454e-06
Position 591: 1.0813668839529108e-06
Position 498: 8.762099929327318e-07
Position 430: 8.357151470121718e-07
Position 1176: 6.650760958499604e-07
Position 248: 5.58215240220428e-07
Position 953: 5.30971798553968e-07
Position 1008: 5.223213236649291e-07
Position 1182: 4.929477789775897e-07
Position 221: 3.810693229258913e-07
Position 1166: 3.6510872193520467e-07
Position 576: 3.524009069902556e-07
Position 176: 2.1415741852501165e-07
Position 957: 1.8989179953030856e-07
Position 435: 1.828979545469228e-07
Position 927: 1.5736831815911453e-07
Position 540: 1.3479849355966792e-07
Position 1170: 8.847193854954971e-08
Position 582: 7.047128854393984e-08
Position 474: 6.969498758310842e-08
Position 432: 4.999739611718241e-08
Position 1203: 4.7204066643266736e-08
Position 444: 1.4891237985549809e-08
Position 194: 1.603780370557955e-10
Position 185: 7.226958576475622e-11
Position 188: 3.132575837541458e-11
Position 206: 6.501056083802963e-12
Position 197: 2.239899727453477e-12
Position 268: 2.234834900886577e-12
Position 261: 1.4717788032235948e-13
Position 387: 1.235267968038028e-13
