Gene = Pde1c
index = 1363
Annotated 5SS: [ 54316  69682  90090  93483  95313  98296 109973 111220]
Annotated 3SS: [ 69011  89798  92920  95198  97740 109722 110078 111865]
SMsplice 5SS: [  2082  70256  90090  93483  95313 109973 111220]
SMsplice 3SS: [ 70181  89798  92920  95198 109722 110078 111865]
top_k =  500
Partition function (log Z): -135.06006405089002

Sorted 5' Splice Sites (High to Low Probability):
Position 2082: 0.5182556315998075
Position 12373: 0.321998815168647
Position 1175: 0.20480181498037306
Position 13040: 0.2022058414433758
Position 147: 0.1954150484773844
Position 887: 0.11113358659223081
Position 711: 0.09947034778694187
Position 1181: 0.06297429211992457
Position 30: 0.04750606712130401
Position 707: 0.04168935207073765
Position 934: 0.03933924645126776
Position 13220: 0.03817202973123866
Position 874: 0.034175748716026084
Position 3031: 0.023982468400552247
Position 7706: 0.023969502310505222
Position 1725: 0.02041251273236364
Position 251: 0.016832959248239663
Position 12857: 0.015671767987658763
Position 12630: 0.014556691027403552
Position 672: 0.014094882763484492
Position 12676: 0.011013292596556364
Position 670: 0.0036993640539487948
Position 2106: 0.002830710069283096
Position 7518: 0.002649355015542837
Position 168: 0.002219955146958202
Position 6838: 0.0018032366736740898
Position 681: 0.0012069127230562812
Position 131: 0.0011917514463886762
Position 129: 0.001124656993944596
Position 133: 0.001031211558635436
Position 127: 0.0008964908425504991
Position 135: 0.00087327347094874
Position 496: 0.0008342521636722705
Position 401: 0.0008307331103170216
Position 6661: 0.0007131897705617724
Position 125: 0.000674847220981285
Position 1008: 0.0004678263575051201
Position 1398: 0.00043615555786374936
Position 679: 0.00042333478988234034
Position 227: 0.0003917662724917885
Position 843: 0.0003705030317605065
Position 1717: 0.00036010536158212665
Position 507: 0.0003481260745736823
Position 697: 0.0002703692570584123
Position 999: 0.000268815644128573
Position 123: 0.0002483961395474236
Position 349: 0.0001908166145338965
Position 275: 0.000160137270172442
Position 317: 0.00015682050066919068
Position 96: 0.00015094917291429342
Position 548: 0.00010293089161308196
Position 554: 6.805865727142009e-05
Position 643: 4.148602468566729e-05
Position 723: 4.025003885216669e-05
Position 73: 3.850914806870529e-05
Position 608: 3.7534873396052e-05
Position 139: 3.735983403968904e-05
Position 328: 2.7090916959686522e-05
Position 38: 2.362465230403172e-05
Position 981: 1.3359854362930074e-05
Position 117: 1.1251413653525405e-05
Position 98: 1.0817195314949305e-05
Position 137: 7.822042295804263e-06
Position 145: 4.945153050006484e-06
Position 1367: 4.7739838721347175e-06
Position 645: 4.461562281603385e-06
Position 425: 1.23904768656638e-06
Position 470: 1.052681652621148e-06
Position 151: 7.613019752278518e-07
Position 467: 5.95201083428114e-07
Position 3: 5.180692354754229e-07
Position 159: 4.895596598773883e-07
Position 540: 4.3056434865162203e-07
Position 759: 3.912869241642199e-07
Position 4870: 6.746340184856248e-08
Position 5276: 6.280668656383361e-08
Position 6: 8.069368048739592e-09
Position 4656: 4.987646283884765e-10
Position 85: 1.646903084706839e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 16863: 0.9959576757357383
Position 11829: 0.3362235572160926
Position 779: 0.17830879512684247
Position 12521: 0.1402925813317508
Position 12500: 0.1229383825908561
Position 951: 0.07357941333350114
Position 1497: 0.04346228291126894
Position 1784: 0.04013918029535825
Position 1086: 0.026071711831388136
Position 1260: 0.020432731427929948
Position 7262: 0.019428070787155933
Position 1002: 0.014891170046997474
Position 2174: 0.010057452993714836
Position 1031: 0.009464623837331553
Position 1957: 0.007989124827785913
Position 12665: 0.0067057187011717746
Position 7141: 0.003582924210515065
Position 2150: 0.003279213159273227
Position 1263: 0.003121714806029282
Position 6479: 0.003073898131309496
Position 7573: 0.002649355015542837
Position 2856: 0.0024729322202501135
Position 2334: 0.0022992861998592227
Position 194: 0.0018324854376346631
Position 1724: 0.00179148437871784
Position 1005: 0.0015273611645294108
Position 14992: 0.0014957039155576658
Position 826: 0.0013347126253260863
Position 2909: 0.0013113833424257012
Position 2978: 0.0011949222125568523
Position 2730: 0.0011929070628024676
Position 332: 0.001161065498067113
Position 759: 0.0009138976440178711
Position 1174: 0.0007363856494922581
Position 1266: 0.0006789226570947032
Position 317: 0.0006312812555954813
Position 2889: 0.0005891377061071094
Position 1522: 0.00045980693924307995
Position 1554: 0.00037905253135063624
Position 5166: 0.000263449049154369
Position 1060: 0.0002468310420120102
Position 2461: 0.00023004049290873665
Position 5498: 0.0001419549338638458
Position 81: 0.00010796003651646425
Position 830: 8.331207115274829e-05
Position 623: 5.328550402409458e-05
Position 575: 3.505596182367989e-05
Position 222: 2.1373122985361133e-05
Position 859: 1.7956070667595716e-05
Position 111: 1.644525355246065e-05
Position 275: 1.419831679493614e-05
Position 1141: 1.399048607283862e-05
Position 425: 1.1737475700761178e-05
Position 457: 1.140372463597461e-05
Position 480: 1.019775868655351e-05
Position 349: 6.735496045370966e-06
Position 362: 5.6130090408875474e-06
Position 2426: 5.116529651179083e-06
Position 1367: 5.076146056833819e-06
Position 2307: 4.781831745645767e-06
Position 2205: 4.6960210108856214e-06
Position 2790: 3.997181342769876e-06
Position 346: 3.5262983377657286e-06
Position 1128: 2.5682735440044467e-06
Position 145: 1.5974192000229755e-06
Position 8029: 3.1579856435414404e-07
Position 245: 1.336386833477776e-07
Position 6188: 3.7987825190341084e-08
Position 5454: 3.645974333564854e-08
Position 4793: 3.322847377229307e-08
Position 4745: 2.1519412967725244e-08
Position 4551: 2.09664280865531e-08
Position 5063: 2.092563363608484e-08
Position 3119: 2.086637371209312e-08
Position 3241: 2.2192645146263902e-09
Position 3142: 2.0601187833660776e-09
Position 3905: 1.971002056406395e-09
Position 2950: 5.342163133760572e-10
