Gene = ms(2)35Ci
index = 1797
Annotated 5SS: [211 479 680]
Annotated 3SS: [267 540 740]
SMsplice 5SS: [211 479 680]
SMsplice 3SS: [267 540 740]
top_k =  500
Partition function (log Z): -0.3498464298645749

Sorted 5' Splice Sites (High to Low Probability):
Position 479: 0.9941893511219313
Position 680: 0.9528391618541411
Position 211: 0.6961562840284883
Position 197: 0.03590120439776214
Position 1221: 0.01734519714150475
Position 1431: 0.003758263950015136
Position 1428: 0.0034345120382778525
Position 616: 0.0024382932587359786
Position 215: 0.0017435903222214938
Position 1289: 0.0007754286621062743
Position 857: 0.0007432911381708513
Position 684: 0.0005077461148010915
Position 1586: 0.00034238553510878655
Position 82: 0.0003352551189704224
Position 788: 0.00031661330174219567
Position 1358: 0.0002700651878303347
Position 1305: 0.00022104542409346868
Position 571: 0.00014601172102984996
Position 136: 0.00012350749070246623
Position 331: 0.00011198253933047718
Position 1435: 8.986240659648021e-05
Position 286: 8.67177535215955e-05
Position 24: 7.045227485504971e-05
Position 1225: 6.116292533343578e-05
Position 141: 3.5503442975751616e-05
Position 663: 3.494191312843473e-05
Position 455: 3.064092076157794e-05
Position 1235: 2.5800508420859145e-05
Position 303: 2.487076382290467e-05
Position 844: 2.4434912323123223e-05
Position 353: 2.194669720891466e-05
Position 339: 2.0359336330113044e-05
Position 133: 1.7956153671919467e-05
Position 1579: 1.0710459681998147e-05
Position 1101: 9.820951492752886e-06
Position 1320: 8.02309201881061e-06
Position 1313: 7.327716792253617e-06
Position 297: 7.237881137188683e-06
Position 968: 6.776998837122441e-06
Position 365: 5.894809169534971e-06
Position 1008: 5.310818327160473e-06
Position 892: 4.780098994107531e-06
Position 854: 4.272142476324011e-06
Position 1204: 3.9241346009638e-06
Position 1444: 3.824591388520293e-06
Position 1095: 3.478616638392098e-06
Position 517: 3.446972378354739e-06
Position 385: 3.059606583809696e-06
Position 126: 2.961497755128957e-06
Position 27: 2.526240229128375e-06
Position 646: 2.0408325064942526e-06
Position 1546: 1.5375603429980679e-06
Position 206: 1.526174833264103e-06
Position 110: 4.993282012725799e-07
Position 793: 2.207214348031706e-07
Position 562: 2.1456342611539693e-07
Position 920: 1.0003950816153813e-07
Position 909: 5.230747577804328e-08
Position 584: 3.431230717107667e-08
Position 1133: 2.2877268587188812e-08
Position 764: 1.460392520961825e-08
Position 1113: 1.2294285826663923e-08
Position 1107: 1.1137478113015185e-08
Position 1119: 3.769192345819229e-09
Position 755: 3.1348249824470025e-09
Position 743: 3.1105270110325995e-09
Position 740: 2.511880225805922e-09
Position 758: 2.146582882581194e-09
Position 534: 1.3988429450651609e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 540: 0.9979190973129105
Position 740: 0.9411208972814893
Position 267: 0.4404240253037112
Position 338: 0.22990223167725038
Position 303: 0.04527936569738431
Position 1382: 0.019720014503533972
Position 1507: 0.013487210373212403
Position 359: 0.005373112824624063
Position 286: 0.002705258754948274
Position 1089: 0.0025386006300743306
Position 283: 0.002373482685856894
Position 988: 0.0017974036695121102
Position 822: 0.0017829448975370964
Position 309: 0.001524818454836641
Position 248: 0.0010616972690613402
Position 562: 0.0008449477779756675
Position 1022: 0.0006843159119688878
Position 959: 0.0005938643839950994
Position 385: 0.0005721952301787524
Position 139: 0.0003571366794383463
Position 937: 0.0002941421932328481
Position 1637: 0.0002440966273313894
Position 868: 0.00023390521002224053
Position 793: 0.00018198410011431205
Position 635: 0.00016996189578418773
Position 365: 0.00016679352999665465
Position 1289: 0.00014356414954931355
Position 1431: 0.0001368191380914331
Position 516: 0.00011515814753573703
Position 368: 0.00011058727046071452
Position 1630: 0.0001099903280523612
Position 840: 8.72195339402227e-05
Position 684: 7.499980642348584e-05
Position 1201: 5.3141420647510536e-05
Position 1305: 3.99040601293358e-05
Position 107: 2.7673549790096022e-05
Position 1389: 2.2989978109783793e-05
Position 507: 2.105279705168695e-05
Position 787: 1.6832466493056986e-05
Position 1095: 1.2794160579632317e-05
Position 1615: 5.0878824046891385e-06
Position 1107: 4.635754459814692e-06
Position 77: 1.8137818927135942e-06
Position 1634: 1.6296488630142991e-06
Position 69: 1.447067918417581e-06
Position 483: 1.2141559028900706e-06
Position 193: 5.029054858455376e-07
Position 227: 4.2453085771387126e-07
Position 82: 1.8929408293889532e-07
Position 1029: 1.0089123622079065e-07
Position 162: 9.603335605140197e-08
Position 201: 7.406774589666586e-08
Position 110: 7.07013367239923e-08
Position 178: 1.0975396340366654e-11
Position 170: 1.0355246440210213e-12
Position 180: 2.7315129801967773e-14
