Gene = bol
index = 1631
Annotated 5SS: [ 4509 21360 21772 26274 26450 26787 27064]
Annotated 3SS: [20917 21617 26213 26331 26709 27029 31597]
SMsplice 5SS: [  128 21360 21772 22244 26274 26450 26787 27064]
SMsplice 3SS: [20917 21617 22036 26213 26346 26709 27029 32837]
top_k =  500
Partition function (log Z): -47.14370902272788

Sorted 5' Splice Sites (High to Low Probability):
Position 128: 0.6942832706114752
Position 8820: 0.4733100016045662
Position 861: 0.09898677330847942
Position 1748: 0.08328227585490998
Position 1332: 0.05038722795324876
Position 144: 0.03486691305959677
Position 816: 0.0243010926050215
Position 377: 0.02139490969287721
Position 494: 0.013990640023831338
Position 2693: 0.006248457468334832
Position 2322: 0.0026327134297703726
Position 4999: 0.002516604720420486
Position 2179: 0.00222895878121394
Position 2951: 0.0017512804713941865
Position 1110: 0.001573180865435013
Position 1146: 0.0010161865458261493
Position 2482: 0.0006124556005907428
Position 1757: 0.0004899657826971995
Position 131: 0.0002979689616666914
Position 1469: 0.00026053313143994955
Position 618: 0.00018314675889034192
Position 1363: 0.00016879434358495833
Position 2736: 0.00014268406338514253
Position 424: 0.00011016107255737613
Position 457: 8.570535553477841e-05
Position 2727: 7.848035206551366e-05
Position 2183: 7.822872157433229e-05
Position 272: 7.570650204771454e-05
Position 199: 7.531349012081202e-05
Position 4509: 4.7264541994593066e-05
Position 1037: 4.708342015479501e-05
Position 1721: 4.611587602923632e-05
Position 613: 4.432685409397182e-05
Position 1347: 4.231623865069084e-05
Position 1062: 3.991248187700214e-05
Position 164: 3.920980916110321e-05
Position 295: 3.813119410233064e-05
Position 31: 3.439517410415858e-05
Position 404: 3.22508512717262e-05
Position 2132: 3.19882644718704e-05
Position 690: 3.097663351260623e-05
Position 1121: 3.088815392772716e-05
Position 446: 2.7920077206580068e-05
Position 86: 2.4543428593560994e-05
Position 356: 2.2459400891616334e-05
Position 854: 2.0627133355242773e-05
Position 1829: 1.9655896184011746e-05
Position 41: 1.901982928152346e-05
Position 351: 1.8615783919868815e-05
Position 886: 1.696525947547377e-05
Position 809: 1.6854662113697713e-05
Position 81: 1.3944020287416668e-05
Position 775: 1.3192528121816593e-05
Position 283: 1.2778612207466988e-05
Position 47: 7.797440536260945e-06
Position 903: 4.920955766960729e-06
Position 320: 4.552410931068052e-06
Position 416: 3.393799407087387e-06
Position 76: 3.14754606581035e-06
Position 342: 2.1628268869612725e-06
Position 1004: 2.0540824075875755e-06
Position 2163: 1.4585700401461334e-06
Position 1529: 1.0447610085435e-06
Position 5: 1.0166916015463916e-06
Position 923: 9.510097727061919e-07
Position 986: 9.186078442204975e-07
Position 61: 8.99548492241891e-07
Position 819: 8.767970695739798e-07
Position 579: 8.709947809800256e-07
Position 73: 6.651826460153129e-07
Position 70: 2.453746146732346e-09
Position 49: 1.3918949130805345e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 12622: 0.7341265821098137
Position 8604: 0.5112049885694765
Position 11347: 0.11396972893792302
Position 9881: 0.025385851473556605
Position 10628: 0.024516741624705178
Position 8695: 0.021226626916548568
Position 1201: 0.019777230259282193
Position 8585: 0.016353898183903745
Position 8521: 0.012731554136052873
Position 8964: 0.011078914721603475
Position 1865: 0.007276167222230571
Position 1398: 0.005848385973397711
Position 4854: 0.00294860312065535
Position 2546: 0.0017779624590812664
Position 923: 0.001107762313590943
Position 7051: 0.000801899719449935
Position 1238: 0.0007621823239790094
Position 6156: 0.0005224913497205294
Position 1664: 0.0004644972260379291
Position 1894: 0.0004436083921208033
Position 1532: 0.0003575217877049889
Position 1436: 0.00034566859842342343
Position 2792: 0.0003294009887090704
Position 2440: 0.0003174141550999915
Position 675: 0.0003031844252991268
Position 1881: 0.00027337827102311574
Position 1177: 0.00022630729924552802
Position 870: 0.00021810994048919108
Position 557: 0.00020467191044712345
Position 1534: 0.00020401073961442628
Position 295: 0.0001655253748373628
Position 2769: 0.0001555688145022445
Position 2774: 0.00011127346739256399
Position 5432: 0.00010513593521015348
Position 1529: 9.882079084014545e-05
Position 617: 7.411260367659765e-05
Position 1059: 6.407658704625314e-05
Position 3386: 6.276293441250315e-05
Position 2384: 6.0633144898727064e-05
Position 5448: 4.902194092754204e-05
Position 530: 3.0480042580778282e-05
Position 994: 1.6120137812232896e-05
Position 3261: 1.5339609348488026e-05
Position 215: 1.4730549274228946e-05
Position 950: 1.4615460411071737e-05
Position 181: 1.4058666653276068e-05
Position 446: 7.91810843188866e-06
Position 254: 5.6196150809195136e-06
Position 956: 3.89320092369705e-06
Position 1479: 2.830330475397074e-06
Position 1647: 2.5897337312122305e-06
Position 2233: 2.4792637643060122e-06
Position 339: 2.3697100785374893e-06
Position 1690: 2.3696650084550456e-06
Position 416: 2.0774909686436123e-06
Position 2224: 1.46536413018006e-06
Position 424: 1.339015381456626e-06
Position 1208: 7.405046158022078e-07
Position 2369: 7.33655886316111e-07
Position 770: 6.782867772686821e-07
Position 722: 6.725315310214255e-07
Position 300: 6.35322559927895e-07
Position 741: 5.913284027882954e-07
Position 809: 4.792969959255086e-07
Position 228: 3.367988942570981e-07
Position 260: 1.5332495519742125e-07
Position 457: 1.3034525354088246e-07
Position 1625: 7.176777636012926e-08
Position 342: 1.4250589187759425e-09
Position 481: 1.3857237671373069e-09
Position 308: 1.1678787351027217e-09
Position 644: 1.0985721480698666e-09
Position 404: 9.063379054114654e-10
Position 351: 1.586866308593749e-10
Position 239: 1.5285510785896095e-10
Position 272: 1.0372609901184368e-10
Position 432: 5.89707437986463e-11
