Gene = Sgs3
index = 1497
Annotated 5SS: [42]
Annotated 3SS: [114]
SMsplice 5SS: [42]
SMsplice 3SS: [114]
top_k =  500
Partition function (log Z): -7.155301786818792

Sorted 5' Splice Sites (High to Low Probability):
Position 42: 0.9952713169213606
Position 46: 0.0027863357343964187
Position 71: 0.0017873743762336011
Position 250: 0.0003088527552869338
Position 5: 0.00013276122109807758
Position 190: 9.607307079046288e-06
Position 199: 5.177841149812071e-06
Position 1001: 9.002457716400935e-07
Position 64: 4.809055893848084e-07
Position 338: 4.36722244078661e-07
Position 154: 4.2579361162120944e-07
Position 163: 3.6550609633931194e-07
Position 1080: 2.9824455226138616e-07
Position 988: 2.281556656713667e-07
Position 1025: 2.146810901382207e-07
Position 458: 2.1305713492006657e-07
Position 1014: 1.4766646887831374e-07
Position 1052: 1.1757410331585274e-07
Position 945: 5.613988405090174e-08
Position 215: 4.6207323357661176e-08
Position 1115: 2.086611952638347e-08
Position 1007: 1.897577773586347e-08
Position 1040: 1.565106423164167e-08
Position 98: 3.235089141815038e-13
Position 144: 1.9082709293380622e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 114: 0.9992103424260563
Position 317: 0.0003890734681152184
Position 857: 0.0001248916322309652
Position 542: 7.281064422380258e-05
Position 437: 6.885827851970574e-05
Position 482: 6.441870703598888e-05
Position 527: 4.372025843404818e-05
Position 407: 4.158227929663561e-05
Position 812: 3.221609270963657e-05
Position 362: 2.8626808159765657e-05
Position 587: 2.5896053410910932e-05
Position 393: 2.136666995877207e-05
Position 752: 1.9421097335927237e-05
Position 302: 1.9353257189522076e-05
Position 647: 1.5712997707691916e-05
Position 782: 1.5370264869602837e-05
Position 722: 1.4443405270954862e-05
Position 677: 1.4025639511251711e-05
Position 872: 1.1533400877678923e-05
Position 572: 9.198143394192539e-06
Position 422: 5.233175274941263e-06
Position 557: 5.063439003409533e-06
Position 377: 4.999367695887787e-06
Position 617: 4.36930894083158e-06
Position 797: 4.272527843938127e-06
Position 602: 4.199494130213288e-06
Position 1163: 3.63978049270718e-06
Position 827: 3.5679030183157014e-06
Position 1012: 3.3269730515995403e-06
Position 767: 3.1261636072904913e-06
Position 842: 3.1228150851260707e-06
Position 737: 2.745146447814017e-06
Position 662: 2.546910222585789e-06
Position 707: 2.33719381948839e-06
Position 932: 1.7977786193395584e-06
Position 632: 1.6758240341824493e-06
Position 692: 1.2896150636879945e-06
Position 1148: 1.183756126786427e-06
Position 914: 1.1640584977229406e-06
Position 1167: 7.111811097905599e-07
Position 118: 6.846729289472718e-07
Position 874: 5.53819223315049e-07
Position 888: 5.463257372004662e-07
Position 968: 2.8234186938590655e-07
Position 962: 6.798779976229093e-08
Position 1020: 4.3464150570715546e-08
Position 79: 1.3220324638619264e-12
