Gene = mRpL4
index = 1773
Annotated 5SS: [721]
Annotated 3SS: [782]
SMsplice 5SS: [721]
SMsplice 3SS: [782]
top_k =  500
Partition function (log Z): -5.507908694557595

Sorted 5' Splice Sites (High to Low Probability):
Position 721: 0.9743960581761093
Position 734: 0.017958150456777077
Position 45: 0.01584541337170325
Position 509: 0.015629041314513238
Position 287: 0.006343934339496216
Position 526: 0.006279513826038262
Position 224: 0.005673383256987881
Position 383: 0.0055423844595814155
Position 738: 0.0021193823758465695
Position 416: 0.001000703552909339
Position 713: 0.0009594199812925359
Position 753: 0.0005977113777402292
Position 512: 0.0003873615186778114
Position 158: 0.0002751137726662711
Position 997: 0.00018593479166722492
Position 483: 0.00013981434677494138
Position 1005: 0.00012211364801435027
Position 456: 0.00011088026053158813
Position 373: 7.294852582441306e-05
Position 981: 6.272382993634217e-05
Position 474: 5.372761878552498e-05
Position 6: 5.261569943455831e-05
Position 137: 4.118051159488409e-05
Position 725: 4.116016388903021e-05
Position 704: 4.073458524186179e-05
Position 83: 3.133784521593852e-05
Position 661: 2.470095094907704e-05
Position 52: 1.8165702856167103e-05
Position 596: 1.8069178000432583e-05
Position 134: 1.2947798518107343e-05
Position 569: 1.107690647103204e-05
Position 429: 1.0629089985574462e-05
Position 356: 7.752055828475758e-06
Position 423: 5.650417123298355e-06
Position 462: 2.085700491714054e-06
Position 426: 2.0745909713941727e-06
Position 314: 1.98963841073317e-06
Position 865: 1.9506501498671183e-06
Position 635: 1.0741225383802636e-06
Position 1014: 1.0276505807789664e-06
Position 335: 3.3620968508791814e-07
Position 459: 2.8092486233269417e-07
Position 361: 2.622350373738068e-07
Position 378: 2.3348422129765498e-07
Position 904: 1.0517566822210718e-07
Position 913: 6.71769447764284e-08
Position 895: 6.675440548178938e-08
Position 594: 2.6693660376151753e-08
Position 95: 1.9790315614687256e-09
Position 272: 1.7314686006323112e-10
Position 835: 3.4570668112161504e-11
Position 439: 6.551609397181735e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 782: 0.9604728451462948
Position 575: 0.035586774921569544
Position 813: 0.03512963212406609
Position 98: 0.01304535568714329
Position 784: 0.00341564903718205
Position 102: 0.002272722971395829
Position 601: 0.001026780857534661
Position 349: 0.0006688441941137561
Position 565: 0.00036708502538449676
Position 1056: 0.0003322113174181733
Position 716: 0.00029628826190523716
Position 111: 0.00023428432784513894
Position 286: 0.00018682102755340906
Position 904: 0.00013628869917539294
Position 455: 0.00013295434018202493
Position 610: 0.00011083277836159165
Position 594: 8.235992737791974e-05
Position 231: 7.990333114840638e-05
Position 117: 6.790191119500073e-05
Position 1027: 5.400377900368585e-05
Position 451: 5.210093492735094e-05
Position 78: 4.579339969015574e-05
Position 882: 4.1542993754441485e-05
Position 930: 3.844080869332446e-05
Position 328: 3.522237757906748e-05
Position 818: 2.961327549546654e-05
Position 203: 2.8516336489436432e-05
Position 212: 2.7978048849475113e-05
Position 499: 1.675394503202205e-05
Position 387: 1.633409504992053e-05
Position 659: 1.6321854465155842e-05
Position 415: 6.173915768717281e-06
Position 913: 4.730618644736945e-06
Position 436: 4.385348725550394e-06
Position 737: 3.7062325331665863e-06
Position 410: 3.497097908379e-06
Position 653: 2.308770284635337e-06
Position 367: 2.2420903625539092e-06
Position 82: 1.9234373855564194e-06
Position 373: 1.7460278890461222e-06
Position 525: 1.317523328167523e-06
Position 146: 1.2610994113189909e-06
Position 352: 7.629247493952923e-07
Position 158: 5.686897371957878e-07
Position 661: 4.116785983348068e-07
Position 968: 1.2360875312644527e-07
Position 180: 2.0760418051013444e-09
Position 228: 1.3210447931481524e-11
Position 247: 1.1677276493968981e-11
Position 280: 5.214437350110228e-13
Position 259: 1.7397427921362962e-14
