Gene = Sbp2
index = 1470
Annotated 5SS: [530 812]
Annotated 3SS: [590 864]
SMsplice 5SS: [530 812]
SMsplice 3SS: [590 864]
top_k =  500
Partition function (log Z): -3.4743452887211825

Sorted 5' Splice Sites (High to Low Probability):
Position 530: 0.9818526370378916
Position 812: 0.7722702854800313
Position 244: 0.04736177226523448
Position 321: 0.005345710818124167
Position 763: 0.0038078609757374285
Position 498: 0.002715854706089394
Position 393: 0.0021381898708955375
Position 390: 0.001267776070810908
Position 544: 0.001028965371682027
Position 457: 0.0007631719122455502
Position 816: 0.0007060871529131578
Position 308: 0.0006483134695633221
Position 113: 0.0005033690640047853
Position 317: 0.0003938537431330598
Position 438: 0.0003023082295185409
Position 397: 0.0001683364142752225
Position 327: 0.00010689682225709516
Position 547: 8.680506623252654e-05
Position 771: 4.935376639968168e-05
Position 865: 4.661542330460813e-05
Position 384: 2.5014284775735763e-05
Position 325: 2.4561109723441048e-05
Position 360: 2.433606690398273e-05
Position 255: 1.6690940290990985e-05
Position 918: 1.2479759171436544e-05
Position 827: 5.671254589035627e-06
Position 990: 4.564367714253518e-06
Position 1067: 2.8216505706754385e-06
Position 165: 2.300686317588521e-06
Position 774: 1.5005566216311492e-06
Position 985: 1.4388553856077634e-06
Position 1088: 1.1479790792905423e-06
Position 596: 1.021164158417249e-06
Position 642: 8.410104940244161e-07
Position 727: 6.452127609823789e-07
Position 718: 6.174234619163827e-07
Position 575: 1.7555283621153443e-07
Position 1060: 1.6411784756189533e-07
Position 611: 1.0483555377880138e-07
Position 562: 9.53373623427147e-08
Position 627: 8.271896327446431e-08
Position 639: 6.838711623755611e-08
Position 72: 3.776670046100275e-08
Position 725: 1.0288986297326519e-11
Position 868: 7.67619827862871e-12
Position 701: 1.46297651363622e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 590: 0.9966795808380421
Position 864: 0.682207161870531
Position 911: 0.0350825493445817
Position 296: 0.029485037478382766
Position 908: 0.019542072778379233
Position 873: 0.015174419898840382
Position 293: 0.010262987088939773
Position 971: 0.006573383568460393
Position 888: 0.005853748362944393
Position 885: 0.005031971197920452
Position 457: 0.004282895371236803
Position 946: 0.0032605341728059586
Position 1032: 0.0025541000509865684
Position 307: 0.0017361792359929502
Position 839: 0.0007152792627120219
Position 299: 0.0006584363391375933
Position 1050: 0.0006487999259033057
Position 347: 0.0005521450552123937
Position 344: 0.0003785062352017321
Position 269: 0.00012847163295307728
Position 381: 0.00010639171328803881
Position 489: 9.990251678081907e-05
Position 975: 9.286352782502716e-05
Position 943: 7.918602061160784e-05
Position 393: 5.070474839513579e-05
Position 526: 4.8674229035447694e-05
Position 1126: 4.841839628010077e-05
Position 639: 4.7606716015385394e-05
Position 390: 4.5757476528942576e-05
Position 666: 3.924144465039514e-05
Position 498: 3.843004575764145e-05
Position 669: 3.5291472165798266e-05
Position 624: 2.0195705599678846e-05
Position 1052: 1.5502084655528462e-05
Position 1120: 1.4353226810394635e-05
Position 1014: 1.3986560924574283e-05
Position 1078: 1.1260609767310865e-05
Position 431: 1.0538208052063578e-05
Position 173: 9.693608732257992e-06
Position 231: 8.853739759423663e-06
Position 317: 7.97790330639985e-06
Position 1132: 7.0432446153578396e-06
Position 647: 5.963820580583537e-06
Position 366: 4.1051921611709574e-06
Position 1135: 3.2853472525449463e-06
Position 438: 3.2780121573798766e-06
Position 247: 2.9405738672387447e-06
Position 360: 1.4516094846657208e-06
Position 812: 1.3680724350939878e-06
Position 402: 1.046020930430043e-06
Position 221: 1.0456319815845204e-06
Position 736: 7.787880054004897e-07
Position 243: 7.313580859183362e-07
Position 384: 6.94730192620916e-07
Position 241: 5.874001639225394e-07
Position 697: 4.584030548552965e-07
Position 529: 4.366534629509443e-07
Position 918: 4.2438657674319753e-07
Position 255: 3.617399971591004e-07
Position 193: 3.5264013448090404e-07
Position 690: 3.4428800906234104e-07
Position 627: 3.4039981610312396e-07
Position 203: 2.0497250470135098e-07
Position 314: 1.1149994232994395e-07
Position 368: 3.9050480467610206e-08
Position 178: 3.2361342843920906e-08
Position 733: 1.931122363334378e-08
Position 752: 8.762977847279882e-09
Position 130: 6.654549515929547e-10
Position 125: 1.133506367505899e-10
Position 143: 3.822710016005587e-12
Position 140: 1.7653246895568637e-15
