Gene = PIG-U
index = 1358
Annotated 5SS: [ 187  872 1206]
Annotated 3SS: [ 246  933 1265]
SMsplice 5SS: [ 187  872 1206]
SMsplice 3SS: [ 246  933 1265]
top_k =  500
Partition function (log Z): 4.277440949278269

Sorted 5' Splice Sites (High to Low Probability):
Position 1206: 0.9966907530240997
Position 872: 0.9906750685873206
Position 187: 0.9848950892509987
Position 476: 0.04622789703909072
Position 303: 0.040314369416874246
Position 603: 0.02103187519526515
Position 1516: 0.008751011151595555
Position 191: 0.004524780427997914
Position 645: 0.0035853261979705486
Position 1449: 0.0020565831369601674
Position 540: 0.0016931152510030632
Position 573: 0.0016704305129548833
Position 865: 0.001095736616380799
Position 503: 0.0007033639465013594
Position 1068: 0.0004263996798527879
Position 546: 0.00040053835720054164
Position 200: 0.00028406562750202144
Position 344: 0.0002839597146943114
Position 792: 0.00023754848570675812
Position 860: 0.00017264569463837186
Position 362: 0.00016935167796125396
Position 756: 0.00016747359313944483
Position 1106: 0.00016292678292209085
Position 424: 0.00015077959177288552
Position 976: 9.87920013558203e-05
Position 714: 9.260070705086527e-05
Position 901: 8.80039060432059e-05
Position 1046: 7.413256084746922e-05
Position 617: 7.040594133270828e-05
Position 1210: 6.94544090914315e-05
Position 562: 6.474841267613847e-05
Position 1197: 5.941180910748013e-05
Position 675: 4.6213813661907876e-05
Position 766: 4.539782716096198e-05
Position 693: 4.348717633057906e-05
Position 1535: 4.2487932307875745e-05
Position 1470: 3.5474662769375344e-05
Position 1562: 2.950453169113563e-05
Position 994: 2.2345590696392706e-05
Position 1508: 1.9442116724154405e-05
Position 1339: 1.839693747440628e-05
Position 223: 1.7805180214001965e-05
Position 738: 1.7795026578239082e-05
Position 905: 1.7209083603202077e-05
Position 435: 1.6494879099341145e-05
Position 150: 1.607858974849501e-05
Position 1138: 1.5296603036250388e-05
Position 155: 1.0777518227512186e-05
Position 1058: 7.900603297061222e-06
Position 683: 7.534838895168606e-06
Position 1286: 6.824253828675405e-06
Position 813: 6.500233744456166e-06
Position 894: 5.323763650946659e-06
Position 99: 4.711666092791784e-06
Position 1380: 4.302741041840441e-06
Position 1252: 3.2143603008223263e-06
Position 799: 2.579701947666724e-06
Position 1186: 2.442630025936885e-06
Position 25: 2.2558426002464023e-06
Position 274: 1.7328507463669747e-06
Position 807: 1.4868618643807572e-06
Position 1157: 1.3402321993092252e-06
Position 828: 1.2839683626518e-06
Position 1529: 1.244933996725624e-06
Position 1294: 1.168317917846302e-06
Position 1015: 8.832105223436735e-07
Position 796: 6.103032999495968e-07
Position 1224: 5.955005342039381e-07
Position 1112: 5.398763999583624e-07
Position 1393: 4.3191446713413313e-07
Position 1442: 4.240611879687609e-07
Position 1462: 1.8832699822976127e-07
Position 68: 1.8130643829088797e-08
Position 234: 1.5454620825419475e-08
Position 29: 4.283152899926301e-09
Position 115: 3.828158444682142e-09
Position 1304: 3.61134261045394e-09
Position 246: 1.7189329737490274e-09
Position 1283: 1.3074632994490853e-09
Position 1127: 5.826178920226181e-10
Position 1227: 4.798331440466281e-10
Position 966: 4.5172646455656225e-10
Position 1432: 1.3586627914781983e-10
Position 915: 2.4151363832603648e-11
Position 1453: 2.7784471328606175e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1265: 0.9966496581817482
Position 933: 0.9800869340954008
Position 246: 0.8837860319650194
Position 723: 0.11016482095247236
Position 362: 0.03971804411706332
Position 272: 0.034795327814278534
Position 675: 0.022126020360144973
Position 955: 0.013838072384909835
Position 1567: 0.006795989249979579
Position 700: 0.006776572889076496
Position 562: 0.004777591451975973
Position 1635: 0.0019272838781840766
Position 760: 0.001091425932340905
Position 1134: 0.0007767465155185592
Position 1593: 0.000763376346900275
Position 650: 0.0007029408662686125
Position 1529: 0.000661131956279854
Position 1573: 0.0006481685409442876
Position 1408: 0.00031655938964945474
Position 328: 0.0002032708325833743
Position 440: 0.0001580773314001806
Position 252: 9.660327598641976e-05
Position 1352: 9.202915418362211e-05
Position 838: 8.497412656142229e-05
Position 1535: 5.733016712103904e-05
Position 796: 5.049519899051448e-05
Position 1516: 4.993539625259486e-05
Position 813: 4.297798126507886e-05
Position 1100: 2.8686719797976668e-05
Position 1520: 2.8681610984585224e-05
Position 610: 2.864805978105222e-05
Position 449: 2.406937304622403e-05
Position 1068: 2.391319733133946e-05
Position 424: 2.0394980611327035e-05
Position 446: 1.6806055107481432e-05
Position 1474: 1.1651203258627337e-05
Position 1477: 7.342560660237206e-06
Position 1547: 6.951129235695877e-06
Position 1610: 6.7010044843189185e-06
Position 1146: 5.127687886152212e-06
Position 1554: 3.594729617761817e-06
Position 430: 2.8667469766558938e-06
Position 1499: 2.8461313482466085e-06
Position 455: 2.8014656980655435e-06
Position 1075: 2.4119474989554454e-06
Position 1508: 2.0348304207298982e-06
Position 1194: 1.5943483095065682e-06
Position 1084: 1.5419144175820481e-06
Position 1615: 8.948888712289119e-07
Position 1227: 1.621563948885008e-07
Position 1495: 1.2998774615844592e-07
Position 234: 1.1019932421794748e-07
Position 254: 3.838147406473175e-08
Position 458: 1.4568002040695087e-08
Position 214: 5.391294339555222e-09
Position 521: 2.442165584093034e-09
Position 223: 1.383865371672499e-09
Position 68: 1.3209384055092194e-09
Position 187: 1.577627458154524e-10
Position 274: 1.022749076063185e-10
Position 182: 6.576488635684453e-11
Position 203: 5.895160153431795e-11
Position 464: 1.0435413535749989e-11
Position 155: 1.0184969076455839e-11
Position 200: 3.807025534989828e-12
Position 473: 1.569185889181808e-12
Position 191: 1.3996686668670686e-13
Position 150: 2.3097975565750726e-15
