Gene = l(2)k05819
index = 1748
Annotated 5SS: [ 294  983 1755 1977 2711 4879 5104 5405]
Annotated 3SS: [ 348 1039 1813 2613 2772 4940 5157 5464]
SMsplice 5SS: [ 294  983 1755 2711 4879 5104 5405]
SMsplice 3SS: [ 348 1039 1813 2772 4940 5157 5464]
top_k =  500
Partition function (log Z): 5.251116716402612

Sorted 5' Splice Sites (High to Low Probability):
Position 2711: 0.9960630963741582
Position 294: 0.995469306817061
Position 5405: 0.9761980952059416
Position 4879: 0.9708721985290255
Position 5104: 0.9550402479173947
Position 983: 0.8295779432792912
Position 1755: 0.5317320154476731
Position 1977: 0.1997064793672292
Position 1932: 0.12895395742858168
Position 2234: 0.10770212315682973
Position 3645: 0.07349287215092655
Position 2833: 0.06680194568405484
Position 3307: 0.06288075379857021
Position 1494: 0.05032654576703707
Position 3560: 0.045014651129927
Position 3355: 0.04237595671056212
Position 3110: 0.024736326734380035
Position 2573: 0.0165304379359915
Position 2003: 0.016110332049961814
Position 3322: 0.014361717218105599
Position 2244: 0.013633554396577697
Position 3640: 0.012794636610730332
Position 2211: 0.012377904061025045
Position 1938: 0.011098798754213294
Position 5409: 0.010485221115375356
Position 2839: 0.009774773080148487
Position 5684: 0.008166378033883974
Position 1915: 0.005734369746641874
Position 5791: 0.0048918909823830485
Position 5642: 0.004442146817951802
Position 1529: 0.0042381038678194136
Position 5908: 0.0039258095724104955
Position 1445: 0.0035678595490325916
Position 1451: 0.0029611782010506146
Position 3724: 0.002699291546600346
Position 5266: 0.002478364876620541
Position 1738: 0.002418946160851416
Position 5580: 0.0024100966631397033
Position 1958: 0.002199111945709107
Position 3333: 0.0018644463446103577
Position 385: 0.001605533599452381
Position 6173: 0.0015155668408244425
Position 2859: 0.001398738162602214
Position 6213: 0.001363329619921157
Position 3887: 0.0012351504854434558
Position 3266: 0.0011652088384678575
Position 1581: 0.001101007328867213
Position 3116: 0.0010821143338438015
Position 5666: 0.001035149578899415
Position 2391: 0.0010030280033765037
Position 5862: 0.0008465175411281471
Position 1705: 0.0007272561708512523
Position 603: 0.0006593457437099699
Position 2260: 0.0005999507000263183
Position 1302: 0.0005791273403289915
Position 5365: 0.0004953470965099855
Position 3038: 0.00039434224827138576
Position 2685: 0.00038650038252984733
Position 3120: 0.00037099613931557975
Position 5842: 0.00036526302388858247
Position 1193: 0.0003620879788715954
Position 6192: 0.0003109071464398636
Position 5657: 0.00031070603661714226
Position 6204: 0.00030114890076855686
Position 1342: 0.0003006945825778021
Position 719: 0.000252053014213491
Position 6035: 0.00023661306264466606
Position 639: 0.00021913119960390368
Position 1051: 0.00017762987531900467
Position 2721: 0.00017124128627340614
Position 1410: 0.00016238857668255676
Position 5571: 0.0001471147089649096
Position 1169: 0.000134192999901386
Position 5875: 0.00012837679269508024
Position 6142: 0.00011937741196490335
Position 5: 0.00011397839590402746
Position 6101: 0.00010889663569308526
Position 2863: 0.00010224504508686776
Position 11: 0.00010043095640544922
Position 1243: 9.900785357956499e-05
Position 1225: 9.12960618643201e-05
Position 1613: 8.385447478132733e-05
Position 1315: 8.334485444197748e-05
Position 6073: 8.117181500838256e-05
Position 1619: 5.8204268851881466e-05
Position 6161: 4.868040238682963e-05
Position 881: 3.983011602929823e-05
Position 6065: 3.8911113482758476e-05
Position 79: 3.6919028291054195e-05
Position 1416: 3.117447758270297e-05
Position 1407: 3.0145647768724416e-05
Position 515: 2.5924713932013616e-05
Position 5694: 2.4480506286745732e-05
Position 1796: 2.4199177837541615e-05
Position 91: 2.397782223050354e-05
Position 1291: 1.8490122316398395e-05
Position 512: 1.5150648495369824e-05
Position 1782: 1.2549415517215583e-05
Position 509: 1.1461517067042209e-05
Position 5545: 1.1005948151626999e-05
Position 2671: 8.952299838135288e-06
Position 435: 8.59868730976164e-06
Position 2726: 7.761158843024855e-06
Position 715: 7.631358922680987e-06
Position 320: 7.342313820725264e-06
Position 30: 7.209035473095432e-06
Position 1652: 6.41674457513111e-06
Position 298: 5.655945519084895e-06
Position 1105: 5.110044926900762e-06
Position 1661: 4.48840652617256e-06
Position 217: 4.113107632792356e-06
Position 164: 3.905776689363204e-06
Position 2321: 3.542033224863239e-06
Position 885: 3.3892069493430973e-06
Position 423: 2.722819360055719e-06
Position 5242: 2.230975048670486e-06
Position 845: 1.9811517786601715e-06
Position 1814: 1.8717741594264737e-06
Position 475: 1.7398292809957632e-06
Position 256: 1.1963905411724766e-06
Position 659: 9.669408156023634e-07
Position 2866: 8.538781567530814e-07
Position 5676: 8.213183469966732e-07
Position 95: 7.637416901436556e-07
Position 377: 7.58093488565379e-07
Position 923: 7.229929323833282e-07
Position 5336: 7.146988728773859e-07
Position 888: 6.740009107932064e-07
Position 2096: 5.062144789078298e-07
Position 706: 4.6618476659559623e-07
Position 230: 4.4301120728869104e-07
Position 5880: 4.4018051174576615e-07
Position 1921: 4.3641341044733876e-07
Position 5327: 4.319511988448994e-07
Position 5373: 4.003083808128515e-07
Position 5506: 3.737000917128967e-07
Position 695: 2.9575700310051065e-07
Position 737: 2.423919731281032e-07
Position 1264: 1.9509719218580872e-07
Position 2340: 1.8674336756117526e-07
Position 1163: 1.542054717910332e-07
Position 1981: 1.5287363011972766e-07
Position 182: 4.4314979464794474e-08
Position 5224: 2.2395123124164703e-08
Position 132: 1.79900588377126e-08
Position 1014: 1.0883843180904025e-10
Position 670: 9.356659200338003e-11
Position 200: 9.49876127834607e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 2772: 0.9935449102889083
Position 5464: 0.9877172335849335
Position 4940: 0.9447385152837383
Position 5157: 0.9346551887300358
Position 348: 0.8580864798934985
Position 1813: 0.6476910326203383
Position 1039: 0.6020237494561598
Position 2613: 0.16578645529239797
Position 2312: 0.10268449960172196
Position 3407: 0.09164456266747294
Position 2070: 0.09011878265962012
Position 3706: 0.08923267600259942
Position 3727: 0.08197342920112129
