Gene = Snoo
index = 1510
Annotated 5SS: [  66 9008]
Annotated 3SS: [ 7510 87441]
SMsplice 5SS: [   70 23798 67664]
SMsplice 3SS: [23459 66126 87441]
top_k =  500
Partition function (log Z): -98.50672599808262

Sorted 5' Splice Sites (High to Low Probability):
Position 70: 0.9183705043847308
Position 23798: 0.7941416754257251
Position 17636: 0.3357932102943283
Position 647: 0.08162574934430174
Position 3560: 1.2388934323277287e-05
Position 1266: 1.8494304517662352e-06
Position 16224: 7.55314559624187e-07
Position 1274: 3.7763408870212433e-07
Position 1230: 3.1571787669246155e-07
Position 770: 2.150739296822501e-07
Position 371: 1.649178022076132e-07
Position 109: 1.2019786368971218e-07
Position 1567: 1.0401257355328434e-07
Position 58: 8.848253855492715e-08
Position 637: 8.27240083271342e-08
Position 146: 6.825484134894686e-08
Position 610: 6.603411004643384e-08
Position 1485: 6.466945501131378e-08
Position 854: 6.24203921122181e-08
Position 64: 5.448643730014059e-08
Position 66: 3.912776090762829e-08
Position 774: 2.2794696740418746e-08
Position 2871: 2.19915391460348e-08
Position 405: 2.1508817493642952e-08
Position 1684: 3.915073299951727e-09
Position 10158: 2.7421581441810245e-09
Position 1691: 1.3836352655513486e-09
Position 10783: 7.139654941594046e-10
Position 781: 6.521834284165232e-10
Position 1527: 2.619488412915395e-10
Position 1657: 2.3208675406742512e-10
Position 1367: 1.7656265901751115e-10
Position 1464: 1.7208216019453827e-10
Position 4238: 2.4752612735668174e-11
Position 4723: 1.6929328766477133e-11
Position 4424: 1.4871183595750066e-11
Position 3410: 2.6166667393619865e-12
Position 4074: 2.413714371218072e-12
Position 4469: 2.0763794240664255e-12
Position 4316: 1.0825745700028045e-12
Position 3368: 7.168610263064097e-13
Position 1816: 4.665798665413682e-13
Position 3022: 3.648229858392252e-13
Position 1807: 3.3016841917315023e-13
Position 1898: 1.7715180861135169e-13
Position 2944: 1.3617495076495039e-13
Position 2226: 1.3368046191265287e-13
Position 4327: 6.90987860721755e-14
Position 3768: 6.531409041028615e-14
Position 3820: 5.3102008662566925e-14
Position 3840: 3.507685575583878e-14
Position 1153: 1.2626062946129283e-14
Position 495: 3.711437740366107e-15
Position 2223: 2.7932436871573647e-15
Position 314: 2.346233204024405e-15
Position 641: 1.969800131670543e-15
Position 622: 1.4581764806742258e-15
Position 608: 1.4239868928458473e-15
Position 1065: 1.2181534712161163e-15
Position 154: 1.1813667047020757e-15
Position 186: 7.677551414489618e-16
Position 1069: 7.660472270145365e-16
Position 533: 7.649758883641214e-16
Position 644: 6.374673036208482e-16
Position 331: 3.6113708400805476e-16
Position 526: 2.3899806119461136e-16
Position 1278: 2.385613196968703e-16
Position 1518: 2.326277700196236e-16
Position 884: 1.9036110861237217e-16
Position 1625: 1.7209893034933144e-16
Position 68: 1.6896846375721331e-16
Position 1120: 1.4201445741894913e-16
Position 224: 1.0560918812560969e-16
Position 357: 8.750555141406468e-17
Position 1382: 8.672616524449962e-17
Position 680: 8.391495895912895e-17
Position 476: 7.734690325123469e-17
Position 170: 7.228807666864539e-17
Position 239: 4.739295668333539e-17
Position 74: 3.876951877942852e-17
Position 779: 3.091362708252031e-17
Position 1073: 2.1267720226619495e-17
Position 1308: 1.9108290161510242e-17
Position 1027: 1.884154861416748e-17
Position 858: 1.7728141400824602e-17
Position 376: 1.4351693190944672e-17
Position 157: 9.527080903962855e-18
Position 1190: 6.9246748019277585e-18
Position 190: 4.8066101557155876e-18
Position 11: 3.767860193845777e-18
Position 420: 1.6357865293831109e-18
Position 651: 1.811902821472769e-20
Position 704: 1.233825699424272e-20
Position 649: 4.032351097929471e-21
Position 181: 7.621666989356989e-23
Position 38: 3.7563026916648433e-23
Position 5: 3.488800566300717e-23
Position 46: 3.098629972402295e-23
Position 48: 1.0571045806745958e-23

Sorted 3' Splice Sites (High to Low Probability):
Position 25482: 0.9890944165722009
Position 23459: 0.804278573488034
Position 17386: 0.33579588885009193
Position 22077: 0.0006367320054469433
Position 19494: 5.773208827580345e-05
Position 17702: 5.109099676445656e-05
Position 16125: 1.3628249211149825e-05
Position 3295: 1.1051443976740309e-05
Position 17765: 6.344234351251385e-06
Position 16286: 7.553145596241763e-07
Position 15440: 3.57254043765737e-07
Position 3427: 3.560863487106775e-07
Position 1623: 2.5483168527169575e-07
Position 2575: 1.8692183228440742e-07
Position 1736: 1.33963119074524e-07
Position 2506: 1.0764995920490448e-07
Position 3312: 1.0006910224563028e-07
Position 2773: 8.563634307947803e-08
Position 2846: 5.990725889186075e-08
Position 3131: 5.2443110702853954e-08
Position 13021: 3.7729765158631916e-08
Position 13686: 1.747598791289651e-08
Position 13614: 1.710082156547958e-08
Position 13100: 1.1282537463315143e-08
Position 11062: 9.746867758987266e-09
Position 10686: 8.031965346835571e-09
Position 12184: 6.441717124893467e-09
Position 12123: 6.279077715635551e-09
Position 12490: 5.547179367788743e-09
Position 9875: 2.449165313416186e-09
Position 9287: 1.1704088653565944e-09
Position 10273: 8.98483802542256e-10
Position 9196: 6.284534464955249e-10
Position 9377: 5.258225815277096e-10
Position 5857: 5.1468575984146027e-11
Position 4577: 2.2358237979777723e-11
Position 4160: 1.744571353819197e-11
Position 4787: 1.4334559662077576e-11
Position 5906: 1.1670058113938728e-11
Position 3974: 1.162943503312005e-11
Position 4300: 8.025993075676912e-12
Position 4297: 7.1049805407008664e-12
Position 4523: 6.9892459977710965e-12
Position 3660: 5.6884393691552694e-12
Position 3663: 5.515385130516687e-12
Position 6446: 3.4754844889361304e-12
Position 5103: 2.9052401331567455e-12
Position 4376: 2.518017594905154e-12
Position 3626: 2.321248696430575e-12
Position 4804: 9.67160158860104e-13
Position 3796: 9.528849449537644e-13
Position 3472: 9.32373955419486e-13
Position 4256: 7.358228774342381e-13
Position 3478: 6.128499666813785e-13
Position 3731: 3.2352405645345613e-13
Position 572: 1.9744249606255785e-13
Position 3987: 1.9523022420261397e-13
Position 2278: 1.6765985955228525e-13
Position 3817: 1.4512838896409397e-13
Position 1208: 1.4268382192385433e-13
Position 230: 1.3430278873990604e-13
Position 267: 1.3190432710992718e-13
Position 3455: 1.2434997015570848e-13
Position 692: 1.0520591657855015e-13
Position 1311: 8.7730815196678e-14
Position 365: 8.486969965355076e-14
Position 893: 7.083965691231055e-14
Position 746: 6.956515520811074e-14
Position 1400: 5.529714997716574e-14
Position 3559: 5.455532437539165e-14
Position 2714: 5.343596877511941e-14
Position 2874: 4.7397246058786416e-14
Position 680: 3.7032878707372874e-14
Position 190: 3.594701793148323e-14
Position 1956: 2.7543388984457516e-14
Position 1377: 2.602154976443017e-14
Position 1026: 2.286378478688475e-14
Position 1554: 2.1100369995545223e-14
Position 466: 2.0906760061049736e-14
Position 2996: 1.7070868069967647e-14
Position 1859: 1.6422760196880282e-14
Position 370: 1.4947204469000206e-14
Position 1981: 1.4289169323394332e-14
Position 1753: 1.4063288951391699e-14
Position 1959: 1.2745086300138242e-14
Position 404: 1.146431506396984e-14
Position 1566: 1.0197950416745155e-14
Position 1259: 1.0173620836926556e-14
Position 224: 8.430943930987897e-15
Position 577: 7.493833918304972e-15
Position 1367: 6.845633866058145e-15
Position 239: 6.203640126695047e-15
Position 1004: 5.038426708604057e-15
Position 851: 4.821952754064908e-15
Position 779: 2.864861272968515e-15
Position 1020: 2.6443341037887946e-15
Position 409: 2.4754825126517824e-15
Position 273: 1.3061988781177382e-15
Position 863: 6.299316360844472e-16
Position 1104: 4.111173483674959e-16
Position 1321: 1.596144260227772e-16
Position 493: 1.1682762451261008e-16
Position 308: 8.743842636672783e-17
Position 146: 4.0882177859564194e-17
Position 428: 4.070247048492982e-17
Position 342: 2.292130925237812e-17
