Gene = mEFTs
index = 1761
Annotated 5SS: [ 615 1072]
Annotated 3SS: [ 822 1176]
SMsplice 5SS: [ 615 1072]
SMsplice 3SS: [ 822 1176]
top_k =  500
Partition function (log Z): 1.3055908478364653

Sorted 5' Splice Sites (High to Low Probability):
Position 1072: 0.9930667772260295
Position 615: 0.9009732056042365
Position 653: 0.05306732239546614
Position 1384: 0.03975089734520254
Position 619: 0.038832647406498985
Position 412: 0.024095199267988296
Position 1392: 0.013950831946067572
Position 1096: 0.002621653937756311
Position 999: 0.0018785839237229237
Position 606: 0.0012297589483572817
Position 730: 0.0011978191164739595
Position 304: 0.0010708475823273246
Position 648: 0.0008511883653825584
Position 1327: 0.0006980130349991235
Position 1405: 0.00042438323213299205
Position 633: 0.00036750609786086815
Position 1121: 0.00022528281768625187
Position 47: 0.00015443658586528338
Position 30: 0.0001416865291661444
Position 220: 0.00010589368652077936
Position 452: 9.797777956750919e-05
Position 60: 8.921915161304104e-05
Position 1357: 7.481520642452753e-05
Position 766: 4.549229545802043e-05
Position 905: 4.24260120368214e-05
Position 946: 3.9638192526703566e-05
Position 1585: 3.935619643442152e-05
Position 622: 3.877439422261733e-05
Position 880: 3.504686733788828e-05
Position 256: 3.08225746917808e-05
Position 1296: 8.550642788807368e-06
Position 526: 8.179210461616043e-06
Position 973: 7.959056611138113e-06
Position 1025: 7.366980748147343e-06
Position 1065: 3.913982041918245e-06
Position 259: 2.5688011918030567e-06
Position 1012: 1.91425201437638e-06
Position 1023: 1.6732261461642877e-06
Position 336: 1.4819001333288109e-06
Position 130: 1.2313527883824996e-06
Position 1724: 1.1062648522738048e-06
Position 1471: 8.463777227263479e-07
Position 1003: 7.868035927570997e-07
Position 511: 7.637729544281034e-07
Position 127: 5.892253441350637e-07
Position 1766: 5.325801117000337e-07
Position 916: 3.627748236813636e-07
Position 1741: 2.9322317218818557e-07
Position 864: 1.736531332584445e-07
Position 831: 2.3316844215331422e-08
Position 1230: 6.37401868580907e-10
Position 1443: 2.3592337723130828e-11
Position 1542: 1.5206651584881688e-12
Position 783: 1.698561571769595e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 822: 0.9970142305991442
Position 1176: 0.9718037864559025
Position 1464: 0.04066183579032608
Position 485: 0.02346109614788044
Position 1202: 0.016889291625501443
Position 1141: 0.00746114392141439
Position 1452: 0.006576289367679006
Position 1443: 0.0027517009862163253
Position 1557: 0.0019322277978349673
Position 1157: 0.0016200482424975076
Position 742: 0.0014229041937841563
Position 1482: 0.0011178861710188258
Position 1491: 0.0005049391906771679
Position 1383: 0.00038388691489672273
Position 1748: 0.00032310431706081256
Position 1560: 0.0002038571828886933
Position 1515: 0.00016276517550359526
Position 1602: 0.00013381163683293638
Position 1581: 9.519738560721577e-05
Position 1509: 9.433879780606972e-05
Position 86: 8.123918716092047e-05
Position 127: 8.097785859822032e-05
Position 1819: 5.0984136139237584e-05
Position 1530: 4.3523918080956205e-05
Position 846: 3.7473998362989405e-05
Position 247: 3.604364326571156e-05
Position 303: 2.6381331663858636e-05
Position 1305: 2.372465651936965e-05
Position 451: 2.3057298810656902e-05
Position 1115: 2.212612388910516e-05
Position 1641: 2.1713560362584212e-05
Position 1722: 2.0480325502596692e-05
Position 1756: 2.0459891013737325e-05
Position 264: 2.0160910189965373e-05
Position 1689: 1.935496989136191e-05
Position 412: 1.2685846954176724e-05
Position 93: 1.2355960108056544e-05
Position 831: 1.1772715740493556e-05
Position 352: 1.1684379368498001e-05
Position 297: 1.1283296031627472e-05
Position 1539: 1.1212818508684855e-05
Position 976: 9.099371571873619e-06
Position 1454: 8.491102948152311e-06
Position 1372: 7.4798356714796335e-06
Position 1695: 6.5092935434580005e-06
Position 1408: 5.5698817041467505e-06
Position 843: 4.8222835101214655e-06
Position 524: 3.884156087958273e-06
Position 1323: 3.8334334944252836e-06
Position 996: 2.768618289874191e-06
Position 392: 2.6559396381413336e-06
Position 916: 2.5150933846697362e-06
Position 980: 2.189736968998176e-06
Position 672: 2.1725474972321135e-06
Position 870: 1.5569145796890597e-06
Position 204: 1.3921001994458756e-06
Position 1218: 1.1916878679564246e-06
Position 1605: 1.1664117458523802e-06
Position 1762: 1.1601984062448087e-06
Position 1664: 1.0704534445870424e-06
Position 1392: 1.0245553074839693e-06
Position 98: 8.241031150859031e-07
Position 143: 7.648845825764997e-07
Position 349: 4.848662335896621e-07
Position 1719: 4.202416031415577e-07
Position 852: 3.5983213898354315e-07
Position 879: 3.329526260172963e-07
Position 886: 3.1202662312416587e-07
Position 328: 2.8963667558360724e-07
Position 578: 1.6372152109298135e-07
Position 581: 7.289242300586159e-08
Position 892: 5.2461552784971816e-08
Position 358: 3.831286650036557e-08
Position 963: 3.5556061162395804e-08
Position 1060: 2.4135231294156813e-08
Position 521: 2.1895103389274973e-08
Position 217: 1.4370479112845375e-08
Position 544: 5.748015397162143e-09
Position 653: 2.9613017626594135e-09
Position 674: 1.9077721082984936e-09
Position 336: 1.8982224028079283e-09
Position 548: 1.6999527944291023e-09
Position 645: 1.542489031340716e-09
Position 633: 1.0685687637929377e-09
Position 360: 4.4032794688324403e-10
Position 622: 2.7326764336634386e-10
Position 220: 8.46924894877604e-12
Position 1071: 3.4499859665207103e-13
Position 593: 1.4547038319189198e-16
