Gene = holn1
index = 1730
Annotated 5SS: [195 447]
Annotated 3SS: [253 511]
SMsplice 5SS: [195 447]
SMsplice 3SS: [253 511]
top_k =  500
Partition function (log Z): 2.22874065283157

Sorted 5' Splice Sites (High to Low Probability):
Position 195: 0.9986584247405635
Position 447: 0.9841714257062709
Position 681: 0.12574323997871809
Position 22: 0.025017909164835036
Position 422: 0.006205585546065237
Position 441: 0.0049190308603717006
Position 832: 0.002345903723368174
Position 1114: 0.002037147412301111
Position 324: 0.001527550027323072
Position 1106: 0.0005368873649265033
Position 629: 0.00045770357753732065
Position 907: 0.00036295282862377375
Position 995: 0.00016030601334987373
Position 887: 0.00015488204607103036
Position 587: 0.0001294052899755202
Position 1171: 7.899245090106772e-05
Position 634: 7.335700840283872e-05
Position 1100: 2.0128242973484954e-05
Position 656: 1.254913445181151e-05
Position 740: 8.35904799974824e-06
Position 1191: 8.183238086212694e-06
Position 209: 7.625149689885602e-06
Position 127: 6.952631712121001e-06
Position 1165: 6.571473763034476e-06
Position 318: 3.5484398793445803e-06
Position 1205: 2.1195198692227427e-06
Position 1181: 1.7053037064089214e-06
Position 297: 3.1644384591560743e-07
Position 471: 3.1228742508628616e-07
Position 379: 2.1466286931596592e-07
Position 67: 1.295292409452371e-07
Position 306: 1.1278665085870847e-07
Position 38: 5.6646918029339856e-08
Position 225: 1.0873216373177417e-08
Position 695: 9.961424465916374e-09
Position 72: 7.764966365116283e-09
Position 79: 7.33676268424644e-09
Position 607: 5.14953010495714e-09
Position 675: 4.998086730611641e-09
Position 1006: 4.998084275893947e-09
Position 246: 1.5146610294839533e-09
Position 955: 1.009948220821818e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 253: 0.9980079077034146
Position 511: 0.9804768013358331
Position 914: 0.056164633761330185
Position 67: 0.023482267195925614
Position 757: 0.02166124348017689
Position 751: 0.014869920709191917
Position 523: 0.013077260829371365
Position 1174: 0.007777296368315561
Position 769: 0.005802303957632984
Position 826: 0.005746167984194159
Position 992: 0.004995648966372082
Position 802: 0.004248981474545422
Position 730: 0.0042186497849996465
Position 932: 0.0017085379034731697
Position 712: 0.0014162524542522504
Position 494: 0.001322003731500582
Position 1266: 0.000890355955326219
Position 104: 0.0007453754366308518
Position 869: 0.0006304928062345606
Position 1078: 0.0005115281577719607
Position 966: 0.0005058966881935694
Position 1277: 0.0005000061757099766
Position 344: 0.00046038875048402285
Position 724: 0.00042804846532920805
Position 271: 0.0004085478349857731
Position 890: 0.0004076090513416678
Position 79: 0.000321424649456578
Position 1021: 0.0003204284397054469
Position 526: 0.0002899981141912344
Position 778: 0.00017773838113375684
Position 1264: 0.00015119976657944822
Position 1039: 0.00010994153452625262
Position 949: 0.00010936053089609905
Position 401: 0.00010428109269601936
Position 123: 7.429549532898224e-05
Position 108: 7.072508622652094e-05
Position 548: 6.03630492273139e-05
Position 147: 3.969436466402887e-05
Position 1154: 3.2641636651718115e-05
Position 398: 3.23579889943009e-05
Position 840: 3.0900941763711387e-05
Position 574: 2.7506115145956105e-05
Position 673: 2.536522414161521e-05
Position 1081: 2.0609760577966146e-05
Position 281: 2.040649377484775e-05
Position 688: 2.0060119279565904e-05
Position 1143: 1.9881695312295528e-05
Position 940: 1.8240011357454675e-05
Position 1181: 1.813309995637629e-05
Position 323: 1.3494654641675583e-05
Position 571: 1.3252728752521446e-05
Position 375: 1.292307809323705e-05
Position 577: 1.018360942023879e-05
Position 994: 9.212713717748689e-06
Position 1027: 6.027830357620801e-06
Position 847: 5.588649254018203e-06
Position 853: 4.447200376027582e-06
Position 115: 4.413738422131375e-06
Position 790: 4.382938789685975e-06
Position 887: 3.917396094205173e-06
Position 1057: 3.783658054272251e-06
Position 127: 2.9321931089238813e-06
Position 348: 1.3632628537503507e-06
Position 435: 9.68748739467735e-07
Position 290: 6.573387708692871e-07
Position 172: 6.045050227854691e-07
Position 135: 5.838609598953288e-07
Position 293: 3.460748302224069e-07
Position 554: 2.411874791638934e-07
Position 356: 1.828273593412251e-07
Position 413: 1.3985960156962388e-07
Position 174: 1.0863761935616972e-07
Position 133: 8.750230253553397e-08
Position 595: 4.88606259493501e-08
Position 98: 2.2844987875781798e-08
Position 194: 2.0142175387503404e-08
Position 312: 7.854678555729884e-09
Position 634: 7.684618525585694e-09
Position 306: 7.271063972336604e-09
Position 408: 1.6874222010268951e-09
Position 451: 3.3927440156180066e-10
Position 447: 3.0508297420308796e-10
Position 661: 1.4668770271209714e-10
