Gene = Nopp140
index = 1326
Annotated 5SS: [ 204 2056 2456]
Annotated 3SS: [ 405 2296 3208]
SMsplice 5SS: [ 204 2056 2456 3112 3332]
SMsplice 3SS: [ 405 2125 2692 3208 3442]
top_k =  500
Partition function (log Z): 1.8031224511496073

Sorted 5' Splice Sites (High to Low Probability):
Position 2456: 0.979118907954026
Position 204: 0.9677170891203574
Position 2056: 0.9353938573489943
Position 3332: 0.7545093115769608
Position 3112: 0.7026969501369947
Position 23: 0.04969920260334615
Position 2183: 0.013216558747998534
Position 59: 0.010931869364243285
Position 3318: 0.008024104002566618
Position 3116: 0.007024209191398046
Position 2487: 0.006156373742021503
Position 2483: 0.0035951346255695734
Position 1303: 0.003039534982721741
Position 3338: 0.0027042365113945127
Position 3684: 0.002154026419024775
Position 351: 0.002090001508267732
Position 868: 0.0017049795002494431
Position 3564: 0.0013988546359892673
Position 3660: 0.0011718146017433123
Position 2396: 0.0010347182995503717
Position 3511: 0.0008852679425846102
Position 2808: 0.0008733538778295108
Position 358: 0.000783991125849086
Position 43: 0.0007517170934126111
Position 2066: 0.0006406257986021419
Position 1105: 0.0005570503540799542
Position 2491: 0.0004970835606222676
Position 793: 0.00045878418279338276
Position 2163: 0.00035693361946130374
Position 2079: 0.00034690739202739696
Position 180: 0.0003153761302050748
Position 2788: 0.0002682798038988717
Position 3030: 0.00023501243782114579
Position 2572: 0.0002304839340018523
Position 3018: 0.0002261341602847503
Position 27: 0.00021893271824245384
Position 2022: 0.00020908666410453169
Position 266: 0.00020089238091031006
Position 2489: 0.00016797842346066795
Position 3635: 0.00016270213699937528
Position 2141: 0.00015575779971511763
Position 2268: 0.00013932304503216897
Position 3455: 0.00013375761001650628
Position 3064: 0.00013269169718177587
Position 2064: 8.349649171201343e-05
Position 21: 7.358025151674635e-05
Position 432: 5.892163250552687e-05
Position 1166: 5.51541541187169e-05
Position 93: 4.942642206610739e-05
Position 10: 4.909727939048556e-05
Position 3630: 4.1324388844333725e-05
Position 2248: 3.690818645421397e-05
Position 242: 3.5065822208984284e-05
Position 3821: 3.298062475082942e-05
Position 228: 3.14700308221737e-05
Position 3491: 3.119253957112174e-05
