Gene = CSN8
index = 1046
Annotated 5SS: [125 250 474]
Annotated 3SS: [184 297 533]
SMsplice 5SS: [125 250 474]
SMsplice 3SS: [184 297 533]
top_k =  500
Partition function (log Z): -1.9927707035529074

Sorted 5' Splice Sites (High to Low Probability):
Position 250: 0.8941303323723392
Position 125: 0.8628772729985701
Position 474: 0.3326439555133726
Position 427: 0.17939152230466815
Position 446: 0.16892557712145265
Position 522: 0.0037307213651296897
Position 436: 0.0022233904693578885
Position 92: 0.0005883378950547448
Position 254: 0.0004940082730686446
Position 451: 0.0004388604977303235
Position 433: 0.0002712103971276311
Position 206: 0.0001978336142825293
Position 458: 0.00014763778499456682
Position 704: 0.00014658699497868113
Position 87: 0.00011694704384212941
Position 686: 0.00011333104976888694
Position 188: 2.4208272282645387e-05
Position 95: 1.6005999527340503e-05
Position 129: 1.4928229440687683e-05
Position 29: 1.0878457574062228e-05
Position 310: 5.439451914173645e-06
Position 326: 4.203459231809176e-06
Position 726: 1.9772779920062904e-06
Position 678: 1.3610029759993613e-06
Position 135: 1.2762909931224265e-06
Position 40: 5.392954191323216e-07
Position 313: 2.404714895098593e-07
Position 316: 2.271117007963555e-07
Position 289: 6.494513931340577e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 297: 0.9704240559133553
Position 184: 0.7640730346653228
Position 533: 0.5064133795796073
Position 592: 0.18026955242850556
Position 188: 0.013036249751389818
Position 570: 0.005385753497824044
Position 391: 0.002484435961141331
Position 492: 0.001376470279710242
Position 154: 0.0006999575165632104
Position 310: 0.0005474646163541069
Position 625: 0.0005212909537567114
Position 538: 0.00033831492345911163
Position 332: 0.00032710794985096685
Position 776: 0.0002959370161509414
Position 427: 5.7591292548948626e-05
Position 548: 5.29146770721841e-05
Position 342: 4.912007037620573e-05
Position 697: 3.795336515063277e-05
Position 364: 2.9263644724387875e-05
Position 269: 2.4692407310742802e-05
Position 352: 1.6182981464233204e-05
Position 742: 1.2092555401415277e-05
Position 703: 1.1610568825832503e-05
Position 87: 9.615559342935581e-06
Position 214: 8.268069358621829e-06
Position 166: 5.405547544185094e-06
Position 254: 3.1621192214394262e-06
Position 206: 2.2737456502650283e-06
Position 785: 1.519185318560402e-06
Position 751: 1.3975853028751068e-06
Position 474: 1.380129376036692e-06
Position 709: 6.864138284874372e-07
Position 778: 3.7382095567241543e-07
Position 324: 2.2159136739133234e-07
Position 95: 7.09378608950163e-08
Position 200: 1.0998675154811969e-08
Position 92: 4.279849912712539e-09
Position 326: 3.7877939985801835e-10
Position 115: 2.1376533879301476e-10
Position 444: 1.941673568697799e-10
Position 124: 5.238100850072594e-11
Position 109: 3.3537319449600805e-11
Position 129: 3.223849483753237e-11
Position 100: 6.407491549560015e-12
