Gene = gkt
index = 1716
Annotated 5SS: [ 199  800 1250 1903]
Annotated 3SS: [ 252  859 1304 1962]
SMsplice 5SS: [ 199  800 1250 1903]
SMsplice 3SS: [ 252  859 1304 1962]
top_k =  500
Partition function (log Z): 9.176346026149293

Sorted 5' Splice Sites (High to Low Probability):
Position 800: 0.9952368272660905
Position 199: 0.9941067266537619
Position 1903: 0.9397248163387175
Position 1250: 0.8673641625849264
Position 1231: 0.09911481931990623
Position 2267: 0.04936354856862432
Position 2328: 0.03586892178109299
Position 2090: 0.03293090010637447
Position 933: 0.005872355849612311
Position 1912: 0.005631831104040452
Position 804: 0.004475355805917869
Position 1776: 0.0038501104006599604
Position 203: 0.003246504544892485
Position 1907: 0.002400462333168397
Position 2182: 0.0018690298540242828
Position 2153: 0.0013638720093923345
Position 417: 0.0010691843734209683
Position 1988: 0.0009072973470349812
Position 1023: 0.0008135126855752147
Position 1240: 0.0007674626754675672
Position 2172: 0.0007611974851929119
Position 1184: 0.0007250305315736665
Position 1046: 0.0006865211594517135
Position 1141: 0.0004586132438566642
Position 1764: 0.00044747136952649037
Position 1172: 0.0003715154322651343
Position 1770: 0.00027589162404470584
Position 41: 0.0002670179697600181
Position 1179: 0.00023508253200932045
Position 1900: 0.0002273790727300192
Position 2341: 0.00019111623657416018
Position 2106: 0.00014938528898461603
Position 576: 0.00013707348962608106
Position 1026: 0.00011511137902393901
Position 1623: 0.00011064041172756864
Position 2140: 9.5993207414995e-05
Position 1879: 6.821370681566336e-05
Position 1474: 6.633681624802524e-05
Position 1588: 6.537293615315093e-05
Position 965: 5.84494027262808e-05
Position 920: 5.789035278733899e-05
Position 1531: 5.2874880297564175e-05
Position 43: 4.036662981196603e-05
Position 2032: 3.5282599539354535e-05
Position 2357: 3.342248901101282e-05
Position 1997: 2.7914521672327353e-05
Position 1351: 2.5815881881778492e-05
Position 2013: 2.558686468131215e-05
Position 482: 2.4368507197003466e-05
Position 948: 2.2006586217718718e-05
Position 1113: 1.7344690226258336e-05
Position 753: 1.565190514306813e-05
Position 1266: 1.484912519094597e-05
Position 1768: 1.3836157601588002e-05
Position 573: 9.601798966960749e-06
Position 90: 9.544918665667042e-06
Position 992: 8.995816219600749e-06
Position 632: 8.821880498643925e-06
Position 1501: 8.653709099456286e-06
Position 2350: 8.300497039564216e-06
Position 455: 7.901978480634324e-06
Position 1271: 7.129765804496911e-06
Position 1780: 4.764748923234845e-06
