Gene = slow
index = 1878
Annotated 5SS: [  186  6780 17715 18202]
Annotated 3SS: [ 6007 17457 17782 18269]
SMsplice 5SS: [  446  6780 17715 18202]
SMsplice 3SS: [ 6007 17457 17782 18269]
top_k =  500
Partition function (log Z): 2.9782199923643167

Sorted 5' Splice Sites (High to Low Probability):
Position 18202: 0.9984884141748246
Position 17715: 0.9933946098991169
Position 6780: 0.9726183153408836
Position 446: 0.6638219543908823
Position 186: 0.24634362646807886
Position 18346: 0.2162720693757188
Position 421: 0.04871144860570975
Position 7574: 0.0321693327565253
Position 158: 0.030904413666760343
Position 11967: 0.029536422379061247
Position 794: 0.025160213285056174
Position 1324: 0.02318209813187893
Position 16366: 0.021509815263353275
Position 12313: 0.019138834102037667
Position 984: 0.018969826753027167
Position 781: 0.013932861135791593
Position 593: 0.012432532831393592
Position 695: 0.012321482040776259
Position 1812: 0.010890301685197779
Position 18435: 0.007120828276589846
Position 17695: 0.006397904978015015
Position 1520: 0.005033210231731425
Position 677: 0.004669049304534491
Position 1150: 0.004652319640969536
Position 498: 0.003185215233569945
Position 5533: 0.0028483902288312245
Position 4843: 0.0028164054331855245
Position 296: 0.0026303431720303104
Position 830: 0.002588841325039775
Position 5188: 0.0023413526979331805
Position 513: 0.0020334623464861304
Position 442: 0.0019545084925635153
Position 1433: 0.0018826378267612475
Position 3447: 0.0015559365868784004
Position 100: 0.001392956769755609
Position 1114: 0.0013720979194019147
Position 955: 0.0011222007678195192
Position 5120: 0.0011192066157930866
Position 18368: 0.0010019143365823258
Position 3387: 0.000961682273616151
Position 4554: 0.0009513574996569684
Position 254: 0.0008160496797675504
Position 4503: 0.000765721081059157
Position 5092: 0.0007536600594723979
Position 30: 0.0007432676454136981
Position 267: 0.0006785075297238744
Position 3133: 0.0006665526468986212
Position 2144: 0.0005326262386759675
Position 1416: 0.0005070044613888959
Position 2129: 0.0004535456236327688
Position 2137: 0.000445322785426904
Position 3379: 0.00043876396136758667
Position 4799: 0.0004005240775912991
Position 17919: 0.00036387944735962493
Position 18214: 0.00017434073484004774
Position 6815: 5.05285897066039e-05
Position 18166: 4.133149181040403e-05
Position 18185: 2.7141775487988864e-05
Position 18611: 2.6160490620677e-05
Position 190: 2.6077886955619713e-05
Position 18488: 2.5935899322379924e-05
Position 17810: 2.400932714443501e-05
Position 1011: 2.370751620032226e-05
Position 18169: 2.2230772258711984e-05
Position 757: 2.1197246618684828e-05
Position 18164: 1.2617115315896908e-05
Position 300: 1.2456509816026723e-05
Position 1930: 1.2152796646892742e-05
Position 70: 1.1823126928980305e-05
Position 1450: 1.0098661152451814e-05
Position 18288: 9.602608868832621e-06
Position 731: 9.031030413436992e-06
Position 1443: 8.547814464078823e-06
Position 323: 8.423011429427158e-06
Position 968: 7.903674923052447e-06
Position 745: 7.641263317822208e-06
Position 1159: 7.589757038248093e-06
Position 18073: 6.044030193393135e-06
Position 41: 5.931893097013967e-06
Position 947: 5.326322588856998e-06
Position 3: 4.449353897107788e-06
Position 573: 3.892100660981557e-06
Position 106: 3.83847221214975e-06
Position 1438: 3.638032057541192e-06
Position 816: 3.3464176470601207e-06
Position 18144: 3.0125887137405984e-06
Position 18439: 2.9821261421522978e-06
Position 1196: 2.6858342982629308e-06
Position 231: 2.646488503085968e-06
Position 91: 2.5838954185292483e-06
Position 502: 1.8938001372319248e-06
Position 625: 1.6198967395156742e-06
Position 450: 1.4641957926081776e-06
Position 18646: 1.2585573742597923e-06
Position 435: 7.018967832818289e-07
Position 18102: 4.7357941691281965e-07
Position 425: 2.8552591054793786e-07
Position 714: 2.3014131024575463e-07
Position 18001: 1.854684585328836e-07
Position 18024: 1.5048894167379392e-07
Position 766: 1.3268354480590128e-07
Position 528: 1.3023325829092576e-07
Position 352: 1.1684190574011941e-07
Position 345: 8.232101070943985e-08
Position 17819: 6.53136726410487e-08
Position 843: 5.8516483145831576e-08
Position 17976: 5.8172482170116166e-08
Position 17957: 5.5428707708555735e-08
Position 247: 5.448325653382912e-08
Position 444: 5.3626094981603245e-08
Position 828: 5.176239600116918e-08
Position 500: 4.200702364392432e-08
Position 17864: 3.459074556737468e-08
Position 18121: 2.2641215398033153e-08
Position 398: 1.9421492894808517e-08
Position 343: 1.9210635715411037e-08
Position 17889: 1.759533433144232e-08
Position 17852: 1.4862732915292804e-08
Position 17881: 1.2455792824251856e-08
Position 7: 4.790141896578749e-09
Position 17968: 3.2728170438266673e-09
Position 18258: 8.673935251091278e-10
Position 18323: 2.748806062684452e-11
Position 18468: 1.0159744988657498e-11
Position 18466: 8.524349794482127e-12
Position 18525: 5.2766702109449514e-12
Position 18529: 1.0444913184380686e-12
Position 18522: 8.581584048324222e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 18269: 0.9961512004672183
Position 17782: 0.9957939731122688
Position 6007: 0.9607780888995189
Position 17457: 0.957970754238628
Position 18471: 0.18580910048519214
Position 241: 0.09736447357939552
Position 11413: 0.039784040589183826
Position 17479: 0.026813478589593705
Position 18405: 0.025290397721615055
Position 6918: 0.023124766391835597
Position 4472: 0.01436555604740212
Position 570: 0.011483588685535617
Position 1072: 0.010918551594711353
Position 247: 0.00964962078185797
Position 16959: 0.008619429426344432
Position 15795: 0.007789782925177527
Position 15718: 0.0076030184300134055
Position 6697: 0.006922019548210567
Position 18492: 0.006598918263843707
Position 16989: 0.00643658876792184
Position 14653: 0.006117013908162341
Position 11230: 0.00594033605639184
Position 1323: 0.005581298581071406
Position 1006: 0.00397536583636234
Position 17860: 0.0034012823087179386
Position 7227: 0.003322934810909276
Position 18475: 0.002214962888682462
Position 3280: 0.002097566041453328
Position 11249: 0.0020418995066362744
Position 7427: 0.0017966318522285776
Position 18439: 0.0015821932249045507
Position 18525: 0.0015811404292490044
Position 7385: 0.001574309764764769
Position 508: 0.0012963524166259006
Position 1668: 0.0011667518165062304
Position 1219: 0.0011512661139404135
Position 18275: 0.0010811755840095948
Position 6159: 0.0010691067712313633
Position 18278: 0.0010024035619170704
Position 1976: 0.0009266653804083815
Position 11013: 0.0009089803288869823
Position 3284: 0.0008588167804088092
Position 18532: 0.00078879807937373
Position 7448: 0.0007253355579171431
Position 5723: 0.000521600570761669
Position 7069: 0.0005195486769275818
Position 7224: 0.00045981216916965266
Position 4388: 0.0004554004281563919
Position 6868: 0.00044968789219695075
Position 18608: 0.0004344409155649619
Position 17840: 0.0003986403437204843
Position 5772: 0.0003438831383513798
Position 17831: 0.00032850162800208336
Position 1513: 0.0003105586376282412
Position 17976: 0.0002963757537159423
Position 18538: 0.00025164811969879275
Position 271: 0.0002136939216534868
Position 4945: 0.0002098062204806128
Position 7487: 0.00019630564325274463
Position 528: 0.0001404270882853163
Position 18558: 0.00011060940582405471
Position 18658: 0.00010255655027838037
Position 17988: 9.404940262723423e-05
Position 18317: 6.573887518370445e-05
Position 816: 6.348277478297808e-05
Position 18602: 5.641966652152945e-05
Position 18284: 4.825267861352787e-05
Position 18302: 4.6530425590959816e-05
Position 18321: 3.08906658569034e-05
Position 17985: 7.128853137513448e-06
Position 18566: 6.664559901214829e-06
Position 18509: 1.622818640769814e-06
Position 18704: 1.258557374259795e-06
Position 18292: 2.561935017933233e-07
Position 1486: 1.9997650486995045e-07
Position 366: 1.3191107742711653e-07
Position 18338: 2.2219655085662083e-10
Position 18514: 9.255826924324185e-12
