Gene = A16
index = 1
Annotated 5SS: [1082 1515]
Annotated 3SS: [1385 1582]
SMsplice 5SS: [1082 1515]
SMsplice 3SS: [1385 1582]
top_k =  500
Partition function (log Z): 4.619055233626992

Sorted 5' Splice Sites (High to Low Probability):
Position 1515: 0.9956820220375711
Position 1082: 0.9922388332854714
Position 5: 0.10888414140198974
Position 662: 0.02305039609879145
Position 1328: 0.012787708637982939
Position 1227: 0.012470623410870348
Position 789: 0.008707500129427068
Position 1289: 0.003376603350134425
Position 1315: 0.0027303885258880903
Position 1651: 0.0014536086429763086
Position 199: 0.0012420204545144525
Position 461: 0.0008706820196664863
Position 1115: 0.0005618549923658839
Position 1120: 0.0005606086731468976
Position 381: 0.0005597851001198975
Position 1331: 0.00036686412500108376
Position 1086: 0.00035354082929137267
Position 306: 0.00031171686049604055
Position 564: 0.0003051692263739257
Position 1176: 0.00028998214072645256
Position 553: 0.00022285049020507786
Position 1501: 0.0001938879631085116
Position 838: 0.00018408013135947697
Position 1127: 0.0001039254494018642
Position 521: 0.00010095387443828938
Position 1642: 9.273308508096623e-05
Position 168: 8.826967126537649e-05
Position 1200: 8.024817869432978e-05
Position 27: 6.344614036982364e-05
Position 145: 4.3708580896032654e-05
Position 393: 4.0465997420949104e-05
Position 364: 3.9458542610848926e-05
Position 986: 2.6256743944721572e-05
Position 1180: 2.3189956704348953e-05
Position 793: 2.2552557270139228e-05
Position 209: 2.155799321326839e-05
Position 653: 2.1188618453928732e-05
Position 1658: 1.752024192883809e-05
Position 643: 1.5401099467501022e-05
Position 1519: 1.2380461182684042e-05
Position 245: 1.2344396169465962e-05
Position 647: 8.547371353594762e-06
Position 1636: 8.335702356004857e-06
Position 1351: 6.198504253501421e-06
Position 201: 4.933782066808718e-06
Position 680: 4.1548206040104475e-06
Position 997: 3.5046190097751365e-06
Position 902: 2.5047106809653987e-06
Position 768: 2.040833361016455e-06
Position 203: 1.931184188583562e-06
Position 22: 1.5996111260046843e-06
Position 974: 1.284345388033257e-06
Position 1157: 1.1167046599619392e-06
Position 911: 8.823006811853493e-07
Position 1355: 4.863271911087309e-07
Position 1457: 3.6570560750181864e-07
Position 1608: 1.1298362661220396e-07
Position 1557: 7.550651620546451e-08
Position 1553: 6.226756883770577e-08
Position 1442: 2.0469896326316327e-08
Position 361: 1.3123947504716717e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1582: 0.9957741701128215
Position 1385: 0.9956047547549153
Position 81: 0.06131137599031403
Position 61: 0.030114149113776294
Position 1157: 0.016582823994256517
Position 756: 0.01577801105922309
Position 78: 0.014891241872375238
Position 1200: 0.014807977440073311
Position 907: 0.009644706303989442
Position 1354: 0.0039243167997802305
Position 629: 0.002490942844123636
Position 1704: 0.0015768557821635404
Position 919: 0.0008742549881893167
Position 478: 0.0008300975145090152
Position 564: 0.0006284878049591603
Position 820: 0.0005917856139185692
Position 199: 0.0004143961084180723
Position 781: 0.00034451194017333543
Position 985: 0.0003182369064105829
Position 823: 0.0002306789541932001
Position 1217: 0.00022582457166054327
Position 937: 0.0001735682728431473
Position 886: 0.000149701448304484
Position 974: 0.00013981521337834568
Position 1020: 0.00013571205991798606
Position 168: 9.775372010945431e-05
Position 527: 6.418150297600628e-05
Position 1606: 5.8241194972795884e-05
Position 853: 5.789094442057537e-05
Position 567: 5.7579435764294995e-05
Position 1602: 4.7183271427627104e-05
Position 1331: 3.947245608320872e-05
Position 270: 2.5433786516728216e-05
Position 407: 2.2375785068013187e-05
Position 97: 1.9947951335738224e-05
Position 267: 1.902405854549202e-05
Position 951: 1.757818192418521e-05
Position 793: 1.4697803192712789e-05
Position 826: 1.3781143671548302e-05
Position 718: 1.2673338500446857e-05
Position 1066: 1.1873806408365461e-05
