Gene = vito
index = 1927
Annotated 5SS: [130]
Annotated 3SS: [188]
SMsplice 5SS: [130]
SMsplice 3SS: [188]
top_k =  500
Partition function (log Z): -5.97436751366087

Sorted 5' Splice Sites (High to Low Probability):
Position 130: 0.9333607979600198
Position 134: 0.0648216156102415
Position 418: 0.0015119280092668569
Position 104: 0.0010835405869703426
Position 295: 0.0010505897709060276
Position 36: 0.0005105296644492286
Position 5: 0.00035390271205895126
Position 837: 0.00029198414244609004
Position 880: 3.609556270145534e-05
Position 872: 2.2290117172624168e-05
Position 590: 2.081716390906648e-05
Position 412: 1.6614861688327778e-05
Position 633: 5.909299495224398e-06
Position 107: 5.422132197004449e-06
Position 50: 2.273572302366336e-06
Position 427: 2.2713514206465635e-06
Position 27: 1.9562925155980826e-06
Position 808: 5.295600771770085e-07
Position 473: 4.905006767424351e-07
Position 468: 2.110840985149491e-07
Position 192: 1.5017871403876911e-10
Position 200: 4.162771362895878e-11
Position 236: 2.090718910604686e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 188: 0.9966623687699224
Position 200: 0.0025163966672503255
Position 971: 0.0010570357450100445
Position 321: 0.0004842059778067518
Position 600: 0.0003698854072771124
Position 363: 0.00034088886688846256
Position 738: 0.00030371823952920454
Position 735: 0.00026502535795291433
Position 487: 0.0001940887806727752
Position 75: 0.00019078867600982486
Position 510: 0.0001062195687876307
Position 215: 8.490846841522521e-05
Position 744: 7.520628745259088e-05
Position 693: 7.154265698583402e-05
Position 720: 5.665616895427818e-05
Position 101: 3.668402796918716e-05
Position 357: 3.064800383805706e-05
Position 378: 2.6014057757152826e-05
Position 741: 2.2029974064124497e-05
Position 708: 2.0073706949539974e-05
Position 219: 1.911349828390786e-05
Position 606: 1.8519515682505995e-05
Position 417: 1.451623337027508e-05
Position 816: 1.4287844502299034e-05
Position 771: 1.1496122947565851e-05
Position 267: 1.0728819162005361e-05
Position 804: 1.0003497520684897e-05
Position 934: 6.766356146413692e-06
Position 273: 6.655648434033878e-06
Position 291: 6.400477153505976e-06
Position 927: 5.806458904983473e-06
Position 822: 5.596106905442534e-06
Position 53: 4.777029884944147e-06
Position 103: 3.970073872567657e-06
Position 190: 3.830781652677639e-06
Position 831: 3.440929761147608e-06
Position 121: 3.0237397003445645e-06
Position 507: 2.7698405551349933e-06
Position 551: 2.706862120094638e-06
Position 939: 2.663554848919575e-06
Position 759: 2.571934421525288e-06
Position 774: 2.5402258670708274e-06
Position 381: 2.37159939169464e-06
Position 722: 2.2957293676849784e-06
Position 459: 2.0060091181279365e-06
Position 504: 1.4251835001526254e-06
Position 891: 1.3486561805653576e-06
Position 147: 1.2740058357673723e-06
Position 768: 1.159158789254294e-06
Position 663: 1.0785474892285824e-06
Position 243: 1.0768682619255895e-06
Position 423: 9.712344943134546e-07
Position 91: 8.884565295737165e-07
Position 192: 7.954766806464701e-07
Position 384: 7.394431751120047e-07
Position 354: 6.675961603183551e-07
Position 345: 6.054946182294096e-07
Position 756: 5.966362997431986e-07
Position 82: 5.520777081658002e-07
Position 489: 5.458673520821646e-07
Position 138: 5.18808495740718e-07
Position 828: 4.165478930826383e-07
Position 855: 3.4273396503759205e-07
Position 494: 3.375493254790613e-07
Position 870: 3.358161034735256e-07
Position 369: 3.203073075137239e-07
Position 257: 2.1887358090100352e-07
Position 390: 1.66438543944262e-07
Position 894: 1.1817045868697498e-07
Position 50: 2.5591245222861763e-08
Position 300: 1.1935748832547446e-10
Position 294: 8.621840270187199e-11
Position 279: 5.113356976919098e-11
Position 134: 4.8889648147729497e-11
Position 141: 1.2425083749687248e-11
Position 225: 9.289572682822867e-12
Position 372: 5.719005124683308e-13
Position 158: 3.7773453508835295e-13
